Category,Name,Address,ID
سيارات جديدة وكلاء حصريون,خالد عبود اوتوموتيف,"28 ش عبد الرازق السنهورى, الحى السادس, مدينة نصر, القاهرة.",688027
سيارات جديدة وكلاء حصريون,ابناء شلبى,"السنانية - عمارة الرحاب, دمياط, دمياط.",449548
سيارات جديدة وكلاء حصريون,ابو غالى اوتوموتيف,"القطعة 1, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",74027
سيارات جديدة وكلاء حصريون,احمد موتورز,"ش الترعة - برج الرضا, المنصورة, الدقهلية.",149030
سيارات جديدة وكلاء حصريون,ارتوك اوتو,"7 ش حسن الاكبر, المقطم, القاهرة.",124779
سيارات جديدة وكلاء حصريون,اس ام جى - الشركة الهندسية للسيارات,"محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",454760
سيارات جديدة وكلاء حصريون,اسكندرية الهندسية للسيارات,"كم 27، طريق القاهرة اسكندرية الصحراوى, مرغم, الاسكندرية.",28428
سيارات جديدة وكلاء حصريون,الاحمدى موتورز,"35 ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",397103
سيارات جديدة وكلاء حصريون,الاسكندرية الوطنية للسيارات - ايه ان ايه,"14 طريق مايو, سموحة, الاسكندرية.",27185
سيارات جديدة وكلاء حصريون,الاسلامية وسليم لتجارة السيارات,"57, المحور المركزى, الحى الثالث, السادس من اكتوبر, الجيزة.",645526
سيارات جديدة وكلاء حصريون,الاشراف موتورز,"4 ش سليمان يسرى - عمارات الشرطة, كوم الدكة, الاسكندرية.",133122
سيارات جديدة وكلاء حصريون,الاصدقاء لتجارة السيارات,"2 ش ترعة الخشاب, حلوان البلد, حلوان, القاهرة.",643154
سيارات جديدة وكلاء حصريون,الاقصى للتوكيلات التجارية - ACA,"القطعة 62/عالشطر الخامس، المنطقة الصناعية, زهراء المعادى, المعادى, القاهرة.",136869
سيارات جديدة وكلاء حصريون,الالمانية لخدمة السيارات - جاز,"ش جامع الانصار - المنطقة الصناعية الثانية, جسر السويس, القاهرة.",58519
سيارات جديدة وكلاء حصريون,الامل للتجارة الخارجية,"9 ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",54152
سيارات جديدة وكلاء حصريون,الايمان لاستيراد السيارات الكهربائية,"ش سعد الشربينى, المنصورة, الدقهلية.",665845
سيارات جديدة وكلاء حصريون,البرجسى للتجارة والتسويق,"3 ش ابن الازد متفرع من ش مراد, الجيزة, الجيزة.",60833
سيارات جديدة وكلاء حصريون,البروج اوتو,", المحور المركزى - المجاورة الثانية, عمارة 383, الحى الثانى, السادس من اكتوبر, الجيزة.",644270
سيارات جديدة وكلاء حصريون,البلال لتجارة السيارات,"639 طريق الحرية, جناكليس, الاسكندرية.",54063
سيارات جديدة وكلاء حصريون,البيرى للاستيراد والتصدير,"ش العروبة, مشتول السوق, الشرقية.",648895
سيارات جديدة وكلاء حصريون,الترنتيف موتورز,"القطعة 28أ ش عبد الله بن سلامة, متفرع من ش التسعين الشمالى, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",666284
سيارات جديدة وكلاء حصريون,السعودى جروب,"كم 21 -, طريق مصر الاسماعيلية الصحراوى, القاهرة.",64388
سيارات جديدة وكلاء حصريون,السعودى للسيارات,"12 ش صلاح سالم, عين الصيرة, القاهرة.",7153
سيارات جديدة وكلاء حصريون,السمرا موتورز,", محور مصطفى كامل, الميراج ريزيدنس, التجمع الاول, القاهرة الجديدة, القاهرة.",668972
سيارات جديدة وكلاء حصريون,السورى للسيارات,"221, المحور المركزى - المجاورة الثانية, الحى الثالث, السادس من اكتوبر, الجيزة.",645629
سيارات جديدة وكلاء حصريون,الشركة المصرية العالمية للتجارة والتوكيلات - اى اى تى,"القطعة 99 - كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",124989
سيارات جديدة وكلاء حصريون,العالمية لتجارة السيارات,"44 ش كمال الشاذلى - ش الجيش سابقا, الباجور, المنوفية.",558627
سيارات جديدة وكلاء حصريون,العدلى للسيارات,"8 ش ازبك, السيدة زينب, القاهرة.",645506
