Category,Name,Address,ID
مكاتب صرافة,اسكندرية للصرافة,"23 ميدان سعد زغلول, محطة الرمل, الاسكندرية.",32636
مكاتب صرافة,الابيض للصرافة,"7 ش الثورة, ميدان الكوربة, الكوربة, مصر الجديدة, القاهرة.",187039
مكاتب صرافة,الاسراء للصرافة,"37 ش مصدق, الدقى, الجيزة.",18730
مكاتب صرافة,الاسلامية للصرافة,"11 ش محمود عزمى, امتداد ش السلطان حسين, محطة الرمل, الاسكندرية.",34793
مكاتب صرافة,الامير للصرافة,"38 ش التحرير, النمسا, السويس.",298886
مكاتب صرافة,الاهلى للصرافة,"43 ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",578017
مكاتب صرافة,البركة للصرافة,"14 ش ممفيس تقاطع ش النهضة - عمارة الفريبور, حى الشرق, بور سعيد.",153717
مكاتب صرافة,التضامن للصرافة,"4 ش مظلوم, متفرع من ش هدى شعراوى, عمارة انور وجدى, باب اللوق, القاهرة.",70055
مكاتب صرافة,الجوهرة للصرافة,"70 ش مكرم عبيد, الحى السادس, مدينة نصر, القاهرة.",133451
مكاتب صرافة,الحرمين للصرافة,"40 أ ش محمد مظهر, الزمالك, القاهرة.",221840
مكاتب صرافة,الحرية للصرافة,"85 ش فيصل, المريوطية, فيصل, الجيزة.",508528
مكاتب صرافة,الخلود,"188 ش الهرم, الهرم, الجيزة.",252012
مكاتب صرافة,الخليج للصرافة,"15 ش شريف, وسط البلد, القاهرة.",165032
مكاتب صرافة,الرحاب للصرافة,"9 ش جامعة الدول العربية, المهندسين, الجيزة.",176646
مكاتب صرافة,الرومانى للصرافة,"ش الجيش, ميدان ام كلثوم, المنصورة, الدقهلية.",672018
مكاتب صرافة,الشركة العالمية للصرافة,"2 ش صلاح سالم, المنشية, الاسكندرية.",32581
مكاتب صرافة,الشركة الفرعونية للصرافة,"115 ش طلعت حرب, حى غرب, اسيوط.",143303
مكاتب صرافة,الشركة المصرفية العربية الدولية,"6 ش زكى ابو السعود, الدقى, الجيزة.",139372
مكاتب صرافة,الطاووس للصرافة,"28 ش دجلة متفرع من ش شهاب, المهندسين, الجيزة.",463706
مكاتب صرافة,الفردوس للصرافة,"27 ش صلاح سالم, العطارين, الاسكندرية.",31954
مكاتب صرافة,الفكهانى للصرافة,"7 ش الالفى, وسط البلد, القاهرة.",13458
مكاتب صرافة,الفنار,"30 ش المحكمة, طوخ, القليوبية.",327601
مكاتب صرافة,الفنار للصرافة,"6 ش عبد الرحمن الرافعى, ميدان الحجاز, مصر الجديدة, القاهرة.",238520
مكاتب صرافة,القاهرة الدولية للصرافة,"40 ش قمبيز, الدقى, الجيزة.",443659
مكاتب صرافة,القاهرة سويسرا للصرافة,"107 عمارات التوفيق ش الطيران, مدينة نصر, القاهرة.",678200
مكاتب صرافة,المجموعة العربية للصرافة,"34 أ ش الحجاز, ميدان المحكمة, مصر الجديدة, القاهرة.",120018
مكاتب صرافة,المصرف المتحد,"106 ش قصر العينى, وسط البلد, القاهرة.",19523
مكاتب صرافة,المصرية للصرافة,"6 ش البستان, باب اللوق, القاهرة.",12976
