Category,Name,Address,ID
فنون وحرف ومستلزمات,ابانوب عوض,"52 ش 16 متفرع من ش العيسوى, سيدى بشر بحرى, الاسكندرية.",563827
فنون وحرف ومستلزمات,ابناء النيل,"قرية حجازة, قوص, قنا.",183332
فنون وحرف ومستلزمات,ارابيكيا ستور,", ., بنى سويف, بنى سويف.",672352
فنون وحرف ومستلزمات,ارت ايجيبت 6,"ش سعد زغلول, سمنود, الغربية.",57148
فنون وحرف ومستلزمات,ارت ستامب,"2 ش 100, حدائق المعادى, المعادى, القاهرة.",597221
فنون وحرف ومستلزمات,ارت كلاسيك هوم,"38 ش محمد سيد احمد, حلوان, القاهرة.",670426
فنون وحرف ومستلزمات,ارت هوم,"51 ش عبد المجيد موسى, بولاق الدكرور, الجيزة.",441646
فنون وحرف ومستلزمات,ارتس اكاديمى,"14 ش عثمان امين, متفرع من ش طه حسين, مصر الجديدة, القاهرة.",637063
فنون وحرف ومستلزمات,ارتس فيليدج,"ش قصر الشمع - قرية الفخار, مصر القديمة, القاهرة.",228504
فنون وحرف ومستلزمات,ارتس كرافتس,"27 ش 231, دجلة, المعادى, القاهرة.",228506
فنون وحرف ومستلزمات,ارزق وبنى,"8 ش طهران متفرع من ش حفنى ناصف, الدقى, الجيزة.",563529
فنون وحرف ومستلزمات,اركان للفنون,"2 ش د. طه حسين, الزمالك, القاهرة.",220609
فنون وحرف ومستلزمات,اركينوب,"18 ش سوريا, رشدى, الاسكندرية.",585006
فنون وحرف ومستلزمات,اساب للارابيسك,"ش المنشية, متفرع من ش المريوطية, المريوطية, فيصل, الجيزة.",636928
فنون وحرف ومستلزمات,استبداع,"4 ش قولة متفرع من ش محمد فريد - الدور 1, عابدين, القاهرة.",398451
فنون وحرف ومستلزمات,اسطنبول,"ش الطاهرة متفرع من ش الروضة - مدينة ابن الحكم, شبرا الخيمة, القليوبية.",557210
فنون وحرف ومستلزمات,اكاديمية الحرف اليدوية,"ش مكرم عبيد, الحى السادس, مدينة نصر, القاهرة.",650603
فنون وحرف ومستلزمات,اكاديمية برناسوس,"القطعة 59 - المجاورة الاولى - ميدان الحصرى - الدور 4, الحى الثانى, السادس من اكتوبر, الجيزة.",513341
فنون وحرف ومستلزمات,اكاديمية عصمت يحيى للفنون,"عمارة 148س, حدائق الاهرام, الهرم, الجيزة.",553533
فنون وحرف ومستلزمات,الابيض,"19 ش حسن الانور, مصر القديمة, القاهرة.",518516
فنون وحرف ومستلزمات,الاسبتة الحديثة,"24 ش الجيش, العتبة, القاهرة.",266964
فنون وحرف ومستلزمات,الاكاديمية الفرنسية لتعليم الخياطة,"101 ش السلطان حسين, شبين الكوم, المنوفية.",538153
فنون وحرف ومستلزمات,الحرفيين,"108 ش مجلس الشعب, السيدة زينب, القاهرة.",407151
فنون وحرف ومستلزمات,الخاتون,"3 ش محمد عبده, الازهر, القاهرة.",69164
فنون وحرف ومستلزمات,الخوص,"9 ش الفضل ربيع ش الطيران, الحى السابع, مدينة نصر, القاهرة.",613961
فنون وحرف ومستلزمات,الطيب,"قرية المنقدى, اشمون, المنوفية.",623409
فنون وحرف ومستلزمات,العالمية لخامات الفنون الجميلة - ابيدوس,"القطعة 103 - - المنطقة الصناعية الاولى, مدينة 15 مايو, القاهرة.",115121
فنون وحرف ومستلزمات,العروسة,"3 ش الاسقفية, المنشية الصغرى, الاسكندرية.",33622
فنون وحرف ومستلزمات,الغنام,"1 ش حسن الانور, مصر القديمة, القاهرة.",518500
فنون وحرف ومستلزمات,الفابريقة المصرية لصناعة المعادن,"13 ش خان ابو طقية, الجمالية, القاهرة.",194096
فنون وحرف ومستلزمات,الفاروق للمشغولات اليدوية,"30 - حى الزهور, السادس من اكتوبر, الجيزة.",231666
فنون وحرف ومستلزمات,الفتح للتوريدات الصناعية,"66 ش ابى الدرداء - المجمع التجارى, المنشية, الاسكندرية.",204295
فنون وحرف ومستلزمات,الفيروز لتعليم الحرف اليدوية,"38 عمارات الاسكان والتعمير -, مدينة نصر, القاهرة.",436621
فنون وحرف ومستلزمات,المنتجات اليدوية التقليدية,"6 ش احمد الشطورى متفرع من ش الدقى, الدقى, الجيزة.",475097
فنون وحرف ومستلزمات,الهدى لاستاندات العرض,"11 ش عدلى عبد الشافى متفرع من ش ناهيا, بولاق الدكرور, الجيزة.",538535
