Category,Name,Address,ID
كيماويات,جنرال كيم للتجارة,"كم 28 طريق مصر اسكندرية الصحراوى, المنطقة الصناعية - ابو رواش - ميدان الصليبة, ابو رواش, الجيزة.",597482
كيماويات,بى دبليو تى انترناشيونال,"12 أبراج زهراء سموحة ش مسجد ناصر - 314 سابقا -, سموحة, الاسكندرية.",96616
كيماويات,تارجت لصناعة وتجارة الكيماويات - أباظة جروب,"القطعة الرابعة - بلوك 27, المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",664472
كيماويات,برفكت كيميكال,"قطعة 6175, المنطقة الصناعية السادسة, مدينة السادات, المنوفية.",689330
كيماويات,جرين ماجيك للإنتاج الصناعى,", المنطقة السكنية الخامسة, مدينة السادات, المنوفية.",597259
كيماويات,شركة فاجا للصناعات,"الكيلو 59 طريق اسكندرية القاهرة الصحراوى, النوبارية, البحيرة.",690448
كيماويات,جيكو لطلاء المعادن,"34 ش الاجهورى, المنطقة الصناعية, عباسية, القاهرة.",16612
كيماويات,كى سى اتش لتجارة واستيراد الكيماويات,"5 أ ش امتداد رمسيس, ابراج العباسية, الوايلى, القاهرة.",684679
كيماويات,كريستال للكيماويات المتخصصة,"ابر اج سيدى جابر - برج نجمة سموحة, سموحة, الاسكندرية.",143001
كيماويات,جولد بلانت لاستيراد وتصديرالاسمدة والكيماويات,"1069 ش رنا مول, الحى الثانى, السادس من اكتوبر, الجيزة.",689137
كيماويات,جلوبال كيميكالز جروب,"القطعة 750, المنطقة الصناعية السادسة, السادس من اكتوبر, الجيزة.",628981
كيماويات,اسكندرية للبوليمر ش.م.م,", المنطقة الصناعية الرابعة - بلوك 22, برج العرب, الاسكندرية.",694157
كيماويات,المهندس لتجارة وصناعة الكيماويات,"كم 71 طريق الاسكندرية القاهرة الصحراوى, منشأة جناكليس, ابو المطامير, البحيرة.",142824
كيماويات,جرين ارجى للاسمدة والكيماويات,"449 برج كوين هاوس ش مصطفى كامل, الرأس السوداء, الاسكندرية.",634529
كيماويات,كانسون لاستيراد وتصديرالاسمدة والكيماويات,"برج العدالة امتداد شارع النادي, الدور 2, طنطا, الغربية.",693713
