Category,Name,Address,ID
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",123 بلاى ستيشن,"11 ش عبد المنصف السيد - الوايلى الكبير, حدائق القبة, القاهرة.",617521
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",3 ام,"66 ش الحسينى, تقاطع ش خالد بن الوليد, مدينة الهدى, حدائق حلوان, القاهرة.",642434
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",3 كلوب للبلاى ستيشن,"5471 ش 33, الهضبة الوسطى - الحى الرابع, المقطم, القاهرة.",637815
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",6 يارد,"7 ش ابراهيم سند, متفرع من ش سامية الجمل, المنصورة, الدقهلية.",671444
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ابو عمار للبلاى ستيشن,"7 ش مدرسة المتفوقين, عين شمس, القاهرة.",622836
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",اتش او تو,"14 ش الجامع, الزاوية الحمراء, القاهرة.",569386
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ادم ار تو بلاى ستيشن,"1 عمارات القومية للاسمنت ش المراغى, حلوان, القاهرة.",645419
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ادم بلاى ستيشن,"8 ش الامام على - كفر الشرفا, المرج, القاهرة.",564933
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ادم بلاى ستيشن,"10 بلوك 5, حى السفارات, مدينة نصر, القاهرة.",675433
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ار 2 بلاى ستيشن,"المحور المركزى - ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",618770
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ار 2 للبلاى ستيشن,"1 ش سعد زغلول, الحوامدية, الجيزة.",603817
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ار ام سى,"., مدينة الرحاب, القاهرة.",388182
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ار تو بلاى ستيشين,"7 ش الرشاح, حلوان البلد, حلوان, القاهرة.",643605
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ار تو ستور,"27 ش عبدالله على شريف, حلوان, القاهرة.",690997
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ار زد بلاى ستيشن,"19 ش عبد الرحمن باشا, حلوان, القاهرة.",651958
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",ارينا بى اس اند كافيه,"130 ش المطرية متفرع من ش شبين الكوم, عرايشية مصر, الاسماعيلية.",609069
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",اصالة,"ش الجمهورية, بيلا, كفر الشيخ.",362702
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",اكس جيم ستورز,"18 بلوك 1154 ش عمر بن الخطاب, مساكن شيراتون, مصر الجديدة, القاهرة.",669317
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",الامة العربية,"ميدان السيد البدوى, طنطا, الغربية.",169204
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",البدرى لطباعة وتصنيع السى دى,"22 ش عبد البارى شراب, الكوم الاخضر, فيصل, الجيزة.",200330
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",الجزار بلاى ستيشن,"7 ش محمد عبد العزيز القرشى - صفط اللبن, بولاق الدكرور, الجيزة.",580025
"سى دى, دى فى دى, بلاى ستيشن, اكس بوكس والعاب كمبيوتر",الحلبى للبلاى ستيشن,"56 أ ش متحف المطرية, النعام - برج التقوى, عين شمس, القاهرة.",300493
