Category,Name,Address,ID
باركود,المصرية لتكنولوجيا الباركود - تكنو كود,"القطعة 3/65 - ميدان فودافون, المحور المركزى, السادس من اكتوبر, الجيزة.",438935
باركود,نت دوت نت,"12 ش سليمان اباظة, المهندسين, الجيزة.",112180
باركود,مصر لنقاط البيع,"25 ش حسن افلاطون, الشقة 1, ارض الجولف, مصر الجديدة, القاهرة.",128133
باركود,الفتح للانظمة,"154 ش بورسعيد, الابراهيمية, الاسكندرية.",126345
باركود,اى جى ستيكر,"5 ش الجامع, مدينة قباء, جسر السويس, القاهرة.",563967
باركود,ايبكس سوليوشنز,"القطعة 24, محور مصطفى كامل, مركز خدمات التجمع الاول, التجمع الاول, القاهرة الجديدة, القاهرة.",125282
باركود,ابو الوفا للتجارة,"59 برج العسال، ش ممفيسسوق شيديا, كامب شيزار, الاسكندرية.",583393
باركود,ابو الوفا للتجارة,"72 ش بورسعيد, كامب شيزار, الاسكندرية.",637398
باركود,ار بى اس - داتا لاب,"5 أ ش يوسف عباس, مدينة نصر, القاهرة.",9499
باركود,ار تى اس,"1 ش محمد فهمى المحضر متفرع من ش الطيران, مدينة نصر, القاهرة.",400574
باركود,ار جيه تكنولوجى,"83 ش الحجاز, ميدان المحكمة, مصر الجديدة, القاهرة.",660247
باركود,اس اى سى سى باركود,"47 برج النور - ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",10696
باركود,اكسس سيستمز,"48 ش حامد عبد العظيم, الدور 1, متفرع من ش الهرم, المساحة, الهرم, الجيزة.",386680
باركود,الامير للتوريدات,"14 ش 44, متفرع من محور السادات, الحى الاول, مدينة العبور, القليوبية.",638647
باركود,الجمعية المصرية لتنمية الباركود والتعريف الالى,"محور الكفراوى, السادس من اكتوبر, الجيزة.",118375
باركود,الحلول التجارية الشاملة - قللى,"6 مربع 1184 - , مساكن شيراتون, مصر الجديدة, القاهرة.",160455
باركود,الدليل لتكنولوجيا الانظمة الذكية,"7 عمارات شباب المهندسين - طريق النصر - الدور 9, مدينة نصر, القاهرة.",534192
باركود,الرحاب للتجارة والتوريدات,"8 ش مراد - الدور 5, الجيزة, الجيزة.",63861
باركود,الرواد للهندسة والتجارة,"6 ش جمال الدين عفيفى, متفرع من ش احمد فخرى, الحى السادس, مدينة نصر, القاهرة.",472004
باركود,السما,"25 ش فيصل - الدور 1, الكوم الاخضر, فيصل, الجيزة.",584358
باركود,الشركة الوطنية للحلول المتكاملة,"13 ش احمد ماهر, طنطا, الغربية.",369964
باركود,الشروق للبرمجة والتصميم,"3 أ ش غربو, زيزينيا, الاسكندرية.",429994
باركود,العالمية للتجارة,"9 ش نهاد صبرى، متفرع من ش ابن سندر, سراى القبة, القاهرة.",409651
باركود,العالمية للتوريدات,"ش الوحدة, امبابة, الجيزة.",668255
باركود,الفا تكنولوجى,"73 ج ش مصر والسودان, حدائق القبة, القاهرة.",441105
باركود,الفريدة لانظمة الباركود,"63 ش محمد على, متفرع من ش الورشة, شبرا, القاهرة.",388942
باركود,المتحدة لانظمة البار كود,"9 ش حمودة محمود, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",430877
باركود,المتحدة للانظمة المتقدمة,"17 ش الخليفة المأمون, روكسى, مصر الجديدة, القاهرة.",16883
باركود,المتحدة للانظمة المتقدمة,"7 ش السخاوى, روكسى, مصر الجديدة, القاهرة.",621181
باركود,المتحدة للتجارة والتوريدات,"115 ش سليم الاول - الدور 2, الزيتون, القاهرة.",62216
باركود,المجموعة العربية الاستشارية لتكنولوجيا المعلومات,"106 ش حسن المأمون, بجوار بنك كيو ان بى الاهلى, مدينة نصر, القاهرة.",128555
باركود,المجموعة العربية للانظمة المتقدمة,"ش ناصر, حى السويس, السويس.",637425
باركود,المجموعة المصرية للتجارة,"36 ش الشهيد احمد وصفى الدور 3, الماظة, مصر الجديدة, القاهرة.",4018
باركود,المجموعة الهندسية المتكاملة - ايجكو,"2 د ابراج الشرطة كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",585425
باركود,المرام للتوريدات,"53 ش السيوف - الدور 1, السيوف ترام, الاسكندرية.",225975
باركود,المركز المصرى للتكنولوجيا,"برج ب - برج المدينة, ميدان الحصرى, السادس من اكتوبر, الجيزة.",653834
باركود,المصرية لانظمة الباركود,"برج بلازا الطبى -, فيصل, الجيزة.",455420
باركود,المصرية للباركود,"بلوك 1019 ش 21, المجاورة الخامسة, الحى الثالث, السادس من اكتوبر, الجيزة.",662547
باركود,المصرية لنظم التكنولوجيا,"18 ش محمد حسن الجمال, مدينة نصر, القاهرة.",386640
باركود,النسر للتوريدات,", المحور المركزى, الحى 11, السادس من اكتوبر, الجيزة.",589917
باركود,النظم العالمية المتطورة - AGS,"4 ش ابراهيم ربيع - منشية السد العالى, مدينة السلام, القاهرة.",238618
باركود,النيل للتجارة,"18 ش زين العابدين, الخلفاوى, شبرا, القاهرة.",655872
باركود,ام تو جيه سوليوشنز,"30 ش عبد السلام زغلول متفرع من ش 15 مايو, شبرا الخيمة, القليوبية.",358034
باركود,انك اوول - الشركة الصناعية الدولية للتحبير,"القطعة 5ب - بلوك 13036 - - المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",348004
باركود,اهرام تك,"11 ش التونى متفرع من ش رمسيس, عباسية, القاهرة.",127266
باركود,او جى تك,"22 ش هارون, ميدان المساحة, الدقى, الجيزة.",168026
باركود,اى تى اى - تكنولوجيا المعلومات الدولية,"17 ش محمد صقر خفاجة, متفرع من ش البطراوى, المنطقة الاولى, مدينة نصر, القاهرة.",54672
باركود,ايجى تك,"17 سكة ابن طى, حمامات القبة, القاهرة.",327074
باركود,ايجى تك لانظمة الباركود والكاشير وبرامج الحسابات واجهزة الحضور والانصراف,"1 ش المستشفى العام، تقاطع ش الجلاء الدور 1, المنصورة, الدقهلية.",495622
باركود,ايجيبت جورى للصناعات الورقية,"120 ش الميرغنى الدور 3, الماظة, مصر الجديدة, القاهرة.",168442
باركود,ايه اى اس - الحلول المتكاملة المتقدمة,"8 ش الشهيد سيد زكريا خليل, مساكن شيراتون, مصر الجديدة, القاهرة.",2696
باركود,بارتك انترناشيونال للاستيراد والتصدير,"53 ش جسر السويس, عمارات الفاروقية - عمارة 2أ - الدور 8 - شقة 806, جسر السويس, القاهرة.",93075
باركود,باردى للانظمة المدمجة,"8 عمارات رابعة الاستثمارى, مدينة نصر, القاهرة.",159731
باركود,باركود مصر,"30 ش مسجد الدين الخالص متفرع من ش التل, الوراق, الجيزة.",459104
باركود,باركودز ايجيبت,"171 ش التحرير, باب اللوق, القاهرة.",585076
باركود,برس ايجيبت,"14 عمارات العبور -, مدينة نصر, القاهرة.",449681
باركود,بى تى لتكنولوجيا الباركود,"34 سور نادى بلدية المحلة - ش مصطفى كامل, المحلة الكبرى, الغربية.",184270
باركود,تراست كود,"5 ش جمال الدين برعى, مصر الجديدة, القاهرة.",162474
باركود,تروتك للبرمجيات والاستشارات,"31, ميدان سراى القبة, مصر الجديدة, القاهرة.",144878
باركود,تكنوتك للتجارة والتوريدات,"15 ش ابراهيم صفوت متفرع من ش الثلاثينى الجديد, المريوطية, الهرم, الجيزة.",156496
باركود,تنمية لنظم الحاسبات,"308 ش الطيار محمود شكرى, سموحة, الاسكندرية.",369980
باركود,تى سى ام - الشركة العامة للالات الكاتبة والحاسبة,"14 ش جواد حسنى, وسط البلد, القاهرة.",8184
باركود,جارلتيك تريدينج,"13 /2 عمارات نيركو - الشطر الخامس - الدور 1 شقة 11, المعادى الجديدة, المعادى, القاهرة.",437054
باركود,جرجور للتكنولوجيا,"18 أ ش 26 يوليو, وسط البلد, القاهرة.",8435
باركود,جلوبال باركود سوليوشن - جى بى اس,"29 ش عمر بكير، متفرع من ش عثمان بن عفان, سانت فاتيما, مصر الجديدة, القاهرة.",438078
باركود,جلوبال للانظمة الرقمية,"17 ش مسجد العقاد, متفرع من ش حسن سليم, الهرم, الجيزة.",669869
باركود,جلورى كود باركود سيستمز,"القطعة 8142 - - الحى السابع - الهضبة الوسطى, المقطم, القاهرة.",387624
باركود,جى اس وان ايجيبت,"35 عمارات العبور - طريق صلاح سالم - الدور 4 شقة 13, مدينة نصر, القاهرة.",9159
باركود,جيبكوم مصر للتجارة والتوريدات,"9 ش البطراوى، متفرع من ش عباس العقاد الدور 1, المنطقة الاولى, مدينة نصر, القاهرة.",621311
باركود,حورس مصر تكنولوجى,"9 ش فودة حسن, متفرع من ش عبد العزيز فهمى, مصر الجديدة, القاهرة.",429541
باركود,دريم تك كودينج سوليوشنز,"4 د ش معهد امناء الشرطة, مدينة الاخاء الاستثمارى, المعادى, القاهرة.",631032
باركود,دلتا للانظمة الهندسية,"24 عمارات مجلس الدفاع الوطنى - , حدائق القبة, القاهرة.",441972
باركود,دلتا للأنظمة الهندسية,"24 عمارات مجلس الدفاع الوطنى, حدائق القبة, القاهرة.",493397
باركود,ديتم نظم المعلومات الدولية,"51 ش بيروت, مصر الجديدة, القاهرة.",3765
باركود,ديجيتال جلوبال للتجارة,"طريق القاهرة الاسماعيلية الصحراوى المجاورة 12, العاشر من رمضان, الشرقية.",474983
باركود,ريتيل تك,"2 ش محمود حسن العشرى متفرع من ش عبد العزيز فهمى, مصر الجديدة, القاهرة.",564549
باركود,ستايل,"12 ش محمد توفيق دياب, مدينة نصر, القاهرة.",588229
باركود,سراج الدولية,"3 ش شهاب - الدور 7 شقة 14, المهندسين, الجيزة.",45876
باركود,سمارت تك للحلول المتكاملة,"16 ش الصفا متفرع من ش 9, المقطم, القاهرة.",518407
باركود,سمارت سليوشن,", امتداد ش طلعت, دمياط, دمياط.",669404
باركود,سمارت سوليوشنز,"4 عمارات الاوقاف - ميدان السواح - الدور 5 شقة 7, حدائق القبة, القاهرة.",452947
باركود,سوفت مايند,"6 عمارات الزهور, الشقة 4, قويسنا, المنوفية.",667149
باركود,سيستيم لوجيك,"19 ش البستان - الدور 5 شقة 55, وسط البلد, القاهرة.",603984
باركود,سيفيك وان,"4 ش بشير نعمة, متفرع من ش الحجاز, مصر الجديدة, القاهرة.",142787
باركود,شركة المرام للانظمة والباركود,"25 ش 314, سموحة, الاسكندرية.",471412
باركود,شركة اوتك تكنولوجي تريد,"264 ش شبرا, شبرا, القاهرة.",685494
باركود,شركة نايل تكنو للبرمجيات,"5071 ش العليا, مدينة المعراج, المعادى, القاهرة.",396402
