Category,Name,Address,ID
مطاعم ايطالية,900 دجريز,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",540343
مطاعم ايطالية,اب تاون كافيه,"33 ش طلعت حرب, وسط البلد, القاهرة.",486297
مطاعم ايطالية,ابرو كافيه,"كم 6 - , طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",580986
مطاعم ايطالية,ابو الحسن,"47 ش الزهراء تقاطع ش يثرب, الدقى, الجيزة.",566913
مطاعم ايطالية,ابيو,"كم 126 طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",626202
مطاعم ايطالية,اتلانتس,", المحور المركزى, الحى العاشر, السادس من اكتوبر, الجيزة.",429830
مطاعم ايطالية,اثانور كافيه,"3 ش المليل متفرع من ش الفنار - منطقة لايت هاوس, المسبط, دهب.",540370
مطاعم ايطالية,ادامز لاونج,"3 عمارات صقر قريش ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",2672
مطاعم ايطالية,ادريانو,"ش جمال عبد الناصر, شبين الكوم, المنوفية.",574600
مطاعم ايطالية,ار اند جيه,"فيلا 6 - ش 263, المعادى الجديدة, المعادى, القاهرة.",467858
مطاعم ايطالية,ارماندو ريستوران اند كافيه,"29 ش احمد تيسير, متفرع من ش الميرغنى, كلية البنات, مصر الجديدة, القاهرة.",66172
مطاعم ايطالية,ارمونيكا,"35 ش عبد الرازق السنهورى متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",443392
مطاعم ايطالية,ازوريس,"26 ش كورنيش النيل, رأس البر, دمياط.",474003
مطاعم ايطالية,ازيس,"26 ش كورنيش النيل, رأس البر, دمياط.",474008
مطاعم ايطالية,اسباجتى,"19 ش محمد معوض, مدينة نصر, القاهرة.",598984
مطاعم ايطالية,اسباجيتى,"ابراج سيتى ستار - المحور المركزى, السادس من اكتوبر, الجيزة.",581932
مطاعم ايطالية,اسباجيتى باستا,"117 ش الترعة البولاقية, شبرا, القاهرة.",570708
مطاعم ايطالية,استريا,"40 ش صفية زغلول, محطة الرمل, الاسكندرية.",30947
مطاعم ايطالية,استودا,"111 ش الحجاز, ميدان هليوبوليس, مصر الجديدة, القاهرة.",485325
مطاعم ايطالية,افالنش كافيه اند لاونج,"فيلا 1E - - كمباوند ميروزا, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",582783
مطاعم ايطالية,افانتى ايطاليان فوود,"1 ش الليث بن سعد متفرع من ش اسماعيل المازنى, ميدان الحجاز, مصر الجديدة, القاهرة.",567892
مطاعم ايطالية,اكاسيا,"35 ش 232, دجلة, المعادى, القاهرة.",386197
مطاعم ايطالية,اكسبريس باى مو,"كم 28 - - الدور 2, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",337471
