Category,Name,Address,ID
كبريت وولاعات,الريحاب,"96 ش باب البحر, باب الشعرية, القاهرة.",113931
كبريت وولاعات,الشركة المصرية للكبريت,"237 ش الحجاز, مصر الجديدة, القاهرة.",117118
كبريت وولاعات,الصديق للتصدير والاستيراد,"11 ش دولتيان - الدور 3, شبرا, القاهرة.",463522
كبريت وولاعات,الفتوح للادوات الكهربائية,"194 ش كمال الشاذلى - ش الجيش سابقا, الباجور, المنوفية.",559165
كبريت وولاعات,المجموعة الهندسية للتكنولوجيا,"12 ش الاديب على ادهم, مساكن شيراتون, مصر الجديدة, القاهرة.",155681
كبريت وولاعات,النيل للكبريت,"49 ش عبد الخالق ثروت, وسط البلد, القاهرة.",176242
كبريت وولاعات,بيج مو,"101 - مدينة الفردوس شقة 4, السادس من اكتوبر, الجيزة.",185677
كبريت وولاعات,خردوات دهب,"136 ش 26 يوليو, الزمالك, القاهرة.",221224
كبريت وولاعات,شحاتة نجيب,"ش الشربينى, منيا القمح, الشرقية.",323858
كبريت وولاعات,لايتر شوب,"8 ش سان سابا, محطة الرمل, الاسكندرية.",302204
