Category,Name,Address,ID
استشاريون,ماس للاستشارات الهندسية,"11 ش محمد النادى, متفرع من ش مكرم عبيد - موازى ش مصطفى النحاس, مدينة نصر, القاهرة.",139834
استشاريون,مؤسسة السعودي محامون - اسلام السعودي,"برج لؤلؤة سموحة ش 3 متفرع من ش الهيلتون, سموحة, الاسكندرية.",687615
استشاريون,"دوائر لاستشارات الزجاج المسطح, شركة ذات مسئولية محدودة","31 ش أحمد فهيم, متفرع من عبدالعزيز فهمي, صلاح سالم, مصر الجديدة, القاهرة.",552616
استشاريون,النخبة للمحاماة والاستشارات القانونية,"390 برج العمراوى ش جمال عبد الناصر, المندرة البحرية, الاسكندرية.",694559
استشاريون,ايرا للتطوير والبناء,"وحدة 7, الدور 4, المحور المركزى, السادس من اكتوبر, الجيزة.",694221
استشاريون,مؤسسة الهادى للمحاماة,"101 ش مصطفى النحاس, مدينة نصر, القاهرة.",688779
استشاريون,مكتب المستشار محمد قطب للاستشارات القانونية واعمال المحاماه,"2 عمارات مايو, الدور 6, مدينة نصر, القاهرة.",695207
استشاريون,مكة للمقاولات العامة,"مول مراجع, برج العرب الجديدة, الاسكندرية.",689306
استشاريون,ستيل كريت للانشاءات المعدنية,", المنطقة الحادية عشر - قطعه 427, مدينة السادات, المنوفية.",694410
استشاريون,مكتب دكتور مصطفى الروبى - محامون - مستشارون,"170 طريق الحرية, باب شرق, الابراهيمية, الاسكندرية.",630166
استشاريون,جريد مجموعة التصميم المتكاملة,"27 ش سعيد الحلوانى, متفرع من ش العروبة, مصر الجديدة, القاهرة.",300866
استشاريون,تكامل للخدمات المحاسبية وتأسيس الشركات,"358 ش جمال عبد الناصر, ميامى, الاسكندرية.",253240
استشاريون,ريدج للخدمات الهندسية,"16 ش كمال الدين صلاح, سموحة, الاسكندرية.",686782
استشاريون,النيل لحفر الابار,"327 ش شبرا, المظلات, شبرا, القاهرة.",380941
استشاريون,ام بى للاستشارات الهندسية,"11 ش الاديب على ادهم, الشقة 401, الدور 4, متفرع من ش الشهيد سيد زكريا خليل, مساكن شيراتون, مصر الجديدة, القاهرة.",60646
استشاريون,المكتب الهندسى الاستشارى - ايه اف اس,"8 ش 162 ب, حدائق المعادى, المعادى, القاهرة.",347573
استشاريون,تكنولوجيا الشبكات الحديثة,"34 ش احمد يحيى, الدور 15, زيزينيا, الاسكندرية.",39977
استشاريون,اس ايه انترناشيونال,"40 ش الفردوس, الدور 11, برج الاعلاميين, سموحة, الاسكندرية.",236462
استشاريون,شركة الانشاءات العربية,"مبنى شركة الانشاءات العربية - مبنى 14 س, كمباوند الدبلوماسيين, التجمع الخامس, القاهرة الجديدة, القاهرة.",10365
استشاريون,اجاك للاستشارات والتدريب,"11 ابراج عثمان كورنيش النيل, الدور 11, كورنيش المعادى, المعادى, القاهرة.",688865
استشاريون,ابتك للاستشارات الهندسية - مهندس احمد ابو سمك ومشاركوه,"10 ش سلمان الفارسى, العصافرة بحرى, الاسكندرية.",568559
استشاريون,اشرف صادق للاستشارات الهندسية,"5 ش لبنان, جزيرة العرب, المهندسين, الجيزة.",158993
استشاريون,انكوم جروب,"16 أ برج الصبان - عمارات العبور - ش صلاح سالم - الدور 1, مصر الجديدة, القاهرة.",463509
استشاريون,ايه دى لاستشارات ادارة المشروعات - م. اديب سليمان,"95 عمارات صقر قريش - مساكن شيراتون - , مساكن شيراتون, مصر الجديدة, القاهرة.",539647
استشاريون,دينتونز ايجيبت - ال ال سى,"9 ش شجرة الدر, متفرع من ش 26 يوليو, الزمالك, القاهرة.",17700
استشاريون,مؤسسة السعودى للاعمال الهندسية,"ش الجمهورية تقسيم البرداويل, العامرية, الاسكندرية.",611430
استشاريون,مانكون للاستشارات وادارة المشروعات,"40 ش الانصار, الدور 1, متفرع من ش عمان و من ش محى الدين ابو العز, الدقى, الجيزة.",18822
استشاريون,بانكرز ايجيبت للتحصيل والتقييم,"10 هـ/2 ش الروبى, متفرع من ش النصر, تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",461106
استشاريون,اب - تريند,"89 ش الميرغنى, مصر الجديدة, القاهرة.",132533
استشاريون,اب جريد,"18 ش د. حافظ بهجت - الدور 4 شقة 20, منيل الروضة, القاهرة.",397186
استشاريون,ابداع مكتب العمارة,"17 عمارات العبور، طريق صلاح سالم, مدينة نصر, القاهرة.",55029
استشاريون,ابسوليوت للاستشارات المالية,"48 ش الحرية متفرع من ش الماظة, الماظة, مصر الجديدة, القاهرة.",519360
استشاريون,ابعاد الرؤية للاستشارات الهندسية,"6 ش حداية باشا, جليم, الاسكندرية.",617895
استشاريون,ابعاد الرؤية للاستشارت الهندسية,"7 ش حداية باشا - برج روبيل - الدور 1, جليم, الاسكندرية.",616653
استشاريون,ابو الاسعاد والعبد للمحاماه والاستشارات القانونية,"17 أ عمارات العبور ش صلاح سالم, الدور 1, مصر الجديدة, القاهرة.",134492
استشاريون,ابو الفضل - الحضرى - الخولى - مهندسون استشاريون,"21 ش امين فكرى - الدور 4 شقة 21, محطة الرمل, الاسكندرية.",33229
استشاريون,ابو جد - مهندسون معماريون,"63 ش النبى دانيال, محطة الرمل, الاسكندرية.",34161
استشاريون,ابو سالم للاستشارات,"1 ش مسجد سيدى بشر, سيدى بشر, الاسكندرية.",210242
استشاريون,ابو صالح للاستشارات الهندسية,"48 ش 136, المعادى, القاهرة.",392085
استشاريون,اتش اتش جى للاستشارات الهندسية وميكانيكا التربة,"8 ش الجيشعمارة سليمة، الدور 2, دسوق, كفر الشيخ.",627135
استشاريون,اتش اى سى للاستشارات المالية,"18 ش الطيران, الدور 7, مدينة نصر, القاهرة.",677864
استشاريون,اتش ايه ايه يونيتس للاستشارات الهندسية,"2 متوسط ابراج عثمان -, كورنيش المعادى, المعادى, القاهرة.",487539
استشاريون,اتش دبليو بى القاهرة - للتخطيط والاستشارات الهندسية,"159 ش 26 يوليو, الزمالك, القاهرة.",225705
استشاريون,اتش دى اتش ديزاينرز,"19 ش عمر الدسوقى متفرع من ش طه حسين, النزهة الجديدة, القاهرة.",386211
استشاريون,اتقان للاستشارات الهندسية,"30 ش عثمان بن عفان, مصر الجديدة, القاهرة.",424974
استشاريون,اتكو,"8 عمارات العبور, الشقة 3, الدور 6, مدينة نصر, القاهرة.",162174
استشاريون,اجاك - المجموعة العربية للتقييم والاستشارات,"58 ش سوريا تقاطع ش السودان, المهندسين, الجيزة.",200584
استشاريون,اجاكس لحلول الاعمال,"26 ش لبنان, الدور 6, تقاطع ش شهاب, المهندسين, الجيزة.",638695
استشاريون,احد للاستشارات والتصميمات الهندسية,"434 أ امتداد ش 8 - الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",184272
استشاريون,احمد حمزة للتراخيص,"ش الكبير, شبين القناطر, القليوبية.",637209
استشاريون,احمد سيد للخدمات الادارية,"89 طريق مصر حلوان الزراعى, كورنيش المعادى, المعادى, القاهرة.",638486
استشاريون,احمد فراج,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",690005
استشاريون,احمد كمال ابو الخير,"189 ش الحجاز, مصر الجديدة, القاهرة.",422918
استشاريون,احمد مدحت الشحات المحامى,"5 ش محمد ابو عطية متفرع من ش الحمام, الزقازيق, الشرقية.",552105
استشاريون,ادابت مصر,"31 ش احمد فهيم بيومى - الدور 4, تريومف, مصر الجديدة, القاهرة.",450558
استشاريون,ادارة الجودة الشاملة الشرق الاوسط,"30 ش الحسين, الدقى, الجيزة.",180845
استشاريون,ادارة للاستشارات الهندسية والمقاولات,"77 ش سوريا - الدور 2, المهندسين, الجيزة.",373761
استشاريون,اديو لينكس للتعليم ش.ذ.م.م,"فيلا 101 - متفرع من ش التسعين - المنطقة الاولى, التجمع الخامس, القاهرة الجديدة, القاهرة.",583063
استشاريون,اديولنكس للتعليم,"فيلا 163 ش عبد الحكيم الرفاعى, شرق الاكاديمية, القاهرة الجديدة, القاهرة.",655889
استشاريون,ار اى تو للطاقة المتجددة,"10 ش حسن منصور, مصر الجديدة, القاهرة.",672806
استشاريون,ار سى جى جروب للاستشارات,"17 عمارات العبور ش صلاح سالم, الدور 1, مصر الجديدة, القاهرة.",641059
استشاريون,ار سى جى للاستشارات الاستراتيجية,"17 عمارات العبور، طريق صلاح سالم, مدينة نصر, القاهرة.",634831
استشاريون,ارت فيجين معماريون ومهندسون,"5 عمارة الفيروز - عمارات رابعة الاستثمارى - طريق النصر, مدينة نصر, القاهرة.",349211
استشاريون,ارت لاين جروب,"6 عمارات العبور طريق صلاح سالم, الدور 8, مدينة نصر, القاهرة.",686615
استشاريون,ارتقاء لدراسات الجدوى,"كورنيش النيل, برج صيدلية الكورنيش, بنى سويف, بنى سويف.",693211
استشاريون,ارتك للانشاءات,"103 برج الرياض - ش الهرم, الهرم, الجيزة.",173743
استشاريون,اردمان - ايس,"3 ش عبد القوى احمد متفرع من ش شهاب, المهندسين, الجيزة.",61359
استشاريون,ارش لاين,"2 أ ابراج طيبة -, زهراء المعادى, المعادى, القاهرة.",162455
استشاريون,ارشاد مصر,", حى الملتقى العربى - هليوبوليس جاردنز - عمارة 41, النزهة, مصر الجديدة, القاهرة.",674138
استشاريون,ارشر للاستشارات,"11 ش الشهيد محمد ابو سالم, الماظة, مصر الجديدة, القاهرة.",286862
استشاريون,ارك سبيس مجسمات ثلاثية الابعاد,"35 عمارات العبور - ش صلاح سالم, مدينة نصر, القاهرة.",140080
استشاريون,ارك لاين,"3 برج العروبة - ش حسن صادق متفرع من ش الميرغنى - الدور 7 شقة 709, مصر الجديدة, القاهرة.",176884
استشاريون,ارك لاين,"القطعة 7281 - ش 9 - المنطقة س شقة 2, المقطم, القاهرة.",501254
استشاريون,ارك للاستشارات الهندسية,"4 ش عمر شعبان - ارض الجولف, مدينة نصر, القاهرة.",502954
استشاريون,اركان للاستشارات الهندسية,"20 عمارات الجوازات, ميدان الزراعة, الزقازيق, الشرقية.",674181
استشاريون,اركى,"16 ش عبد العزيز عيسى, مدينة نصر, القاهرة.",126083
استشاريون,اركى ناين - المكتب الاستشارى المعمارى الدولى,"65 عمارات رابعة الاستثمارى - - الدور 2 شقة 24, مدينة نصر, القاهرة.",429271
استشاريون,اريا للعمارة والتصميم الداخلى,"8 س عمارات الفسطاط - ش الفسطاط شقة 34, الفسطاط, القاهرة.",267873
استشاريون,ازدهار للاستشارات,"11624 ابراج النايل سيتى كورنيش النيل, بولاق, القاهرة.",685999
استشاريون,اس اتش جى للاستشارات المالية,"21 ش فهمى ميدان الفلكى, باب اللوق, القاهرة.",270997
استشاريون,اس اف ايه للاستشارات والخدمات,"29 عمارات العبور - طريق صلاح سالم - الدور 6 شقة 1, مدينة نصر, القاهرة.",604994
استشاريون,اس ام ايه للاستشارات,"103 ش السباق الدور 15, مصر الجديدة, القاهرة.",584528
استشاريون,اس ام سى - الدولية لنظم المعلومات,"7 ش تاج الدين السبكى - الدور 5, ارض الجولف, مصر الجديدة, القاهرة.",150010
استشاريون,اس ان سى لافالان ايجيبت,"4 مربع 1144 - ش ابو بكر الصديق, مساكن شيراتون, مصر الجديدة, القاهرة.",160457
استشاريون,اس اى ار - سوليوشن للنظم المتكاملة,"13 عمارات العبور - ش صلاح سالم - الدور 13 شقة 5, مدينة نصر, القاهرة.",91745
استشاريون,اس سكوير للانشاء والتعمير,"46 ش النزهة, الشقة 20, الدور 7, النزهة, مصر الجديدة, القاهرة.",689530
استشاريون,اساس للخدمات الادارية,"304 - المنطقة السياحية السادسة - الدور 1, الحى المتميز, السادس من اكتوبر, الجيزة.",446887
استشاريون,اسباير لاستشارات الموارد البشرية,"القطعة 82 - ش اخناتون - الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",306720
استشاريون,استراتيجى اند,"القطعة 211 - قطاع 2 - مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",577190
استشاريون,استراتيجى كونسلت - اس سى اى,"4 مربع 1123 - ش عبد الحميد بدوى - الدور 1 شقة 2, مساكن شيراتون, مصر الجديدة, القاهرة.",147396
استشاريون,استشارات مصر المحدودة,"4 ش اليسر, الدقى, الجيزة.",199798
استشاريون,استشاريون ادارة المشروعات - بى ام سى,"15 طريق النصر ميدان رابعة العدوية, مدينة نصر, القاهرة.",230581
استشاريون,استونشنج للتشطيبات,"10 ش حسين عفيفى متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",582454
استشاريون,اسكو - المكتب الاستشارى لهندسة النظم الكهربائية,"1 برج نوران ش 302, الدور 5, تقسيم القضاة, سموحة, الاسكندرية.",467083
استشاريون,اشراق للاستشارات التعليمية,"45 ش راشيد, المهندسين, الجيزة.",136809
استشاريون,اشرف الابحر - بيت الخبرة للاستشارات الضريبية,"1 عمارات العبور - , مدينة نصر, القاهرة.",68489
استشاريون,اعمل بيزنس,"1 ش احمد كامل, متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",588318
استشاريون,اف جى تو جى,"297 ط ش العوضى, تقاطع ش الجيش, حدائق الاهرام, الهرم, الجيزة.",678736
استشاريون,اف سى بى ام,"48 ش الحرية, الماظة, مصر الجديدة, القاهرة.",528223
استشاريون,افوكاتو للاستشارات القانونية,"61 ش الحجاز, الدور 1, ميدان المحكمة, مصر الجديدة, القاهرة.",618877
استشاريون,اكاديما لادارة وتطوير الموارد البشرية,"6 س مربع 1258 - ش عبد الحميد بدوى - الدور 2, مساكن شيراتون, مصر الجديدة, القاهرة.",237419
استشاريون,اكاديمية الطارق للاستشارات,"24 ش الطيران, الدور 3, مدينة نصر, القاهرة.",671633
استشاريون,اكاديمية رواد التدريب,"5 ش الصفا, متفرع من ميدان كم 21, العجمى, الاسكندرية.",573050
استشاريون,اكاديمية هرم للتدريب والاستشارات,"696 ش ابو قير, الدور 8, سيدى جابر, الاسكندرية.",650339
استشاريون,اكتفتى جروب,"44 ش الهرم, الهرم, الجيزة.",675263
استشاريون,اكتيف برينز,"4 ش باسم الكاتب, الدقى, الجيزة.",175528
استشاريون,اكزاكت استوديو معمارى,"ش جورج نيروز, برج فيصل, المسلة, الفيوم.",670075
استشاريون,اكس لاين,"ش السنترال, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619229
استشاريون,اكسبرتس للاستشارات الادارية,"17 ش الطاقة - الدور 7 شقة 71, المنطقة السادسة, مدينة نصر, القاهرة.",428432
استشاريون,اكسلانس للاستشارات,"7 ميدان ابو المواهب شقة 2, المهندسين, الجيزة.",138643
استشاريون,اكسيل كريشن اند سوليوشن,", وسط البلد, القاهرة.",686561
استشاريون,اكمى كورب,"16 ش محمود العشرى, تريومف, مصر الجديدة, القاهرة.",160568
استشاريون,اكنار بارتنرز,"159 ش 26 يوليو, الزمالك, القاهرة.",221635
استشاريون,أكورد للاستشارات الهندسية - أ.د. مهيب المهدى عبد الغفار,"10 ش يوسف عباس, الشقة 502, ناصية طريق النصر, مدينة نصر, القاهرة.",169895
استشاريون,اكيوريت مانيجمينت,"172 ش الهرم, الهرم, الجيزة.",670156
استشاريون,اكيومن لادارة الاصول,"كم 38 - - كمباوند سوديك ويست - ذا بوليجون - مبنى 3 - الدور الخامس - مكتب 5C, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",531385
استشاريون,الاتجاه السليم للاستشارات,"ش 9, المعادى, القاهرة.",653870
استشاريون,الاتحاد العربى للتحكيم الاليكترونى,"ش 199, دجلة, المعادى, القاهرة.",153380
استشاريون,الاتحاد للاستشارات الهندسية,"5 ش محمد شفيق, المهندسين, الجيزة.",161821
استشاريون,الاحلام,"1 ش متولى الشعراوى - ش الليبينى سابقا تقاطع ش العادل, الهرم, الجيزة.",254160
استشاريون,الارض للحلول الانشائية,"246 ش المقطم, المقطم, القاهرة.",429401
استشاريون,الاستشارات الادارية والتربوية,"29 ش البادية, مصر الجديدة, القاهرة.",123782
استشاريون,الاستشارية للتوريدات العمومية,"11 أ ش ابن سندر - الدور 1 شقة 2, سراى القبة, القاهرة.",156597
استشاريون,الاستشاريون البيئيون المتحدون,"6056, الدور 4, المعراج العلوى - المجاورة السادسة - برج الروضة, زهراء المعادى, المعادى, القاهرة.",286810
استشاريون,الاستشاريون العرب,"9 ش عدلى, وسط البلد, القاهرة.",132306
استشاريون,الاستشاريون المصريون,"13 ش الجيزة, الجيزة, الجيزة.",12630
استشاريون,الاقصى للاستشارات الهندسية,"عمارات الضرائب ش خاتم المرسلين, الهرم, الجيزة.",673474
استشاريون,الاكاديمية الاقتصادية,"6 ش 6, متفرع من ش النصر, سموحة, الاسكندرية.",670438
استشاريون,الاكاديمية المصرية للتدريب والاستشارات,"15 ش الفردوس متفرع من ش فيكتور عمانويل - عمارات الجاسكان - عمارة 1 - الدور 1, سموحة, الاسكندرية.",596848
استشاريون,الامام للتركيبات والاستشارات الهندسية,"12 ش مسجد الهدى, منيل شيحة, الجيزة.",395877
استشاريون,الامل جروب للاستشارات القانونية واستصلاح الاراضى,"199 ش ابو بكر الصديق - المنطقة الثالثة - الدور 1 شقة 2, مدينة السادات, المنوفية.",185509
استشاريون,الامناء الاستشاريون,"56 برج بدر - طريق مصر حلوان الزراعى - الدور 4, المعادى, القاهرة.",48955
استشاريون,الاندلس للاستشارات القانونية والمحاماه,"23 ش الحجاز, المريلاند, مصر الجديدة, القاهرة.",537862
استشاريون,الاهرام العالمية للديكور والعمارة,"42 ش طلعت حرب, وسط البلد, القاهرة.",58091
استشاريون,الايد كوربوريشن - ايجيبت,"10 ش جزيرة العرب, المهندسين, الجيزة.",18606
استشاريون,الايمان للاستشارات الهندسية,"365 المحور المركزى, الحى الثانى, السادس من اكتوبر, الجيزة.",436913
استشاريون,الباسل,"ابراج بيت العز - برج أ - ميدان ابن الحكم - الدور 4 شقة 218, حلمية الزيتون, القاهرة.",527071
استشاريون,البحراوى - بيت الخبرة والاستشارات,"34 ش رضا, حى السلام, الاسماعيلية.",290162
استشاريون,البرج,"77 ش جسر السويس, مصر الجديدة, القاهرة.",423125
استشاريون,البرقاوى للاستشارات الهندسية,"38 ش الهرم, مشعل, الهرم, الجيزة.",694446
استشاريون,البنا للخدمات الاستثمارية,"ش كسر الحجر متفرع من ش كورنيش النيل, وسط البلد, اسوان.",373673
استشاريون,البهاء للبرمجيات والكمبيوتر,"48 ش القائد جوهر تقاطع ش نوبار - برج التحرير - الدور 4, المنشية, الاسكندرية.",31171
استشاريون,البيت المصرى الدولى للمحاسبة والخبرة الاستشارية,"19 ش احمد حشمت, الزمالك, القاهرة.",17842
استشاريون,التحرير للاستشارات والتنمية,"ش الزعيم جمال عبد الناصر, المسلة, الفيوم.",638119
استشاريون,التصميمات الميكانيكية الكهربائية,"26 ش سوريا - الدور 4, المهندسين, الجيزة.",57969
استشاريون,التوحيد للاستشارات الهندسية,"., طريق مصر اسوان, قنا.",580916
استشاريون,التوفيق للاستشارات الهندسية,"3 ش يسرى جوهر, المنطقة الاولى, مدينة نصر, القاهرة.",141686
استشاريون,الجمعية الافريقية للجودة الطبية,"7 ش همدان متفرع من ش مراد - الدور 2 شقة 17, الجيزة, الجيزة.",289573
استشاريون,الجمعية التعاونية الانتاجية للانشاءات والتخطيط العمرانى - منارة,"4 ش السلطان حسين، تقاطع ش صفية زغلول الدور 2, محطة الرمل, الاسكندرية.",475154
استشاريون,الجندى للتجارة والصناعة,"25 أ ش 84 متفرع من ش 13, سرايات المعادى, المعادى, القاهرة.",152069
استشاريون,الجوهرة لراغبى الزواج,"96 ش الشيخ غراب, حدائق القبة, القاهرة.",538484
استشاريون,الخالدية للاستشارات الهندسية,"3 عمارات الامريكية, الدور 2, المحور المركزى, السادس من اكتوبر, الجيزة.",436512
استشاريون,الخبراء الفنيون للاستشارات الهندسية وادارة المشاريع,"27 ش عماد الدين كامل, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",45223
استشاريون,الخبراء المصريون لادارة المشروعات - اى بى ام,"13 ش الظافرة, العجوزة, الجيزة.",6064
استشاريون,الخبراء المصريون للاستشارات الهندسية,"6 ش الطيران, مدينة نصر, القاهرة.",671565
استشاريون,الخبراء للانشاءات و الترميمات,"20 ش احمد الزيات, بين السرايات, الدقى, الجيزة.",619725
استشاريون,الخبراء للتقنية الحديثة,"ش الهانوفيل, متفرع من ش الرضوان, العجمى, الاسكندرية.",638036
