Category,Name,Address,ID
معدات مستشفى,افق للتوريدات العمومية,"ش احمد عرابى, الوسطى, بنى سويف.",638149
معدات مستشفى,الامير لمفروشات المستشفيات,"3 ش عبد الحميد عثمان متفرع من ش عين شمس, حلمية الزيتون, القاهرة.",472229
معدات مستشفى,الخليج للتجارة,"37 ش الثلاثينى الجديد, الكوم الاخضر, الهرم, الجيزة.",328788
معدات مستشفى,الدكتور للمستلزمات الطبية,"41 ش ترعة عبد العال 1, بولاق الدكرور, الجيزة.",592843
معدات مستشفى,الدلتا للتجهيزات الطبية,"6 ش المريس، متفرع من ش الرشيدى, المنيرة, القاهرة.",207901
معدات مستشفى,المصرية للاستشارات وتجهيزات المستشفيات,"3 أ ش 200, دجلة, المعادى, القاهرة.",153393
معدات مستشفى,الهداية للخدمات الطبية,"2 ش محمود عبد اللطيف, الطوابق, فيصل, الجيزة.",670453
معدات مستشفى,ايجيبتو ميديكال فور تريدينج,"القطعة 8084, الهضبة الوسطى, المقطم, القاهرة.",151823
معدات مستشفى,ايديال سيستمز,", الحى التاسع, مدينة العبور, القليوبية.",665938
معدات مستشفى,ایميكو للھندسة الطبية والمقاولات,"1 شارع المنتزة, ميدان هليوبوليس, مصر الجديدة, القاهرة.",669046
معدات مستشفى,برج العرب للصناعات الطبية,"بلوك 12 - قطعة 12 و 13 شرق المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",167918
معدات مستشفى,ترو جم مديكال,"القطعة الرابعة - - مجمع الصناعات - المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",612034
معدات مستشفى,تكنو ميديكال للتجهيزات الطبية وشبكات الغازات,"165 ش قناة السويس - الدور 2, المنصورة, الدقهلية.",590375
معدات مستشفى,جلوبال ساینس للمستلزمات الطبية,"1 برج سما, العاشر من رمضان, الشرقية.",670575
معدات مستشفى,جولدن ميديك المعادى للمستلزمات الطبية,"2 ش 306, المعادى الجديدة, المعادى, القاهرة.",579739
معدات مستشفى,ديزاين لاب,"3 ش عمرو بن العاص, رشدى, الاسكندرية.",672804
معدات مستشفى,ستايل ميديكال للتجهيزات الطبية,"42 كم 26 ش رسلان, طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",251075
معدات مستشفى,صدقى جروب,"ش عيد مصطفى, الدور 2, برج بلازا الطبى, المطبعة, فيصل, الجيزة.",625197
معدات مستشفى,عرب تك للتجهيزات الطبية,"كورنيش النيل, حى غرب, سوهاج.",689934
معدات مستشفى,مصر سكوب لتجهيز سيارات الاسعاف,"قطعة 200, المنطقة الصناعية الثالثة, العاشر من رمضان, الشرقية.",615228
معدات مستشفى,مودرن ميديكال جروب,", , مجاورة 8 مقابل سى 1, العاشر من رمضان, الشرقية.",645084
معدات مستشفى,ميدى سيرف للخدمات الطبية,"مكتب 45 برج المبتديان الطبى 30 شارع المبتديان, الدور 4, السيدة زينب, القاهرة.",648213
معدات مستشفى,ميديكال سوبر ماركت,"10 ش طيبة، متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",624196
معدات مستشفى,وايدر كير,"كم 28 طريق اسكندرية القاهرة الصحراوى, المنطقة الصناعية, ابو رواش, الجيزة.",672627
