Category,Name,Address,ID
جمعيات خيرية,زمالة المدمنين المجهولين - مصر,"القطعة 9458 ش كريم بنونة, الهضبة العليا, المقطم, القاهرة.",160836
جمعيات خيرية,اتحاد جمعيات حماية البيئة,"48 ش طلعت حرب , الزقازيق, الشرقية.",181935
جمعيات خيرية,ارض البشر,"16 ش 210, دجلة, المعادى, القاهرة.",148928
جمعيات خيرية,اسمعونا,"., الاقصر, الاقصر.",673497
جمعيات خيرية,اشوكا,"93 ش عبد العزيز ال سعود - الدور 7 شقة 1, المنيل, القاهرة.",146116
جمعيات خيرية,اكت - مركز وسائل الاتصال الملائمة من اجل التنمية,"22 ش الشهيد يسرى فهمى, كلية البنات, مصر الجديدة, القاهرة.",10564
جمعيات خيرية,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"32 ش سعد زغلول, محطة الرمل, الاسكندرية.",29590
جمعيات خيرية,الاغاثة الاسلامية,"القطعة الاولى - بلوك 38 -, الحى العاشر, مدينة نصر, القاهرة.",132467
جمعيات خيرية,البقاء فى الخير,"20 ش الطائف - الدور 1, المهندسين, الجيزة.",291147
جمعيات خيرية,التواصل للتنمية والخدمات الاجتماعية والبيئية,"31 ش سعد بن ابى وقاص, اوسيم, الجيزة.",180448
جمعيات خيرية,الجمعية الاجتماعية الثقافية,"ش السد العالى, صحارى, اسوان.",187656
جمعيات خيرية,الجمعية الاخوية,"10 ميدان التحرير, المنشية, الاسكندرية.",301173
جمعيات خيرية,الجمعية الاسلامية,"2 ش الاوحدى, منشية البكرى, مصر الجديدة, القاهرة.",557509
جمعيات خيرية,الجمعية الاسلامية,"ش سعد الشربينى, المنصورة, الدقهلية.",181809
جمعيات خيرية,الجمعية الاسلامية الخيرية,"21 ش حسين شاكر, الجيزة, الجيزة.",179884
جمعيات خيرية,الجمعية الاسلامية الخيرية,"ش السوق العمومى, بلقاس, الدقهلية.",182156
جمعيات خيرية,الجمعية الاسلامية الخيرية,"ش الجمهورية, ابو قرقاص, المنيا.",186874
جمعيات خيرية,الجمعية الاسلامية العزمية,"27 ش الجيش واحمد شوقى, حى الشرق, بور سعيد.",183253
جمعيات خيرية,الجمعية الاسلامية لتنمية المجتمع,"6 ميدان هاشم الرفاعى, شبرا, القاهرة.",177966
جمعيات خيرية,الجمعية الاسلامية لتنمية المجتمع المحلى,"ش 7, المنتزة, المنتزه, الاسكندرية.",178810
جمعيات خيرية,الجمعية الاسلامية للخدمات الاجتماعية,"8 ش حسنى بك, حدائق القبة, القاهرة.",177607
جمعيات خيرية,الجمعية الاسلامية للخدمات الاجتماعية,"1 ش القبطان ميدان الساعة, طنطا, الغربية.",179421
جمعيات خيرية,الجمعية الاسلامية للخدمات الدينية,"ش المحكمة, حى شرق, كفر الشيخ.",181079
جمعيات خيرية,الجمعية الاسلامية للرعاية الاجتماعية,"77 ش 23 يوليو والشهيد محمد ابراهيم سالم, حى المناخ, بور سعيد.",183151
