Category,Name,Address,ID
فوم,انسوتك - الشركة الدولية لتكنولوجيا العزل,"قطعة 77 ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",649905
فوم,شركة المغازية للمواد العازلة وخزانات المياه,"ش السبتية, السبتية, القاهرة.",193462
فوم,البلتاجى للمقاولات والتجارة,"1 ش فاطمة الزهراء, متفرع من ش شكرى القوتلى, المحلة الكبرى, الغربية.",115592
فوم,ايه تى سى لصناعة الفوم وفوم العزل,"القطعة 1/1, المنطقة الصناعية الثالثة A3, العاشر من رمضان, الشرقية.",626288
فوم,السلام لصناعة الفوم والمراتب,"ش اباظة, المنطقة الصناعية، بساتين الاسماعيلية، انشاص, بلبيس, الشرقية.",670584
فوم,ايجى فوما لصناعة الاسفنج والمراتب,"قطعة 15 أ ب ج - بلوك 22005, منطقة صناعية ب ج - اسكان الشباب, مدينة العبور, القليوبية.",568136
فوم,ستيرو ديكورا لتصنيع وتوريد الديكورات والمواد العازلة,"ورشة 123 ب, منطقة 6 مليون متر, العاشر من رمضان, الشرقية.",692015
فوم,الجمهورية للمواد العازلة,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",92342
فوم,العالمية للعوازل والصوف الصخرى - روكال,"مبنى البدر بلازا, امتداد ش مصطفى النحاس, الحى السابع, مدينة نصر, القاهرة.",22012
فوم,ارت ديزاين للمقاولات والتوريدات,"12 ش يافع بن يزيد, متفرع من ش مراد من اول ش البحر الاعظم, الجيزة, الجيزة.",397871
فوم,اسفنج فوم,"ش محمد بيومى, طره, القاهرة.",399188
فوم,اسماعيلية فوم,"4 ش زكريا احمد, حى الافرنج, الاسماعيلية.",150427
فوم,الاخوة للصناعة,"القطعة 143 - - المنطقة الصناعية B3, العاشر من رمضان, الشرقية.",60397
فوم,البدر لصناعات الفوم,"القطعة 13 - بلوك 17 - - المنطقة الصناعية الثالثة, برج العرب الجديدة, الاسكندرية.",544300
فوم,البركة,"3 ش رفاعى محمود متفرع من ش عين شمس, عين شمس الشرقية, القاهرة.",323520
فوم,الحمد للفوم,"6 ش شهاب, شبرا الخيمة, القليوبية.",475778
فوم,الزعيم للمواد العازلة - مجموعة عبده الزعيم,"برج بدر ش بدر, محور طريق المحمودية, الحضرة الجديدة, الاسكندرية.",687053
فوم,الشركة العربية للاسفنج الصناعى - عرب فوم,"كم 28.8 - طريق القاهرة اسكندرية الصحراوى - المنطقة الصناعية, ابو رواش, الجيزة.",53656
فوم,العالمية للكاوتشوك,"16 ش الشعرانى البرانى, باب الشعرية, القاهرة.",95276
فوم,العمار فوم للتعبئة والتغليف - افكو,"17 ط - مدينة ابو رواش الصناعية, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",469637
فوم,الغنيمى للفوم,"3 ش نعيم, شبين الكوم, المنوفية.",535547
فوم,المصرية الايطالية للفوم و العوازل الحرارية والتغليف - اى اى سى,"امتداد المنطقة الصناعية الثالثة , السادس من اكتوبر, الجيزة.",158114
فوم,النمر لصناعة الفوم,"32 عمارات 36 - - الدور 1, الخانكة, القليوبية.",254326
فوم,ايفنتس,"21 أ ش الجهاد ميدان لبنان, المهندسين, الجيزة.",586782
فوم,ايهاب مرسى,"2 ش صفية زغلول ميدان سرور, دمياط, دمياط.",507863
فوم,بريما فوم,"قطاع 8 - المنطقة الصناعية الثانية, كوم اوشيم, الفيوم.",577012
فوم,تى.ام.او للتجارة والتوريدات,"ش الاربعين, جسر السويس, القاهرة.",465405
فوم,جلوبال تريدينج,"40 ش السيسى, الهرم, الجيزة.",133126
فوم,جولدن فوم,"3 عمارات ابو غزالة -, جسر السويس, القاهرة.",322174
فوم,حبيبات فوم,", المنطقة الصناعية C5, العاشر من رمضان, الشرقية.",670542
فوم,دلتا فوم,"المنطقة الصناعية, دمياط الجديدة, دمياط.",541800
فوم,سالينا للصناعة,"طريق السلام بلبيس الصحراوى - منطقة انشاص الصناعية, بلبيس, الشرقية.",527319
فوم,شركة النصر لكيماويات البناء ومواد العزل,"3 عمارات الاسكان والتعمير, المحور المركزى - ميدان النجدة, الحى الرابع, السادس من اكتوبر, الجيزة.",663648
فوم,شركة رويال فوم مصر,"كم 6 - , بلبيس, الشرقية.",62619
فوم,شركة ستار لتصنيع الفللين الصناعى,"قطعة 46, العاشر من رمضان, الشرقية.",626163
فوم,شركة فرماوى للصناعة والفوم,"الوحدة 607, 612, 619 - - المنطقة الصناعية - مجمع العبور الصناعى, مدينة العبور, القليوبية.",172084
فوم,شركة مصر الدولية للتجارة والتوكيلات - راما,"35 عمارات العبور - طريق صلاح سالم - الدور 22 شقة 8, مدينة نصر, القاهرة.",147385
فوم,عبود البلداوى,"القطعة 160 - ش 37 - المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",178292
فوم,فرح للفوم,"69 ش السلطان حسين, قليوب, القليوبية.",526486
فوم,فوم تك للصناعات المتطورة,"القطعة 138, المنطقة الصناعية الثالثة, العاشر من رمضان, الشرقية.",636697
فوم,فوم من المصنع,", المنطقة الصناعية, مدينة السلام, القاهرة.",673410
فوم,كرنو فوم,"15 ش 15 مايو, شبرا الخيمة, القليوبية.",477902
فوم,كيما فوم,"11 عمارات العبور طريق صلاح سالم, الشقة 1, الدور 14, مدينة نصر, القاهرة.",94149
فوم,لاشين لصناعة الفوم,"28 ش حوض - المنطقة الصناعية - امل 1, الخانكة, القليوبية.",11300
فوم,مازن بلاست,"4 ش مصطفى ابراهيم, عين شمس الشرقية, القاهرة.",476020
فوم,مجموعة مصانع الهاجر باك لتصنيع البولى ايثلين فوم,"القطعة 3 - 4 - 5 - بلوك 20030 - الامتداد الغربى - المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",64349
فوم,مروان بلاست,"94 ش الادخار, العمرانية الغربية, الهرم, الجيزة.",492160
فوم,مصنع ابراهيم على ماضى - ماضى فوم,"القطعة 7J - - مدينة جمصة الصناعية- المنطقة الاولى, جمصة, الدقهلية.",408605
فوم,مصنع كرنو فوم,"8 ميدان الظاهر, باب الشعرية, القاهرة.",472914
فوم,معرض الرضوان للفوم,"93 ش الادخار متفرع من ش مستشفى الصدر, العمرانية الغربية, الهرم, الجيزة.",492168
فوم,مكه لصناعة الفوم والبلاستیك,"قطعة 214, المنطقة الصناعیة جنوب غرب أ 6, العاشر من رمضان, الشرقية.",671801
فوم,هايبر,"5 ش مجمع المحاكم, الخانكة, القليوبية.",397431
