Category,Name,Address,ID
افلام وفيديو وخدمات تليفزيونية وترجمة,فيا ترانسليشن للترجمة المعتمدة,"183 ش التحرير, عمارة ستراند - الدور الاول - باب اللوق, وسط البلد, القاهرة.",551666
افلام وفيديو وخدمات تليفزيونية وترجمة,ايجى برفكت للترجمة المعتمدة,"1 ش ممتاز, ترعة الزمر, الجيزة, الجيزة.",688917
افلام وفيديو وخدمات تليفزيونية وترجمة,جلوباليز جروب لخدمات الترجمة المعتمدة,"1 ش جامعة القاهرة, الشقة 29, الدور 8, الجيزة, الجيزة.",694725
افلام وفيديو وخدمات تليفزيونية وترجمة,جالينوس للترجمة المعتمدة وخدمات رجال الاعمال,"1 ش محى الدين ابو العز, الدقى, الجيزة.",667918
افلام وفيديو وخدمات تليفزيونية وترجمة,ريفيل للترجمة المعتمدة,"128 ش السودان, الدور 6, المهندسين, الجيزة.",690995
افلام وفيديو وخدمات تليفزيونية وترجمة,601 للانتاج والتوزيع,"1 أ ابراج نقابة المهندسين - كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",469287
افلام وفيديو وخدمات تليفزيونية وترجمة,ابداعات مصر للابحاث العلمية,"5 عمارات صقر قريش - بلوك 55, الشقة 8, الحى العاشر, مدينة نصر, القاهرة.",305259
افلام وفيديو وخدمات تليفزيونية وترجمة,ابو سعدة للانتاج السينمائى,"ش الهرم, الهرم, الجيزة.",434574
افلام وفيديو وخدمات تليفزيونية وترجمة,اد كوميونيكشن,"3 ميدان موسى جلال, المهندسين, الجيزة.",157403
افلام وفيديو وخدمات تليفزيونية وترجمة,ار ام ميديا,"24 ش ولى العهد, حدائق القبة, القاهرة.",673931
افلام وفيديو وخدمات تليفزيونية وترجمة,اراسكوب,"2054 المجاورة الثانية - مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",11996
افلام وفيديو وخدمات تليفزيونية وترجمة,ارت بالاس للانتاج الفنى,"3 ش عمر لطفى امتداد ش عباس العقاد, مدينة نصر, القاهرة.",164878
افلام وفيديو وخدمات تليفزيونية وترجمة,ارت ميوزيك للانتاج الفنى والسينمائى,"4 ش ابو بكر الصديق متفرع من ش محيى الدين ابو العز - الدور 1, الدقى, الجيزة.",414032
افلام وفيديو وخدمات تليفزيونية وترجمة,ارليشن للخدمات الاعلامية,"122 ش التحرير, الدقى, الجيزة.",606171
افلام وفيديو وخدمات تليفزيونية وترجمة,ارمس ميديا,", المنطقة السياحية السادسة - عمارة 50, السادس من اكتوبر, الجيزة.",688573
