Category,Name,Address,ID
تكييف هواء,مجارى الهواء للتكييف المركزى - سى دى اف,"6 ش محمد هلال, قليوب, القليوبية.",648359
تكييف هواء,بروجرس الهندسية للتجارة والمقاولات - المغربى جروب,"4145, المجاورة الرابعة, مدينة المعراج, المعادى, القاهرة.",632006
تكييف هواء,فولتفيا للتوريدات العامة,"القطعة 19/5 طريق الهضبة 3, الحى الثالث, المقطم, القاهرة.",689142
تكييف هواء,شركة الندى للتكييف والمقاولات,"24 ش عبد العزيز السيد, النزهة الجديدة, القاهرة.",630322
تكييف هواء,داكت كاسل,"الكيلو 28 طريق مصر اسكندرية الصحراوى, المنطقة الصناعية, ابو رواش, الجيزة.",678999
تكييف هواء,جادو كول,"47 ش ذاكر حسين, مدينة نصر, القاهرة.",691311
تكييف هواء,اوميجا للهندسة والتجارة,"20 ش مصطفى رجب, متفرع من ش نبيل الوقاد, كلية البنات, مصر الجديدة, القاهرة.",10230
تكييف هواء,المصرية الهندسية لاعمال التكييف - ايجي كوول,"263, المحور المركزى, الحى الرابع, السادس من اكتوبر, الجيزة.",631072
تكييف هواء,ايجى اير لاعمال التكييف المركزى,"كم 26 طريق القاهرة اسكندرية الصحراوى, المنطقة الصناعية, ابو رواش, الجيزة.",187746
تكييف هواء,ايه جى كيم,"القطعة 42 ش راهت راك, المنطقة الصناعية الرابعة, مدينة بدر, القاهرة.",187845
تكييف هواء,الفتح للتكييف والتجارة,"77 ش محمد حسنين هيكل, مدينة نصر, القاهرة.",210513
تكييف هواء,مزايا جروب,"393 طريق الحرية, مصطفى كامل, الاسكندرية.",136123
تكييف هواء,اير سيستم لأنظمة تكييف الهواء وصيانة التكييفات,"برج مينا ش الرصافة, محرم بك, الاسكندرية.",620007
تكييف هواء,سيستمز تكنولوجى للتكييف,", البنفسج 4, التجمع الاول, القاهرة الجديدة, القاهرة.",581341
تكييف هواء,طيبة الدولية للتبريد,"54 ش الطيران, مدينة نصر, القاهرة.",339931
تكييف هواء,لايف اير,"142 ش الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",239815
تكييف هواء,مصنع الندى للتكييف والصناعات الهندسية,"القطعة الاولى - بلوك 20012, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",47048
تكييف هواء,البداية للتكييف,"54, المجاورة 14, مدينة بدر, القاهرة.",447221
تكييف هواء,الشروق للتجارة والمقاولات والاعمال الكهروميكانيكية,"1 /4 ش د. انور المفتى, الشقة 405, الدور 4, المنطقة الاولى, مدينة نصر, القاهرة.",149770
تكييف هواء,الوطنية للتكييف المركزى وغرف التبريد,"26 ش حافظ بك, حدائق القبة, القاهرة.",601837
تكييف هواء,ماسترز للتكييف,"613 طريق الحرية, زيزينيا, الاسكندرية.",348765
تكييف هواء,كايرو تكنولوجى,"12 ش مصطفى منير, ميدان حجلان, حلمية الزيتون, القاهرة.",201222
تكييف هواء,شركة صناعات معدات التبريد والتكييف المتطورة ش.م.م - دريك,"11 أ عمارات المروة ش الميرغنى, مصر الجديدة, القاهرة.",55238
تكييف هواء,ميناكو للاعمال الهندسية,"كم 28 طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",169899
تكييف هواء,ميراكو تك,"17 ش محمد كامل الحارونى, مدينة نصر, القاهرة.",692025
تكييف هواء,الصفوة انترناشونال للتكييف والمقاولات,"5 ش ريدان, تقاطع ش بستان الجيش, عباسية, القاهرة.",501272
تكييف هواء,المصرية الخليجية لاعمال التكييف - الشارقة لاعمال التكييف المركزى,"قطعة 134 طريق الروبيكى, المنطقة الصناعية - منطقة 250 فدان, مدينة بدر, القاهرة.",484750
تكييف هواء,كولينج لانظمة التكييف,"عمارة مسعود طريق المعاهدة, الدور 1, طلخا, المنصورة, الدقهلية.",312561
تكييف هواء,إيه سى بلس للتكييف,"106 ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",688476
تكييف هواء,اخوان رزق للتبريد والتكييف والتجارة والاستيراد,"ش عبد السلام عارف, ميدان الساعة, المنصورة, الدقهلية.",115282
تكييف هواء,الاتحاد المصرية للتكييف,"2188 عمارات الضباط, المرحلة الثانية, الحى العاشر, زهراء مدينة نصر, مدينة نصر, القاهرة.",463544
تكييف هواء,الهندسية جروب لمقاولات التكييف والحريق,"2 ش حلمى, بين السرايات, الدقى, الجيزة.",541439
تكييف هواء,الفا مصر لقطع غيار التبريد والتكييف,"وحدة 14, الاردنية - مول نجوم الصفا, العاشر من رمضان, الشرقية.",497071
تكييف هواء,نيو لايف,"7 ش المدينة المنورة, مصر الجديدة, القاهرة.",685195
