Category,Name,Address,ID
كازينوهات,اس كلوب,"2, ميدان فيكتوريا, دجلة, المعادى, القاهرة.",67332
كازينوهات,الذهبية عروس النيل,"143 كورنيش النيل, الجيزة, الجيزة.",136544
كازينوهات,انتر كازينو,"1115 كورنيش النيل, وسط البلد, القاهرة.",148677
كازينوهات,رادجاه جراند كازينو,"3 ش الطيران, متفرع من طريق صلاح سالم, مدينة نصر, القاهرة.",395906
كازينوهات,سيدرز كازينو,"29 أ كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",51377
كازينوهات,علاء الدين كازينو,"طريق السلام, شاركس باى, شرم الشيخ.",110913
كازينوهات,كازينو السيدة زينب,"6 ميدان السيدة زينب, السيدة زينب, القاهرة.",48447
كازينوهات,كازينو الشاطبى,"طريق الجيش, الشاطبى, الاسكندرية.",41620
كازينوهات,كازينو النيل السياحى,"1 ش سراى الجزيرة, الزمالك, القاهرة.",48436
كازينوهات,كازينو خزان اسوان,"177 ش 26 يوليو, الزمالك, القاهرة.",48450
كازينوهات,كازينو خليج نعمة,"., خليج نعمة, شرم الشيخ.",119004
كازينوهات,كازينو رويال,"الممشى السياحى, خليج نعمة, شرم الشيخ.",312183
كازينوهات,كازينو سطوحى,"103 ش الجمهورية, وسط البلد, القاهرة.",46690
كازينوهات,كازينو سيناء جراند,"طريق السلام, خليج نعمة, شرم الشيخ.",45389
كازينوهات,كازينو شرم,"طريق السلام, خليج نعمة, شرم الشيخ.",118064
كازينوهات,كازينو لامفتريون,"18 ش ابراهيم اللقانى, روكسى, مصر الجديدة, القاهرة.",48449
كازينوهات,كازينو هيلتون رمسيس,"كورنيش النيل, وسط البلد, القاهرة.",49637
كازينوهات,كنجز اند كوينز,"1 ش الشهيد سيد زكريا متفرع من طريق العروبة, مساكن شيراتون, مصر الجديدة, القاهرة.",59549
كازينوهات,ليالى الحارة,"كم 4.5، طريق برج العرب, برج العرب, الاسكندرية.",625287
