Category,Name,Address,ID
عيادات التأمين الصحى الشاملة,العيادة البيطرية الشاملة,"ش السمان الوسطانى, نزلة السمان, الهرم, الجيزة.",381437
عيادات التأمين الصحى الشاملة,العيادة البيطرية الشاملة,"15 ش المحطة, شبين القناطر, القليوبية.",517840
عيادات التأمين الصحى الشاملة,العيادة البيطرية الشاملة,", حى الجامعة, المنصورة, الدقهلية.",671527
عيادات التأمين الصحى الشاملة,العيادة البيطرية الشاملة,"96 ش بورسعيد - سنتريس, اشمون, المنوفية.",571136
عيادات التأمين الصحى الشاملة,العيادة البيطرية الشاملة,"1 طريق الفرعونيةسنتريس, اشمون, المنوفية.",571137
عيادات التأمين الصحى الشاملة,العيادة البيطرية الشاملة,"ش مجلس المدينة - شرق الشونة, دار السلام, سوهاج.",574047
عيادات التأمين الصحى الشاملة,عيادات كليوباترا الشاملة,"4 الاردنية، الدور 3, العاشر من رمضان, الشرقية.",621941
عيادات التأمين الصحى الشاملة,عيادة ابن لقمان الشاملة,"ش السلخانة القديم, المنصورة, الدقهلية.",363786
عيادات التأمين الصحى الشاملة,عيادة ابنوب الشاملة,"مساكن الشيخ حسن زناتى - ش الجمهورية, ابنوب, اسيوط.",362497
عيادات التأمين الصحى الشاملة,عيادة ابو تيج الشاملة,"المساكن الشعبية - طريق اسيوط سوهاج قبلى, ابو تيج, اسيوط.",362619
عيادات التأمين الصحى الشاملة,عيادة ابو حمص الشاملة,"الشارع الكبير, ابو حمص, البحيرة.",362957
عيادات التأمين الصحى الشاملة,عيادة ابو طشت الشاملة,"ش المحطة, ابو طشت, قنا.",363600
عيادات التأمين الصحى الشاملة,عيادة ابو كبير الشاملة,"ش السلام, ابو كبير, الشرقية.",363145
عيادات التأمين الصحى الشاملة,عيادة اجا الشاملة,"حى البيلوق, اجا, الدقهلية.",363770
عيادات التأمين الصحى الشاملة,عيادة احمد عرابى الشاملة,"ش المدارس, كفر الزيات, الغربية.",363856
عيادات التأمين الصحى الشاملة,عيادة اخميم الشاملة,"ش ناصر الزراعى, اخميم, سوهاج.",363578
عيادات التأمين الصحى الشاملة,عيادة ادكو الشاملة,"ش الاصلاح الزراعى, ادكو, البحيرة.",362984
عيادات التأمين الصحى الشاملة,عيادة البدارى الشاملة,"ش الحائط البحرى, البدارى, اسيوط.",362550
عيادات التأمين الصحى الشاملة,عيادة البلينا الشاملة,"المساكن الشعبية -, البلينا, سوهاج.",363590
عيادات التأمين الصحى الشاملة,عيادة الجمالية الشاملة,"ش الجيش, الجمالية, الدقهلية.",363774
عيادات التأمين الصحى الشاملة,عيادة الخانكة الشاملة,"مساكن الايواء -, الخانكة, القليوبية.",364088
عيادات التأمين الصحى الشاملة,عيادة الدلنجات الشاملة,"ش الاهرام, الدلنجات, البحيرة.",362943
عيادات التأمين الصحى الشاملة,عيادة الرحمانية الشاملة,"ش الشاطئ, الرحمانية, البحيرة.",363760
عيادات التأمين الصحى الشاملة,عيادة السلام الشاملة,"ش الشامية, اسيوط, اسيوط.",362494
عيادات التأمين الصحى الشاملة,عيادة السنبلاوين الشاملة,"ش المستشفى - ارض الجمال, السنبلاوين, الدقهلية.",362986
عيادات التأمين الصحى الشاملة,عيادة السنطة الشاملة,"., السنطة, الغربية.",363152
عيادات التأمين الصحى الشاملة,عيادة الطلائع الشاملة,"مساكن مجلس المدينة - - حى الخبازين, ابنوب, اسيوط.",362483
عيادات التأمين الصحى الشاملة,عيادة الطلاب المتفوقين الشاملة,"2 ش فريد الاطرش, عين شمس الغربية, القاهرة.",174185
عيادات التأمين الصحى الشاملة,عيادة العاشر من رمضان الشاملة,"المجاورة الثانية - مركز المدينة, العاشر من رمضان, الشرقية.",363846
عيادات التأمين الصحى الشاملة,عيادة العباسى الشاملة,"ش العباسى, المنصورة, الدقهلية.",363808
عيادات التأمين الصحى الشاملة,عيادة العبور الشاملة,"ش متولى الشعراوى, الخانكة, القليوبية.",364091
عيادات التأمين الصحى الشاملة,عيادة العبور الشاملة,"., وسط البلد, كفر الشيخ.",364178
عيادات التأمين الصحى الشاملة,عيادة العريش الشاملة,"ش الجيش متفرع من ش 23 يوليو, العريش, شمال سيناء.",364169
عيادات التأمين الصحى الشاملة,عيادة الغزل الشاملة,"طريق شرويدة - كوبرى الجامعة, الزقازيق, الشرقية.",363147
عيادات التأمين الصحى الشاملة,عيادة الفردوس الشاملة,"ش المحمودية, المنصورة, الدقهلية.",363779
عيادات التأمين الصحى الشاملة,عيادة القناطر الخيرية الشاملة,"التقسيم السياحى, القناطر الخيرية, القليوبية.",364083
عيادات التأمين الصحى الشاملة,عيادة القوصية الشاملة,"المساكن الشعبية - ش عرابى, القوصية, اسيوط.",362551
عيادات التأمين الصحى الشاملة,عيادة المجمع الشاملة,"حوض الدرس, بور توفيق, السويس.",363841
عيادات التأمين الصحى الشاملة,عيادة المحمودية الشاملة,"حى الزهور, المحمودية, البحيرة.",362950
عيادات التأمين الصحى الشاملة,عيادة المراغة الشاملة,"مساكن غرب السكة الحديد - طريق الحريدية, المراغة, سوهاج.",364118
عيادات التأمين الصحى الشاملة,عيادة المطرية الشاملة,"ش مستجد 14 متفرع من ش سليمان الحلبى, المطرية, الدقهلية.",362989
عيادات التأمين الصحى الشاملة,عيادة المنزلة الشاملة,"حى عرفات شلباية, المنزلة, الدقهلية.",363834
عيادات التأمين الصحى الشاملة,عيادة المنشاة الشاملة,"11 ش عبد المنعم رياض, المنشاه, سوهاج.",363579
عيادات التأمين الصحى الشاملة,عيادة النيل الشاملة,"ميدان المؤسسة, شبرا الخيمة, القليوبية.",364243
عيادات التأمين الصحى الشاملة,عيادة الواسطى الشاملة,"., الوسطى, بنى سويف.",364093
عيادات التأمين الصحى الشاملة,عيادة الوفاء الشاملة,"ش التحرير, سوهاج, سوهاج.",364126
عيادات التأمين الصحى الشاملة,عيادة الوقف الشاملة,"ش المستشفى, الوقف, قنا.",363596
عيادات التأمين الصحى الشاملة,عيادة اهناسيا الشاملة,"ش الشهيد ممدوح مصطفى, اهناسيا المدينة, بنى سويف.",470249
عيادات التأمين الصحى الشاملة,عيادة ببا الشاملة,"ش ترعة احمد باشا, ببا, بنى سويف.",364249
عيادات التأمين الصحى الشاملة,عيادة بلطيم الشاملة,"ش جمال عبد الناصر, بلطيم, كفر الشيخ.",363611
عيادات التأمين الصحى الشاملة,عيادة بلقاس الشاملة,"., بلقاس, الدقهلية.",363825
عيادات التأمين الصحى الشاملة,عيادة بنها الشاملة,"ش فريد ندا, بنها, القليوبية.",363187
عيادات التأمين الصحى الشاملة,عيادة بنى سويف الشاملة,"ش صلاح سالم, بنى سويف, بنى سويف.",363195
عيادات التأمين الصحى الشاملة,عيادة بهتيم الشاملة,"مساكن اسكو - ش بهتيم, بهتيم, القليوبية.",363190
عيادات التأمين الصحى الشاملة,عيادة بورسعيد الشاملة,"ش 23 يوليو, العرب, بور سعيد.",363572
عيادات التأمين الصحى الشاملة,عيادة بيلا الشاملة,"ش الجمهورية, بيلا, كفر الشيخ.",363613
عيادات التأمين الصحى الشاملة,عيادة تفهنا الاشراف الشاملة,"قرية تفهنا الاشراف, ميت غمر, الدقهلية.",363829
عيادات التأمين الصحى الشاملة,عيادة جديلة الشاملة,"ش محمد عبده, المنصورة, الدقهلية.",363792
عيادات التأمين الصحى الشاملة,عيادة جرجا الشاملة,"ش عبد الله النديم, جرجا, سوهاج.",364125
عيادات التأمين الصحى الشاملة,عيادة جمال عبد الناصر الشاملة,"قرية بنى مر, الفتح, اسيوط.",362478
عيادات التأمين الصحى الشاملة,عيادة جهينة الشاملة,"ش الجهاد - حى حسام الدين, جهينة, سوهاج.",363581
عيادات التأمين الصحى الشاملة,عيادة دار السلام الشاملة,"ش البوسطة, دار السلام, سوهاج.",363582
عيادات التأمين الصحى الشاملة,عيادة دشنا الشاملة,"ش البحر, دشنا, قنا.",364170
عيادات التأمين الصحى الشاملة,عيادة دكرنس الشاملة,"ش مجلس المدينة, دكرنس, الدقهلية.",363002
عيادات التأمين الصحى الشاملة,عيادة دمنهور الشاملة,"ش الجيش - ابو الريش, دمنهور, البحيرة.",362712
عيادات التأمين الصحى الشاملة,عيادة ديرب نجم الشاملة,"طريق الابراهيمية, ديرب نجم, الشرقية.",363015
عيادات التأمين الصحى الشاملة,عيادة ديروط الشاملة,"ش العتالين بحرى - حى السلام, ديروط, اسيوط.",362617
عيادات التأمين الصحى الشاملة,عيادة رشيد الشاملة,"حى السلام, رشيد(روسيتا), البحيرة.",363766
عيادات التأمين الصحى الشاملة,عيادة رفح الشاملة,"ش قطاع الامن المركزى - حى الصفا, رفح, شمال سيناء.",364127
عيادات التأمين الصحى الشاملة,عيادة ساحل سليم الشاملة,"ش الشهيد مراد حفنى, ساحل سليم, اسيوط.",362499
عيادات التأمين الصحى الشاملة,عيادة ساقلتة الشاملة,"ش الحرية, ساقلتة, سوهاج.",364124
عيادات التأمين الصحى الشاملة,عيادة سمسطا الشاملة,"ش بورسعيد, سمسطا, بنى سويف.",364098
عيادات التأمين الصحى الشاملة,عيادة سيد عبد الرحيم الشاملة,"ش المدارس, حى غرب, قنا.",363603
عيادات التأمين الصحى الشاملة,عيادة شبراخيت الشاملة,"ش محمود ابو شلوع, شبراخيت, البحيرة.",362946
عيادات التأمين الصحى الشاملة,عيادة شبين القناطر الشاملة,"طريق منيا القمح تقاطع طريق بنها, شبين القناطر, القليوبية.",364092
عيادات التأمين الصحى الشاملة,عيادة شربين الشاملة,"مساكن الهيمة -, شربين, الدقهلية.",363012
عيادات التأمين الصحى الشاملة,عيادة صدفا الشاملة,"5 مساكن مبارك -, صدفا, اسيوط.",362496
عيادات التأمين الصحى الشاملة,عيادة صهرجت الكبرى الشاملة,"ش المستشفى - قرية صهرجت الكبرى, ميت غمر, الدقهلية.",363816
عيادات التأمين الصحى الشاملة,عيادة طما الشاملة,"حى الزهراء, طما, سوهاج.",363588
عيادات التأمين الصحى الشاملة,عيادة طهطا الشاملة,"الشيخ عواجة, طهطا, سوهاج.",363575
عيادات التأمين الصحى الشاملة,عيادة طوخ الشاملة,"ش احمد بن عبد العزيز, طوخ, القليوبية.",364079
عيادات التأمين الصحى الشاملة,عيادة على بن ابى طالب الشاملة,"ش انور, طنطا, الغربية.",363861
عيادات التأمين الصحى الشاملة,عيادة فاقوس الشاملة,"ش مصطفى خليل متفرع من ش ترعة المنيا, فاقوس, الشرقية.",363143
عيادات التأمين الصحى الشاملة,عيادة فرشوط الشاملة,"عزبة شاكر وزيرى, فرشوط, قنا.",363594
عيادات التأمين الصحى الشاملة,عيادة فوه الشاملة,"طريق فوه دسوق الزراعى, فوه, كفر الشيخ.",363608
عيادات التأمين الصحى الشاملة,عيادة قطور الشاملة,"ش الجيش, قطور, الغربية.",364072
عيادات التأمين الصحى الشاملة,عيادة قفط الشاملة,"مساكن مجلس المدينة - ش السوق, قفط, قنا.",363599
عيادات التأمين الصحى الشاملة,عيادة قلين الشاملة,"ش جمال عبد الناصر, قلين, كفر الشيخ.",364175
عيادات التأمين الصحى الشاملة,عيادة قليوب الشاملة,"ش العاشر من رمضان, قليوب, القليوبية.",364240
عيادات التأمين الصحى الشاملة,عيادة قوص الشاملة,"طريق النصر, قوص, قنا.",363592
عيادات التأمين الصحى الشاملة,عيادة كفر شكر الشاملة,"ش طراد النيل, كفر شكر, القليوبية.",363181
عيادات التأمين الصحى الشاملة,عيادة كوم النور الشاملة,"ش المستشفى, ميت غمر, الدقهلية.",363832
عيادات التأمين الصحى الشاملة,عيادة كوم حمادة الشاملة,"ش عرابى 1, كوم حمادة, البحيرة.",362731
عيادات التأمين الصحى الشاملة,عيادة مجمع المصالح الحكومية الشاملة,"ش اسماعيل القبانى, اسيوط, اسيوط.",362491
عيادات التأمين الصحى الشاملة,عيادة مركز بدر الشاملة,"ش الحرية, مدينة بدر, البحيرة.",362967
عيادات التأمين الصحى الشاملة,عيادة مشتول السوق الشاملة,"ش المدينة المنورة, مشتول السوق, الشرقية.",363843
عيادات التأمين الصحى الشاملة,عيادة منيا القمح الشاملة,"ش جعفر متفرع من ش سعد زغلول, منيا القمح, الشرقية.",364233
عيادات التأمين الصحى الشاملة,عيادة منية النصر الشاملة,"ش على مبارك, منية النصر, الدقهلية.",362988
عيادات التأمين الصحى الشاملة,عيادة ميت سلسيل الشاملة,"طريق المنصورة المطرية الزراعى, ميت سلسيل, الدقهلية.",363837
عيادات التأمين الصحى الشاملة,عيادة ميت غمر الشاملة,"ش الحرية, ميت غمر, الدقهلية.",362994
عيادات التأمين الصحى الشاملة,عيادة نبروة الشاملة,"., نبروه, الدقهلية.",363819
عيادات التأمين الصحى الشاملة,عيادة نجع حمادى الشاملة,"ش التحرير, نجع حمادى, قنا.",364171
