Category,Name,Address,ID
مراكز تجميل,نور نيلز سنتر - نور شحاده,", منطقة المستثمرين الجنوبية - كمباوند طيبة هايتس, التجمع الخامس, القاهرة الجديدة, القاهرة.",629656
مراكز تجميل,مركز طارق نايل لتقليم الاظافر والعناية بالقدم,"47 ش ميشيل باخوم, متفرع من ش مصدق - ميدان النور, الدقى, الجيزة.",64856
مراكز تجميل,ايزابيلا اشيان سبا,"12 ش متولى الشعراوى, مربع الوزراء, مساكن شيراتون, مصر الجديدة, القاهرة.",693782
مراكز تجميل,مون لايت هيلث سنتر,"3 ز/1 ش المهندس شوقى عبد المنعم, تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",691228
مراكز تجميل,روزاليا بيوتى سنتر,"28 ش عباس العقاد, مدينة نصر, القاهرة.",695246
مراكز تجميل,سيتى مساج,"106 ش النيل - كورنيش العجوزة - الدور 3, الدقى, الجيزة.",613009
مراكز تجميل,مانويلا سبا اند مساج,"2 ميدان عمان, الدقى, الجيزة.",341033
مراكز تجميل,هرمس فارماسيوتيكال,"10064 عمارات المعراج - , زهراء المعادى, المعادى, القاهرة.",550179
مراكز تجميل,3 تاتش,"22 ش هارون, الدقى, الجيزة.",388271
مراكز تجميل,ابرو يادا بيوتى سنتر اند سباه,"فيلا 255 - ش شركة الكهرباء متفرع من ش التسعين - الحى الثانى, القاهرة الجديدة, القاهرة.",522604
مراكز تجميل,ابو شهاب,"ش عتاقة, حى الاربعين, السويس.",295935
مراكز تجميل,ابو علم,"ش مولد النبى, الزقازيق, الشرقية.",286454
مراكز تجميل,ابو فارس,"ش السوق, الرياض, كفر الشيخ.",364453
مراكز تجميل,ابوجيه بيوتى سنتر,"4 عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",150440
مراكز تجميل,اتش ام بيوتى صالون,"49 طريق مصر حلوان الزراعى, المعادى, القاهرة.",607358
مراكز تجميل,اتش اند سى بيوتى كوين,"11 ش مصطفى رياض, متفرع من ش البطراوى, مدينة نصر, القاهرة.",677303
مراكز تجميل,اتيليه وبيوتى سنتر ايسل,"برج الامارات 2، ش مهند المصرى، متفرع من ش الملكة, الطالبية, فيصل, الجيزة.",620085
مراكز تجميل,اتيليه وكوافير الاصدقاء,"15 عمارات مصر للتعمير - امتداد ش مصطفى النحاس - مشروع 41 عمارة, مدينة نصر, القاهرة.",313654
مراكز تجميل,اتيليه وكوافير الملكة اسراء,"51 ش شكرى القوتلى, العياط, الجيزة.",278617
مراكز تجميل,اتيليه وكوافير حلا,"ش السجل المدنى, شبراخيت, البحيرة.",368105
مراكز تجميل,اتيليه وكوافير كليوباترا,"ش كلية التجارة, بنها, القليوبية.",305061
مراكز تجميل,اتيليه وكوافير ماجيك تاتش,"3 ش منية مطر, المطرية, القاهرة.",447990
مراكز تجميل,احكى يا شهرزاد,"ش العشرين, عين شمس الشرقية, القاهرة.",318167
مراكز تجميل,احلى العرائس,"ش النصر, دار السلام, القاهرة.",334272
مراكز تجميل,احلى عروسة,"43 ش حسن داوود, فيصل, الجيزة.",254688
مراكز تجميل,احلى عروسة,"المجاورة الخامسة, الحى 12, السادس من اكتوبر, الجيزة.",459077
مراكز تجميل,احمد,"139 ش طومانباى, الزيتون, القاهرة.",256853
مراكز تجميل,احمد,"3 ش الفالوجا, المهندسين, الجيزة.",259381
مراكز تجميل,احمد الاسمر,"444 ش فيصل, فيصل, الجيزة.",170752
مراكز تجميل,احمد الصغير بيوتى صالون,"6 ش الاعناب, متفرع من ش عبد المنعم رياض, المهندسين, الجيزة.",150534
مراكز تجميل,احمد بيوتى سنتر,"طريق السلام, خليج باشا, شرم الشيخ.",106541
مراكز تجميل,احمد جلال ميكب ارتيست,"ش 6, المعادى, القاهرة.",474050
مراكز تجميل,احمد سالم,"30 ش مسجد الحضرى, الباب الجديد, الاسكندرية.",23581
مراكز تجميل,احمد سعد بيوتى سنتر,"طريق المطار القديم, منطقة المطار, مصر الجديدة, القاهرة.",275321
مراكز تجميل,احمد طه بيوتى سنتر,"14 عمارات مصر للتعمير, المنطقة الثالثة, مساكن شيراتون, مصر الجديدة, القاهرة.",154921
مراكز تجميل,احمد عبده بيوتى صالون,"9 ش حسنى عثمان, حى السفارات, مدينة نصر, القاهرة.",492241
مراكز تجميل,احمد غندر بيوتى صالون,"1 ش محمد يوسف القاضى, كلية البنات, مصر الجديدة, القاهرة.",679348
مراكز تجميل,احمد لطفى,"3 ش حسن افلاطون متفرع من ش الثورة, ارض الجولف, مصر الجديدة, القاهرة.",268232
مراكز تجميل,احمد لورد,"11 ش الصفا, امبابة, الجيزة.",262398
مراكز تجميل,احمد وسيد,"4 أ ش محمد كامل مرسى, المهندسين, الجيزة.",123043
مراكز تجميل,اخر كلام,"70 ش خالد بن الوليد, سيدى بشر, الاسكندرية.",222387
مراكز تجميل,ادور بيوتي سنتر,"58 ش جزيرة العرب, المهندسين, الجيزة.",550332
مراكز تجميل,ارت شيك,"109 ش احمد بدوى, ابو النمرس, الجيزة.",272092
مراكز تجميل,اركيديا,"18 ش سليمان الفارسى, العصافرة, الاسكندرية.",254143
مراكز تجميل,اس اند ام بيوتى سنتر,"2 ش عبد الوهاب عيد تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",481243
مراكز تجميل,اس وان بيوتى جيم,"ش البوسطة, وسط البلد, الفيوم.",354355
مراكز تجميل,اسامة,"27 ش د. عزت سلامة, المنطقة السادسة, مدينة نصر, القاهرة.",137268
مراكز تجميل,اسبيندوس حمام تركى,"., منطقة انتركونتيننتال, الغردقة.",148602
مراكز تجميل,اسما بيوتى صالون,"4 ش جمال دويدار متفرع من ش احمد الزمر, الحى الثامن, مدينة نصر, القاهرة.",512111
مراكز تجميل,اش اش,"38 ش الظواهرى, شبرا, القاهرة.",233414
مراكز تجميل,اش بيوتى صالون,"2096 ش الارقم بن ابى الارقم, المجاورة الثانية, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",671193
مراكز تجميل,اشدى,"طريق السلام تقاطع طريق التاور, هضبة ام السيد, شرم الشيخ.",157209
مراكز تجميل,اشرف شتا,"2 ش الصفا والمروة, حدائق المعادى, المعادى, القاهرة.",335573
مراكز تجميل,اشرف ومازن بيوتى صالون,"20 ش الشهيد محمد عبد الهادى, امتداد ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",162006
مراكز تجميل,اصيلة والاحلام,"ش الجيش, وسط البلد, كفر الشيخ.",360777
مراكز تجميل,اغا ميكاب,"5 ش صلاح الدين, المهندسين, الجيزة.",348019
مراكز تجميل,افرودايت ويلنسس سنتر,"172 ش معروف الرصافى, متفرع من ش كفر عبده, كفر عبده, الاسكندرية.",151570
مراكز تجميل,افريست بيوتى سنتر,"17 ش خلاط, شبرا, القاهرة.",464439
مراكز تجميل,افريقا ستايل,"9 ش عمر بن الخطاب - مدينة الصفا, المرج, القاهرة.",564424
مراكز تجميل,افيرنا,"ش ايوب حنا, عين شمس, القاهرة.",417560
مراكز تجميل,اكاديمية برومير للتجميل,"6 ش 26 يوليو, ميدان لبنان, المهندسين, الجيزة.",467180
مراكز تجميل,اكرم المصرى,"26 ش مدكور, فيصل, الجيزة.",394499
مراكز تجميل,اكريلك نيلز موكا,", ., مدينة نصر, القاهرة.",502445
مراكز تجميل,اكس اند جويشى,"القطعة 105 ش البنوك, التجمع الخامس, القاهرة الجديدة, القاهرة.",686365
مراكز تجميل,اكسبشن بيوتى سنتر,", مدينة الرحاب, القاهرة.",693584
مراكز تجميل,اكسكلوزيف,"طريق الشيراتون, سقالة, الغردقة.",154033
مراكز تجميل,ال,"القطعة A ش التسعين, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",412429
مراكز تجميل,ال ايه نيلز,", محور 79, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",666830
مراكز تجميل,ال بيوتى سنتر,"6 ش ابراهيم الدسوقى متفرع من ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",520303
مراكز تجميل,الاشقاء الخمسة,"14 ش عبد العزيز الدرينى, المنيل, القاهرة.",288587
مراكز تجميل,الاكاديمية العربية المصرية لتعليم المكياج,"326 ش جمال عبد الناصر, ميامى, الاسكندرية.",506272
مراكز تجميل,الامبراطورة,"129 ش فيصل, فيصل, الجيزة.",249976
مراكز تجميل,الان,"40 ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",173929
مراكز تجميل,الايدى الساحرة,"شاطئ دريم, هضبة ام السيد, شرم الشيخ.",162185
مراكز تجميل,البرنسيس,"ش المأمون, الجيزة, الجيزة.",139720
مراكز تجميل,البرنسيسة,"3 ش الكمال, الزيتون, القاهرة.",256854
مراكز تجميل,البيت السودانى,"24 ش درياس, عين شمس, القاهرة.",420764
مراكز تجميل,البيت السودانى,"ش راغب, حلوان, القاهرة.",384848
مراكز تجميل,البيت السودانى,"2 ش حسن الخولى, فيصل, الجيزة.",420192
مراكز تجميل,البيت اللبنانى,"12 ش فيصل, فيصل, الجيزة.",170748
مراكز تجميل,التونسى بيوتى سنتر,"2 ش عبد العزيز عيسى, الحى التاسع, مدينة نصر, القاهرة.",547150
مراكز تجميل,الجمل,"6 أ ش عين شمس, عين شمس الشرقية, القاهرة.",524237
مراكز تجميل,الجمل,"ش الجمهورية, بلقاس, الدقهلية.",361194
مراكز تجميل,الجنتل,"ش الشيراتون, سقالة, الغردقة.",246509
مراكز تجميل,الحسناء,"26 ش 18 متفرع من ش منشية التحرير, عين شمس, القاهرة.",421410
مراكز تجميل,الحكيم بيوتى,"37 ش الجراج متفرع من ش مصر والسودان, حدائق القبة, القاهرة.",160873
مراكز تجميل,الحياة,"ش 6 اكتوبر متفرع من ش العشرين, عين شمس, القاهرة.",420729
مراكز تجميل,الرملى,"13 ش احمد حشمت, الزمالك, القاهرة.",427135
مراكز تجميل,السرايا,"ش جلال الدسوقى, الحضرة, الاسكندرية.",255208
مراكز تجميل,السيد سيكا,"13 ش مسجد الحضرى, محرم بك, الاسكندرية.",23175
مراكز تجميل,الشا كوين افريكانو,"43 عمارات بيتشو امريكان سيتى - المرحلة الاولى, زهراء المعادى, المعادى, القاهرة.",455472
مراكز تجميل,الشهاوى للمنتجات الطبية لعلاج وعناية الشعر والبشرة - اى بى سى,"367 برج الاسكندرية ش جمال عيد التاصر, العصافرة, الاسكندرية.",511195
مراكز تجميل,الشيماء بيوتى سنتر,"ش البيطاش, البيطاش, الاسكندرية.",227973
مراكز تجميل,الصالون السورى للسيدات,"40 ش احمد محمد ابراهيم, مدينة نصر, القاهرة.",447405
مراكز تجميل,الصبايا,"6 ش ميت غمر, ميدان سفير, مصر الجديدة, القاهرة.",449140
مراكز تجميل,الصغير,"2 ش المناجم والمحاجر, المهندسين, الجيزة.",152800
مراكز تجميل,الصغير بيوتى سنتر,"2 ش ميخائيل دميان, شبرا, القاهرة.",433253
مراكز تجميل,الصفوة بيوتى سنتر,"15 ش سليمان الفارسى متفرع من ش جمال عبد الناصر, العصافرة بحرى, الاسكندرية.",521142
