Category,Name,Address,ID
مطاعم امريكية,ادم كافيه,"89 ش السودان, تقاطع ش جامعة الدول العربية, المهندسين, الجيزة.",563778
مطاعم امريكية,افانتى ايطاليان فوود,"1 ش الليث بن سعد متفرع من ش اسماعيل المازنى, ميدان الحجاز, مصر الجديدة, القاهرة.",567892
مطاعم امريكية,اكسوتيك,"ش الجهاز المجاورة الثالثة - الحى الثانى, الشيخ زايد, السادس من اكتوبر, الجيزة.",522038
مطاعم امريكية,انكل سامز,"القطعة A - ش التسعين - مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",579204
مطاعم امريكية,اوه بيتى,", ., القاهرة الجديدة, القاهرة.",645112
مطاعم امريكية,اى لايف,"ش شريف سلامة متفرع من ش اللاسلكى, المعادى, القاهرة.",319467
مطاعم امريكية,ايه ام كيتشن,"118 ش العزيز عثمان متفرع من ش 26 يوليو, الزمالك, القاهرة.",461979
مطاعم امريكية,باكتس,"1 ب ش د. ابراهيم عبد السيد امتداد ش البطالسة - الحى اللاتينى, باب شرق, الاسكندرية.",514617
مطاعم امريكية,برجر بوكس,"19 عمارات السعودية ش النزهة, مدينة نصر, القاهرة.",665434
مطاعم امريكية,بردوجز,"ش 232 متفرع من ش 233, دجلة, المعادى, القاهرة.",544548
مطاعم امريكية,برونكس برجر,"52 ش اسكندر ابراهيم, ميامى, الاسكندرية.",612988
مطاعم امريكية,بريكس برجر اند مور,", بيفرلى هيلز - منطقة الخدمات, السادس من اكتوبر, الجيزة.",551880
مطاعم امريكية,بليز ريستو,"49 ش النزهة, الماظة, مصر الجديدة, القاهرة.",386392
مطاعم امريكية,بووم برجر,"25 ش محب, متفرع من ش الحلو, طنطا, الغربية.",584264
مطاعم امريكية,تشكس,"40 ش الفردوس, سموحة, الاسكندرية.",595444
مطاعم امريكية,تشيك شاك,"179 ش 26 يوليو, الزمالك, القاهرة.",507818
مطاعم امريكية,تى جى اى - فرايدايز,"26 ش النيل, الجيزة, الجيزة.",74188
مطاعم امريكية,تيران دينر اند بيتش بار,"طريق السلام - المنتزه, رأس نصرانى, شرم الشيخ.",204972
مطاعم امريكية,جوز داينر,"79 ش عبد الحميد بدوى, مصر الجديدة, القاهرة.",507734
مطاعم امريكية,جيوفانيز,"طريق الجيش, المنتزة, المنتزه, الاسكندرية.",513148
مطاعم امريكية,حوارى تكساس,"4 ش الشهيد جلال الدين الدسوقى, متفرع من ش الميرغنى, الماظة, مصر الجديدة, القاهرة.",565673
مطاعم امريكية,دايتليشوس,"5 ش جمعية النسر متفرع من ش عبد المنعم رياض, المهندسين, الجيزة.",463771
مطاعم امريكية,دجاج سبايسى,"ش مجلس المدينة متفرع من ش الكورنيش, كفر الزيات, الغربية.",398265
مطاعم امريكية,ديكسترز,"5 ش احمد يحيى, زيزينيا, الاسكندرية.",581109
مطاعم امريكية,ذا برجر هاوس,"كم 33 طريق القاهرة السويس, مدينتى, القاهرة.",617530
مطاعم امريكية,ذا تشوكليت فاكتورى,"32 ش محمد صفوت, كفر عبده, الاسكندرية.",603764
مطاعم امريكية,رويز كانترى كيتشن,"16 ش سراى الجزيرة, الزمالك, القاهرة.",65469
مطاعم امريكية,ستريو ريستوران اند كافيه,"55 ش هجرس متفرع من ش المشاية السفلية, المنصورة, الدقهلية.",468722
مطاعم امريكية,ستون وود,"14 ش 218 تقاطع ش 231, دجلة, المعادى, القاهرة.",583967
