Category,Name,Address,ID
فاكهة وخضروات,شركة عبد الوهاب فروتس لتعبئة وتصدير الفواكه والخضروات,"طريق كفر ديما, كفر الزيات, الغربية.",266798
فاكهة وخضروات,6 اكتوبر للخضروات والفاكهة,"15 ش البطل احمد عبد العزيز, المهندسين, الجيزة.",383343
فاكهة وخضروات,ابن الاصول للخضراوات والفواكة,"2 ش الاخلاص - ابو زارع, المنيب, الجيزة.",501592
فاكهة وخضروات,ابن البلد,"4 ش الازهار, المنطقة الاولى, مدينة نصر, القاهرة.",686253
فاكهة وخضروات,ابن البلد للفواكه والخضراوات,"5 ش الشهيد حميد - عرب الوالدة, حلوان, القاهرة.",511474
فاكهة وخضروات,ابن البلد للفواكه والخضروات,"83 ش بورسعيد - سنتريس, اشمون, المنوفية.",569076
فاكهة وخضروات,ابناء البرلس للخضار والفاكهة,"29 ش جسر المشروع, الشهداء, المنوفية.",554069
فاكهة وخضروات,ابناء الفيوم,"113 مساكن زهراء مدينة نصر -, زهراء مدينة نصر, مدينة نصر, القاهرة.",311944
فاكهة وخضروات,ابناء الفيوم,"ش سهل حمزة, فيصل, الجيزة.",419302
فاكهة وخضروات,ابناء الفيوم,"1 ش سهل حمزة, الكوم الاخضر, الهرم, الجيزة.",382654
فاكهة وخضروات,ابناء المنيا للخضروات,"., الحى المتميز, السادس من اكتوبر, الجيزة.",440640
فاكهة وخضروات,ابناء المنيا للخضروات,"., الحى المتميز, السادس من اكتوبر, الجيزة.",484801
فاكهة وخضروات,ابناء سوهاج,"المجاورة الثامنة - عمارة 43, التجمع الاول, القاهرة الجديدة, القاهرة.",465154
فاكهة وخضروات,ابناء سوهاج,"11 ش ترعة الخشاب - الدواجن, حلوان, القاهرة.",461133
فاكهة وخضروات,ابناء سوهاج,"10 ش محمد طلعت سالم, المنطقة الاولى, مدينة نصر, القاهرة.",686050
فاكهة وخضروات,ابناء سوهاج,"ش القدس, فيصل, الجيزة.",398255
فاكهة وخضروات,ابناء سوهاج,"ش القدس متفرع من ش الفردوس, الطوابق, فيصل, الجيزة.",332785
فاكهة وخضروات,ابناء سوهاج,"13 ش ابن محاسن, محرم بك, الاسكندرية.",482735
فاكهة وخضروات,ابناء سوهاج للخضروات,"2 ش 8 - قرية المعتمدية, كرداسة, الجيزة.",557426
فاكهة وخضروات,ابناء سوهاج للخضروات والفاكهة,"198 ب, حدائق الاهرام, الهرم, الجيزة.",660843
فاكهة وخضروات,ابناء سوهاج للفاكهة والخضروات,"11 ش الشيخ عليش, سراى القبة, القاهرة.",399993
فاكهة وخضروات,ابناء سوهاج للفاكهة والخضروات,"5 ش حبيب افندى متفرع من ش بورسعيد, السيدة زينب, القاهرة.",521903
فاكهة وخضروات,ابناء عبد الكريم للفواكه,"10 ش محمد رشيد رضا, مصر الجديدة, القاهرة.",426596
فاكهة وخضروات,ابناء فانوس للفواكه,"143 ش الترعة البولاقية, شبرا, القاهرة.",466398
فاكهة وخضروات,ابناء ملوى للخضروات,"161 مساكن زهراء مدينة نصر -, زهراء مدينة نصر, مدينة نصر, القاهرة.",312069
فاكهة وخضروات,ابو ابراهيم,"ش بورسعيد, بلبيس, الشرقية.",327041
فاكهة وخضروات,ابو احمد,"119 ص, حدائق الاهرام, الهرم, الجيزة.",452048
فاكهة وخضروات,ابو احمد للخضراوات والفاكهة,"148 ش المدرسة - عرب العيايدة, القلج, القليوبية.",515493
فاكهة وخضروات,ابو احمد للخضروات والفاكهة,"ش سعاد كفافى, الحى المتميز, السادس من اكتوبر, الجيزة.",484829
فاكهة وخضروات,ابو ادم,"ش خالد بن الوليد, حدائق حلوان, القاهرة.",382193
فاكهة وخضروات,ابو اسلام,"المجاورة الثانية, الحى 12, السادس من اكتوبر, الجيزة.",355806
فاكهة وخضروات,ابو الدهب للفواكة,"سوق الجملة, الحضرة, الاسكندرية.",26918
فاكهة وخضروات,ابو العربى للفواكة,"59 ش 6 اكتوبر, المنيب, الجيزة.",658329
فاكهة وخضروات,ابو اية للخضراوات والفاكهة,"66 ش القدس, عين شمس الشرقية, القاهرة.",325233
فاكهة وخضروات,ابو حسن للخضروات,"19 ش الصفطاوى, البراجيل, الجيزة.",546386
فاكهة وخضروات,ابو حلاوة,"ش المعاهدة, ابو زعبل, القليوبية.",415578
فاكهة وخضروات,ابو ذكرى,"117 ز ش الثروة المعدنية, حدائق الاهرام, الهرم, الجيزة.",452500
فاكهة وخضروات,ابو زراع للفاكهة,"48 ش المحطة, قرية المرازيق, البدرشين, الجيزة.",664242
فاكهة وخضروات,ابو زمزم,"17 عمارات الشركة الكويتية - المرحلة الثانية, المعادى الجديدة, المعادى, القاهرة.",225214
فاكهة وخضروات,ابو سريع,"3 ش المدينة المنورة, شبرا الخيمة, القليوبية.",413560
فاكهة وخضروات,ابو صابر للفواكة,"30 ش مسرة, شبرا, القاهرة.",464340
فاكهة وخضروات,ابو عبده للفاكهة والخضراوات,"66 ش الرشاح - قرية طنان, قليوب, القليوبية.",519582
فاكهة وخضروات,ابو علاء,"ش الاشجار متفرع من ش 9, المقطم, القاهرة.",369646
فاكهة وخضروات,ابو على,"19 ش محمود خليل النحاس, فيصل, الجيزة.",419288
فاكهة وخضروات,ابو على,"9 ش النخيل - 6 اكتوبر, العجمى, الاسكندرية.",227412
فاكهة وخضروات,ابو عمار,"18 ش عكاشة, الهرم, الجيزة.",320621
فاكهة وخضروات,ابو فارس للخضروات والفواكة,"161 ش د. زكى حواس, المجاورة السابعة, حلوان, القاهرة.",642149
فاكهة وخضروات,ابو محمود,"ش اسماعيل كامل تقاطع ش رايل, حلوان, القاهرة.",384002
فاكهة وخضروات,ابو مريم للفاكهة,"52 ش المدرسة - عرب العيايدة, القلج, القليوبية.",515237
فاكهة وخضروات,ابو ناجى للخضروات والفواكة,"35 ش ذكى, حلوان, القاهرة.",641406
فاكهة وخضروات,ابو هانى,"ش اولاد عوف, الهرم, الجيزة.",323614
فاكهة وخضروات,ابو هلال,"ش بحر ترسا, وسط البلد, الفيوم.",312844
فاكهة وخضروات,ابو يوسف,"ش المستشفى, الزاوية الحمراء, القاهرة.",403563
فاكهة وخضروات,ابو يوسف للخضروات والفاكهة,"24 ش عبد الحى حجازى, مدينة نصر, القاهرة.",683539
فاكهة وخضروات,ابو يوسف للفاكهة,"7 ش محمود الزاكى, العمرانية الغربية, الهرم, الجيزة.",492087
