Category,Name,Address,ID
مركز غطس وسفاري ورحلات بحرية,ابيدوس مارينا,"الجولف, وسط البلد, الجونة.",107140
مركز غطس وسفاري ورحلات بحرية,اجواء البحر للغوص والسفارى,"27 د ش اللاسلكى متفرع من ش النصر, المعادى الجديدة, المعادى, القاهرة.",64642
مركز غطس وسفاري ورحلات بحرية,ادفينشرر,"ش الفريق يوسف عفيفى - الممشى السياحى, طريق القرى, الغردقة.",60898
مركز غطس وسفاري ورحلات بحرية,ار تى ان لتجارة معدات الغطس,"ش النصر سنترال الوكيل, سقالة, الغردقة.",154693
مركز غطس وسفاري ورحلات بحرية,اس.اس زيستلجورم,"., السوق القديم, شرم الشيخ.",144472
مركز غطس وسفاري ورحلات بحرية,اسما دايف,"16 طريق صبرى مبدى المرحلة الخامسة, الشيخ زايد, الاسماعيلية.",367980
مركز غطس وسفاري ورحلات بحرية,اطلنتس للغوص,"3 ش هدى شعراوى, باب اللوق, القاهرة.",120472
مركز غطس وسفاري ورحلات بحرية,افروديت دايفنج سنتر,"., الدهار, الغردقة.",117722
مركز غطس وسفاري ورحلات بحرية,افريكان دايفرز,"ش مجلس المدينة, هضبة ام السيد, شرم الشيخ.",164824
مركز غطس وسفاري ورحلات بحرية,افريكان دايفرز نويبع,"5 طريق الكورنيش, الميناء, نويبع.",306170
مركز غطس وسفاري ورحلات بحرية,اكتبوس ورلد دهب,"لايت هاوس, المسبط, دهب.",414712
مركز غطس وسفاري ورحلات بحرية,اكتوبوس دايفينج سنتر,"طريق الكورنيش, الدهار, الغردقة.",281844
مركز غطس وسفاري ورحلات بحرية,اكسبريس سفارى,"- الممشى السياحى, الدهار, الغردقة.",249087
مركز غطس وسفاري ورحلات بحرية,اكسترا دايفرز ايجيبت,"كم 32 - طريق الغردقة سفاجا, مكادى باى, الغردقة.",60700
مركز غطس وسفاري ورحلات بحرية,اكشن سبورت دايفينج سنتر,"ش قمر سيناء, هضبة ام السيد, شرم الشيخ.",45368
مركز غطس وسفاري ورحلات بحرية,اكوا دايفرز,"ش المشربة, المسبط, دهب.",311443
مركز غطس وسفاري ورحلات بحرية,اكوا سبورت,", طابا بيتش, طريق نويبع طابا, طابا.",101172
مركز غطس وسفاري ورحلات بحرية,اكوا لونج ايجيبت,"كم 11 - طريق المطار - فيلا 22, جزيرة مجاويش, الغردقة.",512579
مركز غطس وسفاري ورحلات بحرية,اكوا مارين,"كم 8 - طريق نبق السياحى, خليج نبق, شرم الشيخ.",146717
مركز غطس وسفاري ورحلات بحرية,اكواتيرا دايفينج,"., خليج نعمة, شرم الشيخ.",117734
مركز غطس وسفاري ورحلات بحرية,اكواريوس دايفينج سنتر,"طريق السلام, رأس نصرانى, شرم الشيخ.",204964
مركز غطس وسفاري ورحلات بحرية,اكواريوس دايفينج كلوب,"ش الشيراتون, الممشى السياحى, الهضبة, الغردقة.",53780
مركز غطس وسفاري ورحلات بحرية,اكوانت بلو هيفين,"ش الكورنيش, الدهار, الغردقة.",448373
مركز غطس وسفاري ورحلات بحرية,اكولا دايف شوب,"., السوق القديم, شرم الشيخ.",144505
مركز غطس وسفاري ورحلات بحرية,الاختيار الافضل لمعدات الغوص,"متفرع من ش الشيراتون, الهضبة, الغردقة.",209360
مركز غطس وسفاري ورحلات بحرية,الاكاديمية الدولية لتكنولوجيا الغوص,"11 ش قرداحى متفرع من ش ابو قير, رشدى, الاسكندرية.",366482
مركز غطس وسفاري ورحلات بحرية,البحر الاحمر لغوص السفارى,"53 ش الحسين, متفرع من ش نادى الصيد, الدقى, الجيزة.",104329
مركز غطس وسفاري ورحلات بحرية,البحر الاحمر لمعدات الغطس,"4 عمارات القيادات -, الدهار, الغردقة.",242176
مركز غطس وسفاري ورحلات بحرية,الترا بيور جاز,"7 ش شريف - ش الخديوى سابقا, مينا البصل, الاسكندرية.",67872
مركز غطس وسفاري ورحلات بحرية,الحمد جملة ماركت,"ش ابو نواس, سقالة, الغردقة.",144353
مركز غطس وسفاري ورحلات بحرية,الدولية البحرية,"89 ش خالد بن الوليد, ميدان محمد نجيب, سيدى بشر, الاسكندرية.",47103
مركز غطس وسفاري ورحلات بحرية,الرحلات الجبلية,"منطقة الملقاة, سانت كاترين, شرم الشيخ.",115803
مركز غطس وسفاري ورحلات بحرية,الشرق الاوسط للغوص التجارى,"3 ش اسكندر ابراهيم, ميامى, الاسكندرية.",461932
مركز غطس وسفاري ورحلات بحرية,الشركة المصرية الصينية للاستيراد والتصدير,"17 ش البحرى - الحى الثانى, عرايشية مصر, الاسماعيلية.",421359
مركز غطس وسفاري ورحلات بحرية,الطاهر للغطس,"25 ش بورسعيد, ابو قير, الاسكندرية.",425895
مركز غطس وسفاري ورحلات بحرية,الغز للرحلات البحرية,"ش المستشفى, الدهار, الغردقة.",106853
مركز غطس وسفاري ورحلات بحرية,الغطس التجارى للخدمات البحرية,"177 طريق الجيش - الدور 1, سيدى جابر, الاسكندرية.",37141
مركز غطس وسفاري ورحلات بحرية,الغواصة سندباد,"ش الشيراتون, طريق القرى, الغردقة.",142146
مركز غطس وسفاري ورحلات بحرية,الغواصين المصريين,"., خليج نعمة, شرم الشيخ.",107883
مركز غطس وسفاري ورحلات بحرية,الكساندرا دايف,"24 ش 26 يوليو, الانفوشى, الاسكندرية.",113855
مركز غطس وسفاري ورحلات بحرية,الكنوز المصرية,"., خليج نعمة, شرم الشيخ.",259980
مركز غطس وسفاري ورحلات بحرية,المدرسة المصرية الدولية للغوص,"100 ش خالد بن الوليد, سيدى بشر, الاسكندرية.",459574
مركز غطس وسفاري ورحلات بحرية,المشربية دايفنج سنتر,"ش الشيراتون - الممشى السياحى, سقالة, الغردقة.",119200
مركز غطس وسفاري ورحلات بحرية,المندرة للرياضات البحرية,"., كفر الجونة, الجونة.",143114
مركز غطس وسفاري ورحلات بحرية,اليكس سفارى الجونة,". - الدور 2, وسط البلد, الجونة.",100722
مركز غطس وسفاري ورحلات بحرية,اليوس دايف كلوب اند اكوا سبورتس سنتر,"طريق يوسف عفيفى, الممشى السياحى, طريق القرى, الغردقة.",137909
مركز غطس وسفاري ورحلات بحرية,امبا سفارى,"- لايت هاوس باى, المسبط, دهب.",110294
مركز غطس وسفاري ورحلات بحرية,امبرو دايفر,"274 طريق عرابيةجبل الحريم, الدهار, الغردقة.",240500
مركز غطس وسفاري ورحلات بحرية,امبرور دايفرز,"ش الميناء, الميناء, نويبع.",241425
مركز غطس وسفاري ورحلات بحرية,امبيرور دايفرز,"., وسط البلد, الجونة.",241204
مركز غطس وسفاري ورحلات بحرية,انتياس دايفرز,"210 طريق السلام, خليج نعمة, شرم الشيخ.",506392
مركز غطس وسفاري ورحلات بحرية,اندر سى ادفنتشرز,"طريق الغردقة سفاجا, طريق القرى, الغردقة.",408310
مركز غطس وسفاري ورحلات بحرية,انكل سام,"., خليج نعمة, شرم الشيخ.",196245
مركز غطس وسفاري ورحلات بحرية,اواى اواى,"., سانت كاترين, شرم الشيخ.",143213
مركز غطس وسفاري ورحلات بحرية,اوركا دايف كلوبس,"ش النصر, سقالة, الغردقة.",146392
مركز غطس وسفاري ورحلات بحرية,اورينتال دايفينح سنتر,"طريق السلام, خليج نعمة, شرم الشيخ.",150978
مركز غطس وسفاري ورحلات بحرية,اورينتال سفارى,"الممشى السياحى, طريق القرى, الغردقة.",246895
مركز غطس وسفاري ورحلات بحرية,اوشن دايفينج سنتر,"طريق السلام, خليج نعمة, شرم الشيخ.",203416
مركز غطس وسفاري ورحلات بحرية,اوشن كولدج دايف سنتر,"ش الملك عبد الله, خليج نعمة, شرم الشيخ.",109921
مركز غطس وسفاري ورحلات بحرية,اوشنز ريد سى,"ش الملك عبد الله, خليج نعمة, شرم الشيخ.",311675
مركز غطس وسفاري ورحلات بحرية,اوشين تك,"., شرم المياه, شرم الشيخ.",113628
مركز غطس وسفاري ورحلات بحرية,اوكتوبس دايفرز,"ش السلام, خليج نعمة, شرم الشيخ.",150872
مركز غطس وسفاري ورحلات بحرية,اوكتوبس دايفرز,"., عصلة, دهب.",188903
مركز غطس وسفاري ورحلات بحرية,اوكسجين دايفينج سنتر,"., هضبة ام السيد, شرم الشيخ.",143636
مركز غطس وسفاري ورحلات بحرية,اوناس دايف كلوب,"., خليج نعمة, شرم الشيخ.",42547
مركز غطس وسفاري ورحلات بحرية,اونلى سيكس دايفينج سنتر,"., شرم المياه, شرم الشيخ.",119715
مركز غطس وسفاري ورحلات بحرية,اى دى ايه - الدولية لمعدات الغطس,"ش قرية الصيادين ميدان العروسة, سقالة, الغردقة.",140382
مركز غطس وسفاري ورحلات بحرية,اى دى سى,"ش المشربة, المسبط, دهب.",552914
مركز غطس وسفاري ورحلات بحرية,ايجل دايفرز,", شاركس باى, شرم الشيخ.",475394
مركز غطس وسفاري ورحلات بحرية,ايجيبت سفارى,"159 ش جسر السويس, مصر الجديدة, القاهرة.",137390
مركز غطس وسفاري ورحلات بحرية,ايجيبت صن مارين,"., شرم المياه, شرم الشيخ.",527917
