Category,Name,Address,ID
سفارة وقنصلية,فيا ترانسليشن للترجمة المعتمدة,"183 ش التحرير, عمارة ستراند - الدور الاول - باب اللوق, وسط البلد, القاهرة.",551666
سفارة وقنصلية,ايجى برفكت للترجمة المعتمدة,"1 ش ممتاز, ترعة الزمر, الجيزة, الجيزة.",688917
سفارة وقنصلية,جلوباليز جروب لخدمات الترجمة المعتمدة,"1 ش جامعة القاهرة, الشقة 29, الدور 8, الجيزة, الجيزة.",694725
سفارة وقنصلية,جالينوس للترجمة المعتمدة وخدمات رجال الاعمال,"1 ش محى الدين ابو العز, الدقى, الجيزة.",667918
سفارة وقنصلية,ريفيل للترجمة المعتمدة,"128 ش السودان, الدور 6, المهندسين, الجيزة.",690995
سفارة وقنصلية,ايجيتا,"1 /4 ش د. انور المفتى, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",526292
سفارة وقنصلية,السفارة الاسترالية,"1191 كورنيش النيل - الدور 11, بولاق, القاهرة.",13086
سفارة وقنصلية,السفارة الملكية الهولندية,"18 ش حسن صبرى, الزمالك, القاهرة.",17344
سفارة وقنصلية,القنصلية الايطالية بالقاهرة,"1191 كورنيش النيل, رملة بولاق, القاهرة.",146836
سفارة وقنصلية,القنصلية العامة لجمهورية السودان,"طريق السادات - طريق الخزان سابقا, وسط البلد, اسوان.",392182
سفارة وقنصلية,القنصلية الفخرية لجمهورية جزر المارشال,"8 ش محمد بيومى - الدور 10, ارض الجولف, مصر الجديدة, القاهرة.",4120
سفارة وقنصلية,القنصلية اللبنانية العامة,"64 طريق الحرية, محطة الرمل, الاسكندرية.",43383
سفارة وقنصلية,القنصلية اليونانية العامة,"63 ش الاسكندر الاكبر, الشاطبى, الاسكندرية.",43381
سفارة وقنصلية,الملحق العسكرى لسفارة الامارات العربية المتحدة,"16 ش حسن افلاطون متفرع من ش الثورة, الماظة, مصر الجديدة, القاهرة.",140198
سفارة وقنصلية,الوفد الدائم للمملكة العربية السعودية لدى جامعة الدول العربية,"3 ش اليمن, الجيزة, الجيزة.",506849
سفارة وقنصلية,آي ترانسليت جروب ش.م.م.,"3 ش 103, متفرع من ش 151 - ميدان الحرية, المعادى, القاهرة.",256527
سفارة وقنصلية,ايجاز - مكتب مصر اذربيجان للتمثيل التجارى,"2 ش ابراهيم الراجى متفرع من ش مصطفى كامل - برج الهدى, كفر عبده, الاسكندرية.",484885
سفارة وقنصلية,ايه اس للترجمة,"عمارة 56 أ, المجاورة الثالثة, الحى 13, الشيخ زايد, السادس من اكتوبر, الجيزة.",653652
سفارة وقنصلية,سفارة ارتريا,"6 ش الفلاح متفرع من ش شهاب, المهندسين, الجيزة.",43104
سفارة وقنصلية,سفارة اسبانيا,"41 ش اسماعيل محمد متفرع من ش البرازيل, الزمالك, القاهرة.",17345
سفارة وقنصلية,سفارة استونيا,"3 ش ابو الفدا - برج ابو الفدا الادارى - الدور 8, الزمالك, القاهرة.",504648
سفارة وقنصلية,سفارة الارجنتين,"8 ش الصالح ايوب, الشقة 2, الدور 1, متفرع من ش 26 يوليو, الزمالك, القاهرة.",17518
سفارة وقنصلية,سفارة الاكوادور,"5 ش ابن النبيه, الزمالك, القاهرة.",18628
سفارة وقنصلية,سفارة الامارات العربية المتحدة,"4 ش ابن سينا متفرع من ش مراد, الجيزة, الجيزة.",19164
سفارة وقنصلية,سفارة البرازيل,"2005 ج ابراج نايل سيتى - البرج الشمالى - كورنيش النيل - الدور 18, رملة بولاق, القاهرة.",347540
سفارة وقنصلية,سفارة البرتغال,"25 ش احمد حشمت, الزمالك, القاهرة.",543628
سفارة وقنصلية,سفارة البوسنة والهرسك,"42 ش الثورة, الدقى, الجيزة.",18720
سفارة وقنصلية,سفارة الجزائر,"14 ش البرازيل متفرع من ش 26 يوليو, الزمالك, القاهرة.",17556
سفارة وقنصلية,سفارة الجمهورية الاسلامية الموريتانية,"24 ش عبد الله الكاتب, العجوزة, الجيزة.",18398
سفارة وقنصلية,سفارة الجمهورية التشيكية,"4 ش الدقى, الدقى, الجيزة.",18237
سفارة وقنصلية,سفارة الجمهورية التونسية,"26 ش سراى الجزيرة, الزمالك, القاهرة.",17298
سفارة وقنصلية,سفارة الجمهورية الفيدرالية الديموقراطية الاثيوبية,"14 ش رفاعة ميدان المساحة, الدقى, الجيزة.",559554
سفارة وقنصلية,سفارة الجمهورية اليمنية,"28 ش امين الرافعى, ميدان المساحة, الدقى, الجيزة.",19310
سفارة وقنصلية,سفارة الدنمارك,"12 ش حسن صبرى, الدور 6, متفرع من ش بهى الدين, الزمالك, القاهرة.",99311
سفارة وقنصلية,سفارة السنغال,"46 ش عبد المنعم رياض, المهندسين, الجيزة.",6333
سفارة وقنصلية,سفارة السويد,"13 ش محمد مظهر, الزمالك, القاهرة.",17666
سفارة وقنصلية,سفارة الفاتيكان,"5 ش محمد مظهر - الدور 1, الزمالك, القاهرة.",17183
سفارة وقنصلية,سفارة الفلبين,"9 ش 215, دجلة, المعادى, القاهرة.",135496
سفارة وقنصلية,سفارة الكويت,"6 ش محمد صبحى متفرع من ش النيل, الجيزة, الجيزة.",399989
سفارة وقنصلية,سفارة المجر,"29 ش محمد مظهر, الزمالك, القاهرة.",17106
سفارة وقنصلية,سفارة المكسيك,"25 ش الحدائق, سرايات المعادى, المعادى, القاهرة.",6735
سفارة وقنصلية,سفارة المملكة الاردنية الهاشمية,"6 ش باسم الكاتب متفرع من ش التحرير, الدقى, الجيزة.",18240
سفارة وقنصلية,سفارة المملكة العربية السعودية,"3 ش اليمن, الجيزة, الجيزة.",61282
سفارة وقنصلية,سفارة المملكة المتحدة,"7 ش احمد راغب, جاردن سيتى, القاهرة.",44685
سفارة وقنصلية,سفارة المملكة المغربية,"10 ش صلاح الدين, الزمالك, القاهرة.",17490
سفارة وقنصلية,سفارة المملكة النرويجية,"8 ش الجزيرة, الزمالك, القاهرة.",17230
سفارة وقنصلية,سفارة النمسا,"5 ش ويصا واصف - برج الرياض, الجيزة, الجيزة.",12444
سفارة وقنصلية,سفارة الهند,"5 ش عزيز اباظة, الزمالك, القاهرة.",49825
سفارة وقنصلية,سفارة الولايات المتحدة الامريكية,"5ش توفيق دياب, ميدان سيمون بوليفار, جاردن سيتى, القاهرة.",20208
سفارة وقنصلية,سفارة اليابان,"81 كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",19947
سفارة وقنصلية,سفارة اليونان,"18 ش عائشة التيمورية, جاردن سيتى, القاهرة.",67874
سفارة وقنصلية,سفارة اورجواى,"6 ش زكريا رزق متفرع من ش 26 يوليو, الزمالك, القاهرة.",17702
سفارة وقنصلية,سفارة اوكرانيا,"فيلا 50 - ش 83, المعادى, القاهرة.",99327
سفارة وقنصلية,سفارة ايران,"12 ش رفاعة, ميدان المساحة, الدقى, الجيزة.",100155
