Category,Name,Address,ID
حضانات ومراكز رعاية اطفال,حضانة بامبل بى,", كومباوند الخمائل, الشيخ زايد, السادس من اكتوبر, الجيزة.",159283
حضانات ومراكز رعاية اطفال,حضانة بينن شتوك,"بلوك 6, محور 26 يوليو - المرحلة الثالثة ب, كمباوند الخمائل, الشيخ زايد, السادس من اكتوبر, الجيزة.",664506
حضانات ومراكز رعاية اطفال,حضانة صن رايز,"القطعة 899, محور الكفراوى - تقاطع ش الخزان - المجاورة الخامسة, الحى الخامس, السادس من اكتوبر, الجيزة.",441352
حضانات ومراكز رعاية اطفال,اكاديمية فانتاستيك للاطفال,"قطعه 63 - ش الجزيره, التجمع الخامس, القاهرة الجديدة, القاهرة.",459304
حضانات ومراكز رعاية اطفال,ابتسامة طفل,"6 ش احمد شعيب - بركة الحاج, المرج, القاهرة.",565683
حضانات ومراكز رعاية اطفال,اجيال اكاديمى,"22 ش احمد عبد الجليل, حدائق المعادى, المعادى, القاهرة.",506689
حضانات ومراكز رعاية اطفال,احباب الرحمن,"17 عمارات الشركة الكويتية -, المعادى الجديدة, المعادى, القاهرة.",223468
حضانات ومراكز رعاية اطفال,احلام الطفل,"6 ش عبد الرحمن امين, عين شمس الشرقية, القاهرة.",322458
حضانات ومراكز رعاية اطفال,ار تو ام بريسكول,"4 ميدان الدكتور سليمان متفرع من ش مصدق, المهندسين, الجيزة.",301846
حضانات ومراكز رعاية اطفال,اس سى ايه - حضانة الاطفال الازكياء,"4 ب عمارات البترول - ش الاذاعة, جليم, الاسكندرية.",471535
حضانات ومراكز رعاية اطفال,اسلاميك كيدز اكاديمى,"420 ش 17, المجاورة الثالثة, الحى الثالث, السادس من اكتوبر, الجيزة.",519388
حضانات ومراكز رعاية اطفال,اشبيل فيزا,"20 الشطر السادس, زهراء المعادى, المعادى, القاهرة.",465189
حضانات ومراكز رعاية اطفال,اطفالنا الحلوين,"1170 - زهراء مدينة نصر, مدينة نصر, القاهرة.",157767
حضانات ومراكز رعاية اطفال,اكاديمية اجيال,"الطريق الدائرى, تقاطع طريق القاهرة السويس, ميراج سيتى, التجمع الاول, القاهرة الجديدة, القاهرة.",451700
حضانات ومراكز رعاية اطفال,اكاديمية اجيال المستقبل,"ش الشيخ حسن ايوب, متفرع من ش الجيش, منوف, المنوفية.",547845
حضانات ومراكز رعاية اطفال,اكاديمية ارتوبيا,"3 ش 11, متفرع من ش 77, ثكنات المعادى, المعادى, القاهرة.",633378
حضانات ومراكز رعاية اطفال,اكاديمية اطفال المستقبل,"27 ش مكة - عرب الطوايلة, عزبة النخل, القاهرة.",525675
حضانات ومراكز رعاية اطفال,اكاديمية اطفال المستقبل,"28 ش عبد الحميد مكى, حدائق المعادى, المعادى, القاهرة.",681407
حضانات ومراكز رعاية اطفال,اكاديمية اطفال المستقبل,"6 ش محمد مسلم, شبين الكوم, المنوفية.",540358
حضانات ومراكز رعاية اطفال,اكاديمية اعداد مبدع للاطفال,"18 ش الرشاح - العزبة الشرقية, الحوامدية, الجيزة.",617862
