Category,Name,Address,ID
ثلج ومعدات ثلج,ذا روكس ايجيبت لصناعة الثلج,"22 ش الحسين, متفرع من ش الدقى, الدقى, الجيزة.",147921
ثلج ومعدات ثلج,ابو الحسن للتجارة والتوزيع,"160 ش خالد بن الوليد, سيدى بشر, الاسكندرية.",232584
ثلج ومعدات ثلج,ابو رواش للثلج والتبريد,"كم 26، ش عادل والى - طريق القاهرة اسكندرية الصحراوىالمنطقة الصناعية, ابو رواش, الجيزة.",625035
ثلج ومعدات ثلج,ابو عتاقة,"ش نجيب نوفل, كفر الزيات, الغربية.",343625
ثلج ومعدات ثلج,ابو عمر لتجارة الثلج,"5 طريق مصر اسيوط السريع, البدرشين, الجيزة.",610392
ثلج ومعدات ثلج,الاخلاص لتصنيع الثلج,", منطقة انشاص الصناعية, مدينة العبور, القليوبية.",670206
ثلج ومعدات ثلج,الاسيوطى للثلج,"41 ش انس بن مالك - عزبة الحفير, الخصوص, القليوبية.",500378
ثلج ومعدات ثلج,الشركة الدولية للثلج الجاف - ديفكو2,"12 ش بطرس غالى, روكسى, مصر الجديدة, القاهرة.",58962
ثلج ومعدات ثلج,الشركة العربية للصناعات والتوريدات الهندسية,"29 ش الزنانيرى - جزيرة بدران - روض الفرج, شبرا, القاهرة.",120569
ثلج ومعدات ثلج,الصفا والمروة,"32 ش الاخطل, باكوس, الاسكندرية.",96969
ثلج ومعدات ثلج,الفياض لتوريد الثلج,"42 ش احمد عرابى, شبرا الخيمة, القليوبية.",638014
ثلج ومعدات ثلج,اليكس ايس,"ش 16, الفلكى, السيوف, الاسكندرية.",693609
ثلج ومعدات ثلج,اولاد ابو اسماعيل لتجارة الثلج,"24 ش الاعتماد - المنيرة الغربية, امبابة, الجيزة.",572457
ثلج ومعدات ثلج,اولاد عزيز,"114 ش الفتح, باكوس, الاسكندرية.",304995
ثلج ومعدات ثلج,بيور ايس ايجيبت,"ش عبد الرحيم صبرى, الدقى, الجيزة.",507056
ثلج ومعدات ثلج,حامد لتجارة الثلج,"8 ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",579279
ثلج ومعدات ثلج,سابرو للثلج,", المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",688268
ثلج ومعدات ثلج,سيدر ايس,"23 ش عمر بن الخطاب, متفرع من ش المروة, الدقى, الجيزة.",572080
ثلج ومعدات ثلج,عدنان محمود محسب,"2 ش امير البحر تقاطع ش الرصافة, محرم بك, الاسكندرية.",23733
ثلج ومعدات ثلج,كريستال ايس,"القطعة السابعة - - المنطقة الصناعية, مدينة العبور, القليوبية.",210650
ثلج ومعدات ثلج,مستودع جليم,"3 ش الاذاعة, جليم, الاسكندرية.",102855
ثلج ومعدات ثلج,مصنع ثلج الصالحية,"قطاع د - المنطقة الصناعية, الصالحية الجديدة, الشرقية.",45751
