Category,Name,Address,ID
جيم,جيم رشاقة للسيدات فقط,"ش الاتحاد, المنيب, الجيزة.",693787
جيم,ميتالو جيم اند سبا,"برج مكين ش سعد زغلول, توريل - مشاية النيل, المنصورة, الدقهلية.",693270
جيم,مركز بلو سكاى سبا للمساج والعلاج الطبيعى,"21 برج العروبة ش محي الدين ابو العز, الدقى, الجيزة.",690427
جيم,360 فيتنس,"3 ش تحسين فرغلى, المنطقة الاولى, مدينة نصر, القاهرة.",686118
جيم,360 فيتنيس,"ش 42, المجاورة الرابعة, الحى الاول, مدينة الشروق, القاهرة.",487960
جيم,اب تاون جيم,"20 ش الجهاد, الدور 1, متفرع من ش النيل الابيض - ميدان لبنان, المهندسين, الجيزة.",565219
جيم,اتش تو او جيم اند سبا,"90 ش محمد فريد, متفرع من ش فريد سميكة, ميدان الحجاز, مصر الجديدة, القاهرة.",451722
جيم,ادم جيم,"33 ش سليمان غزال - الفلاحة, المرج, القاهرة.",487137
جيم,ادم جيم,"طريق اسكندرية مطروح, ابو يوسف, الاسكندرية.",602775
جيم,ادمز جيم,"297 ش رمسيس, الظاهر, القاهرة.",277262
جيم,ارت جيم,"62 ش صلاح حبيب, البراجيل, الجيزة.",547336
جيم,ارت جيم فيتنس,"ش نادى باريس, قليوب, القليوبية.",490177
جيم,ارنولد جيم,"29 ش عين شمس, عين شمس, القاهرة.",417258
جيم,ارنولد جيم,"63 ش محطة المياه - مدينة الامل, المرج, القاهرة.",561465
جيم,ارنولد ماستر جيم,"9 ش الحجاز, عين شمس, القاهرة.",418511
جيم,اس ام جيم,"ش الثلاثينى, العمرانية الغربية, الهرم, الجيزة.",314906
جيم,اسبير جيم,"30 ش الخمسين, تقسيم شمال سيناء, زهراء المعادى, المعادى, القاهرة.",534036
جيم,استرنث جيم,"6 ش ابراهيم غنيم - النعام, عين شمس, القاهرة.",479822
جيم,استيلو دا فيدا,", امتداد ش جيهان, حى الجامعة - برج الطيبة, المنصورة, الدقهلية.",582741
جيم,اسطورة جيم,"13 ش 68, حدائق المعادى, المعادى, القاهرة.",506316
جيم,اشرف جيم,"4 ش جسر المشروع, الشهداء, المنوفية.",547703
جيم,اف بى اف جيم,"36 ش مكرم عبيد, مدينة نصر, القاهرة.",596719
