Category,Name,Address,ID
مراكز تعليم كمبيوتر,اكاديمية اجيال للتدريب,"12 ش 54 - الحى الاول, مدينة العبور, القليوبية.",533943
مراكز تعليم كمبيوتر,اكاديمية اكس ديجيتال,"23 ش اسماعيل سرهنك, لوران, الاسكندرية.",485174
مراكز تعليم كمبيوتر,اكاديمية العلوم للحلول المتكاملة,"34 ش خورشيد بك - دوران شبرا , شبرا, القاهرة.",161135
مراكز تعليم كمبيوتر,اكاديمية اونست,"1 ش جيهان, المنصورة, الدقهلية.",241372
مراكز تعليم كمبيوتر,اكاديمية ايماك الدولية,"1 ش عبد الحميد لطفى, الحى الثامن, مدينة نصر, القاهرة.",446988
مراكز تعليم كمبيوتر,اكاديمية تكنولوجيا المعلومات,"ش بورسعيد, بيلا, كفر الشيخ.",360660
مراكز تعليم كمبيوتر,اكاديمية كمبيو ستار,"17 ش جسر السويس, الالف مسكن, مصر الجديدة, القاهرة.",235031
مراكز تعليم كمبيوتر,اكاديمية ناصر العسكرية,"ش عبد الرحيم باشا صبرى متفرع من ش التحرير, العجوزة, الجيزة.",359865
مراكز تعليم كمبيوتر,اكسفورد للكمبيوتر واللغات,"10 ش عمر بن عبد العزيز, طنطا, الغربية.",41719
مراكز تعليم كمبيوتر,الادارة العامة للكمبيوتر التعليمى - الفلكى,"12 ش الفلكى, باب اللوق, القاهرة.",360413
مراكز تعليم كمبيوتر,الاكاديمية الدولية - اى ايه سى,"25 ش قصر النيل, وسط البلد, القاهرة.",8807
مراكز تعليم كمبيوتر,الاكاديمية الدولية للاستشارات والتدريب,"7 ش صالح سليم ميدان المساحة, الدقى, الجيزة.",228000
مراكز تعليم كمبيوتر,الاكاديمية المصرية لتكنولوجيا المعلومات,"58 ش ابو بكر الصديق, ميدان سفير, مصر الجديدة, القاهرة.",163387
مراكز تعليم كمبيوتر,الشركة المتحدة لمستلزمات الكمبيوتر,"69 المحور المركزى - الحى الثالث, السادس من اكتوبر, الجيزة.",168455
مراكز تعليم كمبيوتر,الشركة المصرية لنظم التدريب المتكاملة والبرمجيات,"431 طريق الحرية, رشدى, الاسكندرية.",58397
مراكز تعليم كمبيوتر,الشهاب لتعليم الكمبيوتر,"32 ش حسن منصور, مصر الجديدة, القاهرة.",262260
مراكز تعليم كمبيوتر,الصفا والمروة للكمبيوتر,"47 ش الترعة الشرقاوية الغربية, شبين القناطر, القليوبية.",518176
مراكز تعليم كمبيوتر,الصفوة للتدريب وتكنولوجيا المعلومات,"3 ش الانصارى, جرجا, سوهاج.",359338
مراكز تعليم كمبيوتر,العهد الثقافى,"7 ش جمال الدين ابو المحاسن, جاردن سيتى, القاهرة.",19759
مراكز تعليم كمبيوتر,المجموعة الدولية لنقل التكنولوجيا - اى تى تى جى,"11 ش وادى النيل, المعادى, القاهرة.",58014
مراكز تعليم كمبيوتر,المجموعة العربية لتكنولوجيا المعلومات,"66 ش مرتضى باشا, جناكليس, الاسكندرية.",155410
مراكز تعليم كمبيوتر,المركز الدولى للغات والكمبيوتر,"12 ش حديقة الحيوان, هضبة ام السيد, شرم الشيخ.",132157
مراكز تعليم كمبيوتر,المركز الدولى للكمبيوتر واللغات,"5 ش سليمان الحلبى, وسط البلد, القاهرة.",100093
مراكز تعليم كمبيوتر,المركز المصرى للتدريب,"ش جيهان - الدور 3, المنصورة, الدقهلية.",231445
مراكز تعليم كمبيوتر,المصرية الدولية لعلوم الكمبيوتر,"26 ش اسماعيل اباظة, لاظوغلى, القاهرة.",333178
مراكز تعليم كمبيوتر,المصرية للحاسب واللغات,"ش مصنع الثلج - العنانية, دمياط, دمياط.",148894
مراكز تعليم كمبيوتر,المصرية لهندسة النظم والحاسبات,"كمباوند المستثمر الصغير - عمارة 32 - الدور 1, الشيخ زايد, السادس من اكتوبر, الجيزة.",516597
مراكز تعليم كمبيوتر,المعهد الثقافى للحاسب الالى واللغات,"65 ش الجمهورية, حى غرب, سوهاج.",139322
مراكز تعليم كمبيوتر,المعهد الدولى البريطانى للغات والكمبيوتر - اى ال سى,"3 برج السوسن - ش منتصر متفرع من ش الجلاء, المنصورة, الدقهلية.",112974
