Category,Name,Address,ID
مطاعم المانية,القيصر,"كم 15 - طريق سفاجا الغردقة, طريق القرى, الغردقة.",559929
مطاعم المانية,بيز ات مارينا,"., سقالة, الغردقة.",247468
مطاعم المانية,جيردا جاردن,"ش الهيلتون, الاقصر, الاقصر.",129604
مطاعم المانية,دونر كونر,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",535009
مطاعم المانية,ريجينسبرجير كافيه,"عمارة المندرة -, طريق القرى, الغردقة.",142856
مطاعم المانية,زوم كايسر,"الغرقانة, خليج نبق, شرم الشيخ.",277782
مطاعم المانية,زومكايزر,"طريق سهل حشيش, طريق القرى, الغردقة.",229055
مطاعم المانية,فينرفالد,"45 ش 9, ثكنات المعادى, المعادى, القاهرة.",386714
مطاعم المانية,فينرفالد,"30 ش المساحة, الدقى, الجيزة.",527041
مطاعم المانية,مطعم بوردين,"طريق الكورنيش , سقالة, الغردقة.",130309
مطاعم المانية,مطعم زوم كايزر,"طريق سهل حشيش, سهل حشيش, الغردقة.",196513
مطاعم المانية,مطعم مطبخ ندى,"ش على بن ابى طالب, الاقصر, الاقصر.",635447
مطاعم المانية,مطعم وبار بيركيلير,"طريق عرابية, سقالة, الغردقة.",228856
مطاعم المانية,مطعم وكافيه جراس هوبر,"., وسط البلد, الجونة.",567637
مطاعم المانية,مينوز,"., خليج نعمة, شرم الشيخ.",138765
مطاعم المانية,نوردسى,"كم 28 -, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",318670
مطاعم المانية,هيفن بسترو,"ش الساقية ميدان العروسة, سقالة, الغردقة.",119046
