Category,Name,Address,ID
استيراد وتصدير,فيوتشر ثرى ايه لاستيراد وتصدير الاستانلس ستيل - م. حمدى عقيل,"طريق دمياط المنصورة السريع, التوفيقية, كفر سعد, دمياط.",348587
استيراد وتصدير,الطيب للتجارة والصناعة - بانيو الطيب,"سلكا, طريق القاهرة المنصورة, المنصورة, الدقهلية.",170409
استيراد وتصدير,المصرى جروب لتشكيل المعادن ومعالجة الاستانلس ستيل,"الطريق الصحراوى, الكرنك, العامرية, الاسكندرية.",685593
استيراد وتصدير,كانسون لاستيراد وتصديرالاسمدة والكيماويات,"برج العدالة امتداد شارع النادي, الدور 2, طنطا, الغربية.",693713
استيراد وتصدير,امون للتخليص الجمركي والتجارة الخارجية - م.هاني المنصوري,"مبنى خدمة العملاء الجديد - مكتب B314, الدور 3, ميناء دمياط, دمياط, دمياط.",393046
استيراد وتصدير,الأكحل للشحن والتفريغ والنقل والأعمال البحرية,"51 برج الطماوى ش قبو الملاح, الدور 6, الجمرك, الاسكندرية.",688451
استيراد وتصدير,ام اي اس للشحن الدولي والبحري والخدمات الجمركیة,"20 ش اللواء محمود حمدى خطاب, متفرع من ش فؤاد, باب شرق, الاسكندرية.",652468
استيراد وتصدير,مصنع الجمل لصناعة زوايا الكرتون,"الطريق الزراعى, ابيس الثانية, ابيس, الاسكندرية.",209393
استيراد وتصدير,عصران كونسيليدتيد لوجيستيكس سيرفيس,"10 س برج المتحف, المجاورة التانية, مدينة الفسطاط الجديدة, مصر القديمة, القاهرة.",689486
استيراد وتصدير,كيرة للتجارة والتوريدات,"237 ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",688538
استيراد وتصدير,كريستال للنشا والاستيراد والتصدير والتوكيلات التجارية,"برج زقلط, الدور 6, منيا القمح, الشرقية.",694272
استيراد وتصدير,توباكتس,"19 أ برج رمادا ستار, الدور 1, تنظيم البكباشى العيسوى مع ش الصاغ محمد عبد السلام, سيدى بشر, الاسكندرية.",397280
استيراد وتصدير,كون ستار للتجارة والإستيراد والتصدير,"برج النخلة ش قناة السويس, المنصورة, الدقهلية.",669897
استيراد وتصدير,الصادق لاستيراد وتصدير المواد الغذائية,", سوق العبور, مدينة العبور, القليوبية.",690804
استيراد وتصدير,مصنع العربى بلاست,", مجمع مرغم 1 للصناعات البلاستيكية, العامرية, الاسكندرية.",690011
استيراد وتصدير,شركة عبد الوهاب فروتس لتعبئة وتصدير الفواكه والخضروات,"طريق كفر ديما, كفر الزيات, الغربية.",266798
استيراد وتصدير,عفيفى لتصنيع البالتات والصناديق الخشبية,", المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",686784
استيراد وتصدير,شركة اوفرسيز للخدمات الجمركية والاستيراد والتصدير والنقل,"387 ش قناة السويس, الشاطبى, الاسكندرية.",40833
استيراد وتصدير,مصنع الفتح لصناعة الصناديق البلاستيك,", عزبة القصر الاخضر - الخط الوسطانى, كفر الدوار, البحيرة.",688762
