Category,Name,Address,ID
وزارات وهيئات حكومية,1مكتب التأمينات الاجتماعية - العاشر من رمضان,", الحى الاول - مبنى الاسكان والتعمير, العاشر من رمضان, الشرقية.",642282
وزارات وهيئات حكومية,ابرى - المعهد المصرى لبحوث البترول,"1 ش احمد الزمر متفرع من ش عباس العقاد - حى الزهور, مدينة نصر, القاهرة.",148619
وزارات وهيئات حكومية,ابو قير للصناعات الهندسية,"ش بورسعيد, ابو قير, الاسكندرية.",38516
وزارات وهيئات حكومية,اتحاد الشرطة الرياضى - الاسكندرية,"طريق الحرية, بجوار قسم شرطة باب شرق, باب شرق, الاسكندرية.",117562
وزارات وهيئات حكومية,اتحاد الشرطة الرياضى - القاهرة,"ش صك العملة, الدراسة, القاهرة.",117841
وزارات وهيئات حكومية,اتحاد الصحفيين الافريقيين,"22 عمارة الاستعلامات - ش طلعت حرب - الدور 8, وسط البلد, القاهرة.",264181
وزارات وهيئات حكومية,اتحاد الصناعات المصرية - اف اى اى,"1195 كورنيش النيل, رملة بولاق, القاهرة.",99980
وزارات وهيئات حكومية,اتحاد الصناعات المصرية - مكتب الالتزام البيئى,"1195 كورنيش النيل, رملة بولاق, القاهرة.",131741
وزارات وهيئات حكومية,اتحاد الصيادلة العرب,"4 ش الشيخ محمود ابو العيون متفرع من ش جسر السويس - الدور 4, مصر الجديدة, القاهرة.",137891
وزارات وهيئات حكومية,اتحاد الفنانين للسينما والفيديو,"28 ش محيى الدين ابو العز تقاطع ش مصدق, المهندسين, الجيزة.",117488
وزارات وهيئات حكومية,اتحاد الكتاب الافرو اسيويين,"18 ش اسماعيل ابو الفتوح, ميدان فينى, امام مستشفى مصر الدولى, الدقى, الجيزة.",117499
وزارات وهيئات حكومية,اتحاد المستثمرين العرب,"5 برج الندى - ميدان المساحة - الدور 1, الدقى, الجيزة.",117501
وزارات وهيئات حكومية,اتحاد المصارف العربية والفرنسية,"4 ممر بهلر - متفرع من ش قصر النيل - الدور 1 شقة 5, وسط البلد, القاهرة.",61678
وزارات وهيئات حكومية,اتحاد المهندسين العرب,"30 ش رمسيس, وسط البلد, القاهرة.",267233
وزارات وهيئات حكومية,اتحاد بنوك مصر,"32 ش البطل احمد عبد العزيز, المهندسين, الجيزة.",5109
وزارات وهيئات حكومية,اتحاد خريجى الفنون التطبيقية,"5 ش حسين باشا المعمار - رمسيس شقة 5, وسط البلد, القاهرة.",265069
وزارات وهيئات حكومية,اتحاد طلاب الجامعة - جامعة الاسكندرية,"طريق الحرية, الحضرة, الاسكندرية.",378956
وزارات وهيئات حكومية,اتحاد طلاب المدارس,"193 ش 26 يوليو, العجوزة, الجيزة.",174263
وزارات وهيئات حكومية,اتحاد كتاب مصر,"11 أ ش حسن صبرى, الزمالك, القاهرة.",117821
وزارات وهيئات حكومية,اتحاد مصدرى الاقطان بالاسكندرية,"12 ش محمد طلعت نعمان, محطة الرمل, الاسكندرية.",29985
وزارات وهيئات حكومية,اتحاد مصدرى الاقطان بالاسكندرية,"برصة ميناء البصل -, الجمرك, الاسكندرية.",263879
وزارات وهيئات حكومية,اتحاد نقابات المهن الطبية,"2 برج زارع - ميدان مصطفى كامل - الدور 1, سموحة, الاسكندرية.",264171
وزارات وهيئات حكومية,اتحاد نقابات المهن الطبية - الدقهلية,"ش الكورنيش, طلخا, الدقهلية.",265990
وزارات وهيئات حكومية,اتحاد نقابات المهن الطبية - الشرقية,"9 ش احمد ماهر, الزقازيق, الشرقية.",583398
وزارات وهيئات حكومية,اتحاد نقابات المهن الطبية - جاردن سيتى,"6 ش الحديقة, جاردن سيتى, القاهرة.",117798
وزارات وهيئات حكومية,اتحاد نقابات المهن الطبية - دمنهور,"ش النزهة, دمنهور, البحيرة.",117570
وزارات وهيئات حكومية,اتحاد نقابات المهن الطبية - طنطا,"16 ش صدقى, من ش البحر, طنطا, الغربية.",117628
وزارات وهيئات حكومية,ادارة 6 اكتوبر التعليمية,"المجاورة التاسعة, الحى السادس, السادس من اكتوبر, الجيزة.",196380
وزارات وهيئات حكومية,ادارة ابشواى التعليمية,"ش المركز, ابشواى, الفيوم.",240484
وزارات وهيئات حكومية,ادارة ابنوب التعليمية,"ش التحرير, ابنوب, اسيوط.",242495
وزارات وهيئات حكومية,ادارة ابو المطامير التعليمية,"ش الاسكندرية, ابو المطامير, البحيرة.",241478
وزارات وهيئات حكومية,ادارة ابو النمرس التعليمية,"6 ش 6 اكتوبر, ابو النمرس, الجيزة.",196695
وزارات وهيئات حكومية,ادارة ابو تيج التعليمية,"طريق اسيوط سوهاج, ابو تيج, اسيوط.",242491
وزارات وهيئات حكومية,ادارة ابو تيج الصحية,"ش الفرغل, ابو تيج, اسيوط.",356034
وزارات وهيئات حكومية,ادارة ابو حماد التعليمية,"ش التحرير, ابو حماد, الشرقية.",240908
وزارات وهيئات حكومية,ادارة ابو حمص التعليمية,"ش المدارس, ابو حمص, البحيرة.",241733
