Category,Name,Address,ID
قرى سياحية,اجورا ماستر سيدى عبد الرحمن,"كم 128 - طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",370231
قرى سياحية,ازها كومبوند,"كم 34 طريق الغردقة الاسماعيلية, العين السخنة, العين السخنة.",485882
قرى سياحية,الحياة 2,"كم 45 - طريق شرم الشيخ الطور السياحى, رأس سدر, جنوب سيناء.",379434
قرى سياحية,الريف العربى,"طريق سقارة السياحى, شبرامنت, سقارة, الجيزة.",376187
قرى سياحية,الطيار للمنشات السياحية,"كم 34 ش السنترال, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",631654
قرى سياحية,القرية الاولمبية بالاسماعيلية,"طريق البلاجات, جبل مريم, الاسماعيلية.",110496
قرى سياحية,القرية الهولندية,"كم 50 - طريق شرم الشيخ الطور السياحى, رأس سدر, جنوب سيناء.",421227
قرى سياحية,المروة ريزورت,"كم 62.5 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",84659
قرى سياحية,امواج,"كم 136 - طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",371311
قرى سياحية,اندلسية,"., علم الروم, مرسى مطروح.",369978
قرى سياحية,اورلاندو 1,"كم 44.5 - طريق السويس العين السخنة, العين السخنة, العين السخنة.",393681
قرى سياحية,باب البحر,"كم 114 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",379429
قرى سياحية,باترسى,"كم 91 - , طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",590578
قرى سياحية,باراديس بيتش,"كم 64 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",445558
قرى سياحية,بالما بلاجا,"كم 265 - طريق اسكندرية مطروح, رأس الحكمة, الساحل الشمالى.",377481
قرى سياحية,بلانش بيتش,"كم 44 طريق جنوب سيناء, رأس سدر, جنوب سيناء.",137590
قرى سياحية,بلو بلاجا,"كم 82, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",418792
قرى سياحية,بلومار سيدى عبد الرحمن,"كم 137 - طريق اسكندرية مطروح الساحلى, سيدى عبد الرحمن, الساحل الشمالى.",374585
قرى سياحية,بو ايلاندز,"كم 120 - طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",513243
قرى سياحية,جاردينيا,"كم 4.5, طريق القاهرة السويس, القاهرة.",460615
قرى سياحية,جاز ميرابل ريزورت,"., خليج نبق, شرم الشيخ.",152588
قرى سياحية,جبال ريزورت,"كم 50 طريق الزعفرانة, العين السخنة, العين السخنة.",460865
قرى سياحية,جرين كوست,"كم 63 - طريق اسكندرية مطروح الصحراوى, الحمام, الساحل الشمالى.",377718
قرى سياحية,جزر الجراولة,"الكيلو 270 - , طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",587947
قرى سياحية,جميرا باى ريزورت,"كم 217 طريق مطروح اسكندرية الصحراوى, رأس الحكمة, الساحل الشمالى.",552254
قرى سياحية,جولدن فايف سيتى,"كم 21 - طريق سهل حشيش, طريق القرى, الغردقة.",512689
قرى سياحية,دراجون لخدمات القرى السياحية والانقاذ البحرى,"31 ش مصطفى كامل, الدور 2, عمارة لؤلؤة سموحة, سموحة, الاسكندرية.",670931
قرى سياحية,دومينا كورال باى,"طريق السلام, شاركس باى, شرم الشيخ.",21535
قرى سياحية,ديانا بيتش,"كم 57 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",186756
قرى سياحية,رويال بيتش ريزورت,"كم 9.5 - طريق الاحياء, منطقة الاحياء, الغردقة.",556642
قرى سياحية,ريماس,"كم 78 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",365914
قرى سياحية,سابيدوريا الساحل الشمالى,"كم 186, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",445440
قرى سياحية,ستيلا دى مارى سيدى عبد الرحمن ريزورت,"كم 128 طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",361379
قرى سياحية,ستيلا هايتس,"كم 134 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",360623
قرى سياحية,ستيلا هايتس,"كم 127 -, العلمين, الساحل الشمالى.",187672
قرى سياحية,سدر بيتش ان,"ش البحر, رأس سدر, جنوب سيناء.",111331
قرى سياحية,سيتى ستارز الساحل,"طريق مطروح اسكندرية الصحراوى, الفوكا, رأس الحكمة, الساحل الشمالى.",517477
قرى سياحية,سيدرا,"كم 35 طريق اسكندرية مطروح الصحراوى, سيدى كرير, الساحل الشمالى.",370307
قرى سياحية,فيستا مارينا,"كم 111 - طريق اسكندرية مطروح الصحراوى, مارينا, الساحل الشمالى.",370024
قرى سياحية,فينيسيا ان مارينا,", السوق التجارى - المنطقة 17 - مارينا 5, مارينا, الساحل الشمالى.",404280
قرى سياحية,قرية 6 اكتوبر,"ش 27 تقاطع ش 6 - شاطئ النخيل, العجمى, الاسكندرية.",103146
قرى سياحية,قرية اتيك,"كم 89 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",103828
قرى سياحية,قرية اصالة بيتش,"بير صوير, وسط البلد, طريق نويبع طابا, طابا.",268317
قرى سياحية,قرية اغادير,"كم 78 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",186563
قرى سياحية,قرية الاحلام,"كم 93 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",186606
قرى سياحية,قرية الاطباء,"كم 41.5 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",126380
قرى سياحية,قرية البلاح,"كم 65 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",103751
قرى سياحية,قرية البنوك السياحية,"كم 42.5 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",233483
قرى سياحية,قرية البوسيت,"كم 89.5 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",233868
قرى سياحية,قرية التجاريين السياحية,"كم 64 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",233644
