Category,Name,Address,ID
مطاعم اسبانية,اوليه كافيه اسبانيول,"3 ش كفر عبده, متفرع من طريق ابو قير, رشدى, الاسكندرية.",131130
مطاعم اسبانية,بيرلز لاونج,"القطعة 18 - محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",569312
مطاعم اسبانية,بيكاسو,"51 ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",385671
مطاعم اسبانية,تاباس بار,"كم 35 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",560560
مطاعم اسبانية,ديلا فيجا ريستوران اند كافيه,"كم 6 - , طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",309398
مطاعم اسبانية,سافيتشى ريستوران تابس بار,"ش ايناس الدغيدى, مبنى 30H, وسط البلد, الجونة.",567202
مطاعم اسبانية,مازار,"5 ش محمد حافظ متفرع من ش عبد المنعم رياض, الدقى, الجيزة.",446912
مطاعم اسبانية,مطعم لابنديلا,"ش الشباب, الحى 12, الشيخ زايد, السادس من اكتوبر, الجيزة.",645114
مطاعم اسبانية,نابا جريل,"2005 ب ابراج نايل سيتى - كورنيش النيل, رملة بولاق, القاهرة.",226994
مطاعم اسبانية,وى كافيه,"القطعة 29 - - المنطقة الاولى, التجمع الخامس, القاهرة الجديدة, القاهرة.",303708
