Category,Name,Address,ID
صنفرة,المركز المصرى للتجارة العامة,"7 ش محمد المويلحى, متفرع من ش صلاح الدين, اللبان, الاسكندرية.",23510
صنفرة,الاصلى للصنفرة,"درب رياش, العتبة, القاهرة.",267751
صنفرة,الاصيل للصنفرة,"43 ش احمد بدوى, الزمالك, القاهرة.",694330
صنفرة,التوكل,"16 درب القطة, العتبة, القاهرة.",267401
صنفرة,الحرية للصنفرة,"14 ش الخليج المصرى, حدائق القبة, القاهرة.",419955
صنفرة,الشركة العالمية للصنفرة,"طريق النصر, مدينة نصر, القاهرة.",679322
صنفرة,الشركة المصرية للصنفرة,"2 ش محمد مسعود متفرع من ش وابور المياه - الدور 1, باب شرق, الاسكندرية.",20313
صنفرة,الفتح,"19 درب القطة, العتبة, القاهرة.",267399
صنفرة,الوصل للتوريدات العمومية,"الاردنية, العاشر من رمضان, الشرقية.",429916
صنفرة,امين سمير للتجارة,"25 درب الابراهيمى, العتبة, القاهرة.",267444
صنفرة,ثرى ام,"درب القطة, العتبة, القاهرة.",267655
صنفرة,ثرى ام ايجيبت للتجارة المحدودة,"برج هوليداى ان كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",12074
صنفرة,خالد والوليد,"112 ش ترعة الشعراء, حى الشعراء, دمياط, دمياط.",508113
صنفرة,ديمو,"ش الجمهورية - برج المدينة, حى الشرق, بور سعيد.",568175
صنفرة,سلطان لتصنيع احجار الجلخ,"17 ش اسحق يعقوب, الماظة, مصر الجديدة, القاهرة.",61861
صنفرة,سيد للصنفرة,"ش كلوت بك درب القطة, العتبة, القاهرة.",267745
صنفرة,محمد للصنفرة,"درب القطة, العتبة, القاهرة.",267657
صنفرة,وان تو ثرى للصنفرة,"58 ش الجمهورية, وسط البلد, القاهرة.",451553
