Category,Name,Address,ID
ملاعب وملاهي واماكن ترفيهية,60 دقيقة,"10 ميدان الجمهورية - متفرع من ش البطل احمد عبد العزيز - الدور 2, المهندسين, الجيزة.",516123
ملاعب وملاهي واماكن ترفيهية,ابراكادابرا كلوب,"الغرقانة, خليج نبق, شرم الشيخ.",206971
ملاعب وملاهي واماكن ترفيهية,اتارى بلاى استاشن,"18 ش قمبيز متفرع من ش مصدق, الدقى, الجيزة.",568640
ملاعب وملاهي واماكن ترفيهية,اخر شقاوة,"9 ز ش ابو بكر, الفردوس, السادس من اكتوبر, الجيزة.",655660
ملاعب وملاهي واماكن ترفيهية,ادرينالين بارك,"حوض 3 - منطقة الحزام الاخضر, الشيخ زايد, السادس من اكتوبر, الجيزة.",305139
ملاعب وملاهي واماكن ترفيهية,اديو زون,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",575531
ملاعب وملاهي واماكن ترفيهية,ارتى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",451308
ملاعب وملاهي واماكن ترفيهية,ارتى بارتى,"., مدينة الرحاب, القاهرة.",578104
ملاعب وملاهي واماكن ترفيهية,استرو ستيشن,"ش طرح البحر, حى الشرق, بور سعيد.",667451
ملاعب وملاهي واماكن ترفيهية,اسكيب روم,"104 ش عمر بن الخطاب - الدور 3, الماظة, مصر الجديدة, القاهرة.",521212
ملاعب وملاهي واماكن ترفيهية,اسكيب روم,"696 طريق الحرية - الدور 3, لوران, الاسكندرية.",527052
ملاعب وملاهي واماكن ترفيهية,اسكيب روم الغردقة,", الممشى السياحى, طريق القرى, الغردقة.",634516
ملاعب وملاهي واماكن ترفيهية,اسكيبرز,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",519707
ملاعب وملاهي واماكن ترفيهية,اسكيبولجى,"56 ش البستان المجاورة الرابعة - الحى السابع, الشيخ زايد, السادس من اكتوبر, الجيزة.",567830
