Category,Name,Address,ID
تاكسى,الورشة الفنية لصيانة العدادات,"32 ش المروة - ارض الحداد, امبابة, الجيزة.",571762
تاكسى,ايجى كاب,"36 عمارات ضباط مصطفى كامل - ش 16, مصطفى كامل, الاسكندرية.",450980
تاكسى,ايجيبت كاب,"2 ش البرماوى, المطرية, القاهرة.",56686
تاكسى,ايزى تاكسى,"272 ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",444545
تاكسى,بروفيشنال تاكسى,"الهضبة الوسطى, المقطم, القاهرة.",522936
تاكسى,تاكسى اسكندرية,"5 ش خليل الخياط, كفر عبده, الاسكندرية.",172817
تاكسى,تاكسى المطار,"ش عماد الدين كامل, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",200523
تاكسى,تاكسى المعادى,"90 ش 9, المعادى, القاهرة.",463549
تاكسى,حسام ترانسبورت,"81 - تعاونيات سموحة, سموحة, الاسكندرية.",171371
تاكسى,ذا كاب كو,"ش سوريا, رشدى, الاسكندرية.",442790
تاكسى,رايح,", ., وسط البلد, القاهرة.",502633
تاكسى,عربيتى,"45 ش فيكتور عمانويل - عمارة ويبكو للبترول, سموحة, الاسكندرية.",543743
تاكسى,معرض عطية للعدادات,"42 أ ش متحف المنيل, المنيل, القاهرة.",195380
تاكسى,نايل تاكسى,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",428030
تاكسى,وصلنى تاكسى,"2 ش الخرطوم متفرع من ش السودان, المهندسين, الجيزة.",504397
