Category,Name,Address,ID
غلايات ومحارق وسخانات,مجموعة ابناء على للمشروعات الهندسية,"ش ابناء على, بساتين الاسماعيلية - منطقة انشاص الصناعية, بلبيس, الشرقية.",368254
غلايات ومحارق وسخانات,جابتيك للهندسة والتوريدات,"177 ش سامح جادو, الشقة 2, المنطقة السياحية السادسة, السادس من اكتوبر, الجيزة.",430213
غلايات ومحارق وسخانات,شركة المشروعات الهندسية - ابكو,"3 عمارات اطلس, مدينة نصر, القاهرة.",55225
غلايات ومحارق وسخانات,ايسكو - البدرى للخدمات الصناعية والتوريدات,"188, المحور المركزى, الحى الخامس, السادس من اكتوبر, الجيزة.",416538
غلايات ومحارق وسخانات,بولدوين للهندسة,"11 ش فتحى الجزيرى, متفرع من فريد سميكة, ميدان الف مسكن, مصر الجديدة, القاهرة.",54761
غلايات ومحارق وسخانات,الفيروز للتجارة والهندسة ش. م. م,"33 ش احمد ابو العلا, الحى الثامن, مدينة نصر, القاهرة.",3436
غلايات ومحارق وسخانات,ماستر ستيم للتجارة والمقاولات,"113, حى 3/4, التجمع الخامس, القاهرة الجديدة, القاهرة.",387040
غلايات ومحارق وسخانات,المارينا للتوريدات,"171 ش جسر السويس, مصر الجديدة, القاهرة.",694828
غلايات ومحارق وسخانات,المملوك للسخانات الصناعية وماكينات البلاستيك,", مركز اجا, منيه سمنود, الدقهلية.",503590
غلايات ومحارق وسخانات,كايرو تكنيكال سنتر - سى تى سى,"قطعة 518, طريق الكلية الجوية الخلفى, المنطقة الصناعية, بلبيس, الشرقية.",619983
غلايات ومحارق وسخانات,ايفكو - الشركة المصرية الهندسية للمقاولات,"638 عمارات النرجس, ميدان فاطمة الشربتلى, التجمع الخامس, القاهرة الجديدة, القاهرة.",232533
غلايات ومحارق وسخانات,جنرال للانظمة الحرارية,", الاردنية, العاشر من رمضان, الشرقية.",604979
غلايات ومحارق وسخانات,مجموعة شركات انترناشيونال والمصرية السعودية للغلايات,"قطعة IB, المنطقة الصناعية B1, العاشر من رمضان, الشرقية.",150643
غلايات ومحارق وسخانات,ايفر جرين سولار,", الحى الخامس - مول فايف ستارز, مدينة العبور, القليوبية.",688922
غلايات ومحارق وسخانات,الشركة الدولية للانظمة الهندسية,", ميدان السواح, الاميرية, القاهرة.",603019
غلايات ومحارق وسخانات,الراعى للهندسة والصناعة,"26 ش عدلى, عابدين, القاهرة.",684791
غلايات ومحارق وسخانات,فيرست اليكتريك لتوريد وتركيب اللوحات الكهربائية وغلايات البخار,", برج العرب الجديدة, الاسكندرية.",692004
غلايات ومحارق وسخانات,الوعد الهندسية لتكنولوجيا الغلايات,", محور ابو بكر الصديق, الاردنية, العاشر من رمضان, الشرقية.",342339
غلايات ومحارق وسخانات,سيكا للمغاسل والغلايات ومعدات تصنيع الملابس وكيماويات النسيج والتكييف الصحراوى,"139 ش التحرير, الدقى, الجيزة.",18185
غلايات ومحارق وسخانات,جمكو للتركيبات والتوريدات الهندسية,"59 ش محمد بك الصرفى, متفرع من ش خالد بن الوليد, سيدى بشر, الاسكندرية.",35656
غلايات ومحارق وسخانات,فوربس مارشال,"55 أ ش النخيل, متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",680203
غلايات ومحارق وسخانات,العالمية للكهروميكانيكا,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",385594
غلايات ومحارق وسخانات,شركة البرهانى للصناعات المعدنية والتجارة,"2 ب , عطفة عريان - من ش الجمهورية ,, وسط البلد, القاهرة.",14730
غلايات ومحارق وسخانات,ابو حجر للتدفئة المركزية,"فيلا 1، ش 7الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",394296
غلايات ومحارق وسخانات,اتش بى اس للمعدات الحرارية,"25 ش احمد فؤاد - الدور 1 شقة 104, سانت فاتيما, مصر الجديدة, القاهرة.",147497
غلايات ومحارق وسخانات,احمد بلال لصناعة الفرش الصناعية,"64 ش حلوان - المبتديان, السيدة زينب, القاهرة.",262201
غلايات ومحارق وسخانات,اراب تك للغلايات,"11, الشقة 4, الشطر الثامن, زهراء المعادى, زهراء المعادى, المعادى, القاهرة.",272478
غلايات ومحارق وسخانات,إسكندرية للصناعات الهندسية - ان ار بي,"ك 27 طريق اسكندرية القاهرة الصحراوى, العامرية, الاسكندرية.",688426
غلايات ومحارق وسخانات,اسيك جروب,"121 ش محمد دسوقى, المعادى, القاهرة.",56970
غلايات ومحارق وسخانات,اكسترا للمشاريع التجارية التنفيذية,"22 ش عبد الحميد لطفى, المهندسين, الجيزة.",46550
غلايات ومحارق وسخانات,ال عمر لتكنولوجيا البخار,"ش ابو بكر الصديق الاردنية, العاشر من رمضان, الشرقية.",137495
غلايات ومحارق وسخانات,الاتحاد للتجارة والتوريدات,"الحى 12, الحى 12, السادس من اكتوبر, الجيزة.",631674
غلايات ومحارق وسخانات,الاخوين للتجارة والتوريدات,"51 ش البوهى, امبابة, الجيزة.",201202
غلايات ومحارق وسخانات,الاسراء,"ش مسجد الفتح متفرع من ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",310524
غلايات ومحارق وسخانات,الاسكندرية لاعمال البخار,"طريق البتروكيماويات, مرغم, الاسكندرية.",56282
