Category,Name,Address,ID
نقابات,النقابة العامة لاطباء مصر,"42 ش قصر العينى - الدور 1, قصر العينى, القاهرة.",59499
نقابات,النقابة العامة لاطباء مصر,"4 ش 50 متفرع من ش مصطفى كامل, سموحة, الاسكندرية.",85033
نقابات,النقابة العامة لاطباء مصر - الجيزة,"16 برج الخالدية - ميدان المساحة, الدقى, الجيزة.",174411
نقابات,النقابة العامة لاطباء مصر - القاهرة,"27 ش قصر العينى - الدور 1, قصر العينى, القاهرة.",97018
نقابات,النقابة العامة لاطباء مصر - مدينة نصر,"7 ش على امين امتداد ش مصطفى النحاس, الحى السابع, مدينة نصر, القاهرة.",169664
نقابات,النقابة العامة لاعمال النقل الجوى,"62 ش عثمان بن عفان, ميدان سفير, مصر الجديدة, القاهرة.",15554
نقابات,النقابة العامة لذوى الاحتياجات الخاصة,"18 ش مصطفى النحاس, مدينة نصر, القاهرة.",597583
نقابات,النقابة العامة للتجاريين,"ش امتداد رمسيس, عباسية, القاهرة.",77990
نقابات,النقابة العامة للخدمات الادارية والاجتماعية,"10 ش محمد حلمى ابراهيم, وسط البلد, القاهرة.",160201
نقابات,النقابة العامة للعاملين المدنيين بالانتاج الحربى,"90 ش الجلاء, وسط البلد, القاهرة.",141109
نقابات,النقابة العامة للعاملين بالسياحة والفنادق,"90 ش الجلاء - الدور 6, وسط البلد, القاهرة.",223781
نقابات,النقابة العامة للعاملين بالصحافة والطباعة والاعلان,"90 ش الجلاء, وسط البلد, القاهرة.",99162
نقابات,النقابة العامة للعاملين بالطب التكميلى والبديل,"2 عمارات شرارة - ش د. حسن شرارة متفرع من ش الطاقة, مدينة نصر, القاهرة.",396000
نقابات,النقابة العامة للغزل والنسيج,"327 ش شبرا, شبرا, القاهرة.",117851
نقابات,النقابة العامة للمرشدين السياحيين,"217 ش رمسيس, الشقة 401, الدور 4, غمره, القاهرة.",520127
نقابات,النقابة العامة للمهن الرياضية,"ش 26 يوليو - الدور 18, المهندسين, الجيزة.",252734
نقابات,النقابة العامة لمدربى التنمية البشرية,"28 ش احمد الزمر, مدينة نصر, القاهرة.",675907
نقابات,مركز تكنولوجيا المعلومات - نقابة التطبيقيين - الفيوم,"برج التطبيقيين -, وسط البلد, الفيوم.",359993
نقابات,مركز تكنولوجيا المعلومات - نقابة التطبيقيين - سوهاج,"ش ترعة باجة, حى شرق, سوهاج.",359992
نقابات,مركز تكنولوجيا المعلومات - نقابة المهندسين بالمنوفية,"22 ش جمال عبد الناصر, شبين الكوم, المنوفية.",360746
نقابات,مركز نقابة الطيارين للخدمات الحكومية,"22 ش سليمان عزمى - الدور 1, الالف مسكن, مصر الجديدة, القاهرة.",465706
نقابات,مكتب توثيق الشهر العقارى - نقابة المحامين,"49 أ ش رمسيس, وسط البلد, القاهرة.",197499
نقابات,نادى نقابة المحامين,"ش محمود فهمى النقراشى, دمنهور, البحيرة.",356931
نقابات,نادى نقابة المهن التمثيلية,"ش البحر الاعظم, الجيزة, الجيزة.",166155
نقابات,نادى نقابة المهندسين,"ش محمد سيد احمد, حلوان, القاهرة.",384561
نقابات,نادى نقابة المهندسين,"27 ش ابو الفدا, الزمالك, القاهرة.",381980
نقابات,نادى نقابة المهندسين,"كورنيش النيل, دمياط, دمياط.",253297
نقابات,نقابة اطباء - اسوان,"عمارة متى - ش كورنيش النيل, الكورنيش, اسوان.",246839
نقابات,نقابة اطباء - دمياط,"برج الشرق للتأمين - - الاعصر, دمياط, دمياط.",246830
نقابات,نقابة اطباء - سوهاج,"ش القفاص, سوهاج, سوهاج.",246834
نقابات,نقابة اطباء - قنا,"ش 26 يوليو, وسط البلد, قنا.",494359
نقابات,نقابة اطباء اسنان الاسكندرية,"20 ب عمارات قصر الملكة - ش د. سيد فهمى , سموحة, الاسكندرية.",193608
نقابات,نقابة اطباء اسنان القاهرة,"7, 8 طريق النصر - مشروع 10 عمارات - الجبل الاخضر, مدينة نصر, القاهرة.",430072
نقابات,نقابة اطباء اسنان مصر,"6 ش الحديقة, جاردن سيتى, القاهرة.",117956
نقابات,نقابة اطباء البحيرة,"ش النزهة, دمنهور, البحيرة.",174616
نقابات,نقابة اطباء الدقهلية,"ش الكورنيش, طلخا, الدقهلية.",265903
نقابات,نقابة اطباء الشرقية,"ش احمد ماهر, الزقازيق, الشرقية.",117718
نقابات,نقابة اطباء مصر - صندوق تكافل الاطباء,"3 أ عمارات الشرق للتأمين -, مدينة نصر, القاهرة.",381974
نقابات,نقابة الاطباء - كفر الشيخ,"ش الدستور, وسط البلد, كفر الشيخ.",111572
نقابات,نقابة الاطباء البيطريين,"6 ش الحديقة, جاردن سيتى, القاهرة.",125179
نقابات,نقابة الاطباء البيطريين,"مساكن الاستاد - ش عبد السلام الشاذلى, دمنهور, البحيرة.",352369
نقابات,نقابة التطبيقيين,"1 برج التطبيقيين - ميدان العباسية, عباسية, القاهرة.",419370
نقابات,نقابة الزراعيين - اسيوط,"ش المساحة القديمة متفرع من ش الجمهورية, اسيوط, اسيوط.",351848
نقابات,نقابة الزراعيين - شبراخيت,"ارض البركة, شبراخيت, البحيرة.",354031
نقابات,نقابة السادة الاشراف,"ش جوهر القائد, الدراسة, القاهرة.",224297
نقابات,نقابة الصحفيين,"4 ش عبد الخالق ثروت, وسط البلد, القاهرة.",105908
نقابات,نقابة الصيادلة - البحر الاحمر,"حى مبارك 5 شقة 4, سقالة, الغردقة.",223330
نقابات,نقابة الصيادلة - الفيوم,"1 مساكن الشرطة -, دلة, الفيوم.",333749
نقابات,نقابة الصيادلة - القليوبية,"بنها الجديدة, بنها, القليوبية.",574164
نقابات,نقابة العاملين بالخارج,"28 عمارات الفتوح, الهرم, الجيزة.",463120
نقابات,نقابة الفنون التشكيلية,"ارض الاوبرا, الجزيرة, القاهرة.",574522
نقابات,نقابة المحامين,"49 أ ش رمسيس, وسط البلد, القاهرة.",68648
نقابات,نقابة المحامين,"الحسنية, فاقوس, الشرقية.",120644
نقابات,نقابة المحامين - ابو حمص,"ش المركز, ابو حمص, البحيرة.",352381
نقابات,نقابة المحامين بالاسماعيلية,"189 ش الحرية, وسط البلد, الاسماعيلية.",687676
نقابات,نقابة المحامين بالجيزة,"ميدان الجيزة, الجيزة, الجيزة.",289418
نقابات,نقابة المحامين بالمنوفية,"42 ش السلطان حسين, شبين الكوم, المنوفية.",400724
نقابات,نقابة المعلمين,"55 ش مجلس الشعب, السيدة زينب, القاهرة.",407147
نقابات,نقابة المعلمين,"ش المحافظة, الزقازيق, الشرقية.",326180
نقابات,نقابة المعلمين,"ارمنت الوابورات, ارمنت, الاقصر.",360712
نقابات,نقابة المعلمين,"ش احمد عبد العزيز, السنبلاوين, الدقهلية.",353099
نقابات,نقابة المهن الاجتماعية,"302 ش بورسعيد - الدور 5, السيدة زينب, القاهرة.",256066
نقابات,نقابة المهن التجميلية وعروض الازياء,"14 ش حسين حجازى, متفرع من ش قصر العينى, وسط البلد, القاهرة.",636155
نقابات,نقابة المهن التعليمية,"3 ش سراى الجزيرة, الزمالك, القاهرة.",17137
نقابات,نقابة المهن التعليمية,"ش نادى المعلمين, الدهار, الغردقة.",133117
نقابات,نقابة المهن التمثيلية,"1 ش 26 يوليو, وسط البلد, القاهرة.",164804
نقابات,نقابة المهن الرياضية,"13 ش النيل الابيض - ميت عقبة, المهندسين, الجيزة.",574757
نقابات,نقابة المهن الزراعية,"1 ش شنن متفرع من ش الجلاء, وسط البلد, القاهرة.",178632
نقابات,نقابة المهن الزراعية,"ش الشيخ محمد عبد الكريم - ارض المشتل, دمنهور, البحيرة.",352385
نقابات,نقابة المهن السينمائية,"20 ش عدلى, وسط البلد, القاهرة.",164769
نقابات,نقابة المهن العلمية,"8 ِش بستان الدكة, متفرع من ش الالفى, وسط البلد, القاهرة.",252394
نقابات,نقابة المهندسين المصرية,"30 ش رمسيس, وسط البلد, القاهرة.",13069
