Category,Name,Address,ID
منتجات ادوات منزلية,مصنع العربى بلاست,", مجمع مرغم 1 للصناعات البلاستيكية, العامرية, الاسكندرية.",690011
منتجات ادوات منزلية,السعيد بلاست,"ش الصرف الصحى, طریق القناطر الخیریة, باسوس, القليوبية.",665492
منتجات ادوات منزلية,شركة الشروق للميلامين والراتنجات,"28 طريق مخازن الطيران, الخانكة, القليوبية.",148375
منتجات ادوات منزلية,البنا جلاس,", منطقة الشروق الصناعية, الخانكة, القليوبية.",624606
منتجات ادوات منزلية,الشركة المصرية لتشكيل المعادن,"17 ش عادل رستم حسين, الدقى, الجيزة.",130016
منتجات ادوات منزلية,4 بعشرة للادوات المنزلية,"45 ش الساحة, الحوامدية, الجيزة.",604337
منتجات ادوات منزلية,اب تو يو للادوات المنزلية,"5 ش المهدى بن بركة, الحى السابع, مدينة نصر, القاهرة.",668529
منتجات ادوات منزلية,ابانوب للادوات المنزلية,"27 ش عبد العزيز عبد الدايم, عين شمس الشرقية, القاهرة.",651694
منتجات ادوات منزلية,ابانوب للادوات المنزلية,"54 ش محمد مدين, عين شمس الشرقية, القاهرة.",648000
منتجات ادوات منزلية,ابراهيم التونى,"ش المتيت, بسيون, الغربية.",347946
منتجات ادوات منزلية,ابراهيم العمدة للادوات المنزلية,"ش احمد بدوى, ابو النمرس, الجيزة.",272524
منتجات ادوات منزلية,ابراهيم النباصى,"ش جميلة, الدلنجات, البحيرة.",374530
منتجات ادوات منزلية,ابراهيم خنشع للادوات المنزلية,"13 ش النقراشى, دمياط, دمياط.",505200
منتجات ادوات منزلية,ابراهيم داوود,"ش الترعة القديمة, السنطة, الغربية.",349923
منتجات ادوات منزلية,ابراهيم عبد اللطيف,"امتداد ش المحطة, ميت غمر, الدقهلية.",339791
منتجات ادوات منزلية,ابسط خلق الله للادوات المنزلية,"86 ش احمد بدوى, ابو النمرس, الجيزة.",601707
منتجات ادوات منزلية,ابن البلد للادوات المنزلية,"1 ش كمال الدين متفرع من ش السلام, العمرانية الشرقية, الهرم, الجيزة.",488634
منتجات ادوات منزلية,ابن البلد للادوات المنزلية,"4 ش الجسر الغربى, الخصوص, القليوبية.",498501
منتجات ادوات منزلية,ابن النيل,"36 المجاورة الخامسة, الحى 12, السادس من اكتوبر, الجيزة.",439173
منتجات ادوات منزلية,ابناء العدوى للادوات المنزلية,"بلوك 43 ش الورش, عمارات صقر قريش - عمارة 32, الحى العاشر, مدينة نصر, القاهرة.",669503
منتجات ادوات منزلية,ابناء العرب للادوات المنزلية,"33 ش عبد السميع ابراهيم, المرج, القاهرة.",484902
منتجات ادوات منزلية,ابناء المنشأة للادوات المنزلية,"2 ش جودة بدوى, شبرا الخيمة, القليوبية.",480058
منتجات ادوات منزلية,ابناء النيل,"14 ش جمال الدين ابو المحاسن, جاردن سيتى, القاهرة.",289702
منتجات ادوات منزلية,ابناء بدوى حنفى,"ش دحدورة هدى, وسط البلد, الفيوم.",313010
منتجات ادوات منزلية,ابناء صديق علام,"10 ش الاندلس متفرع من ش لاجيتيه, الابراهيمية, الاسكندرية.",301604
منتجات ادوات منزلية,ابناء عسكر,"ش الجمهورية, ههيا, الشرقية.",361795
منتجات ادوات منزلية,ابناء مكاوى,"سوق التجار الغربى, المنصورة, الدقهلية.",113172
منتجات ادوات منزلية,ابو احمد,"ش على قاسم, طره, القاهرة.",402604
منتجات ادوات منزلية,ابو احمد للادوات المنزلية,"136 ش احمد بدوى, ابو النمرس, الجيزة.",423112
منتجات ادوات منزلية,ابو احمد للادوات المنزلية,"2 ش ابن الرشيد, شبين الكوم, المنوفية.",537919
منتجات ادوات منزلية,ابو احمد للادوات المنزلية,"14 ش سيد الجندى - الشوربجى, بولاق الدكرور, الجيزة.",591516
منتجات ادوات منزلية,ابو اسلام,"86 ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",428739
منتجات ادوات منزلية,ابو اسلام,"ش بورسعيد, بلبيس, الشرقية.",328253
منتجات ادوات منزلية,ابو اسلام,"ش الخلا, المنصورة, الدقهلية.",264121
منتجات ادوات منزلية,ابو اسلام للادوات المنزلية,"المحور المركزى, السادس من اكتوبر, الجيزة.",438347
منتجات ادوات منزلية,ابو البركات العدوى,"ش ابو الوفا, دار السلام, القاهرة.",334672
منتجات ادوات منزلية,ابو البنات لتجهيز العرائس,"6 ش سامى سليمان, متفرع من ش حسنى, الشرابية, القاهرة.",654850
منتجات ادوات منزلية,ابو الجود للادوات المنزلية,"51 ش العيسوى, سيدى بشر, الاسكندرية.",233129
منتجات ادوات منزلية,ابو الخير للادوات المنزلية,"حى السراحنة, ههيا, الشرقية.",514679
منتجات ادوات منزلية,ابو الدهب,"ش بورسعيد, بلبيس, الشرقية.",328377
منتجات ادوات منزلية,ابو الدهب للادوات المنزلية,"44 ش احمد بدوى, ابو النمرس, الجيزة.",652164
منتجات ادوات منزلية,ابو الروس,"5 ش كامل صدقى , الفجالة, القاهرة.",161086
منتجات ادوات منزلية,ابو الريش للادوات المنزلية,"2 ش مسجد الصحابة, ابو النمرس, الجيزة.",600664
منتجات ادوات منزلية,ابو السعود للادوات المنزلية,"5 ش احمد بدوى, ابو النمرس, الجيزة.",601866
منتجات ادوات منزلية,ابو الشهامة للادوات المنزلية,"168 ش احمد بدوى, ابو النمرس, الجيزة.",602671
منتجات ادوات منزلية,ابو العلا,"81 ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",183130
منتجات ادوات منزلية,ابو العينين,"8 عمارات الدفاع الوطنى -, حدائق القبة, القاهرة.",401243
منتجات ادوات منزلية,ابو الفضل,"ش البحر, اولاد صقر, الشرقية.",366538
منتجات ادوات منزلية,ابو الفضل للادوات المنزلية,"8 ش منية مطر, المطرية, القاهرة.",460692
منتجات ادوات منزلية,ابو الليل للادوات المنزلية,"67 ش احمد بدوى, ابو النمرس, الجيزة.",652175
منتجات ادوات منزلية,ابو المعاطى عسكر,"ش الجلاء, اجا, الدقهلية.",351076
منتجات ادوات منزلية,ابو النيل للادوات المنزلية,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",187044
منتجات ادوات منزلية,ابو الهول للادوات المنزلية,"61 ش ابو الهول السياحى, نزلة السمان, الهرم, الجيزة.",381487
منتجات ادوات منزلية,ابو الوفا,"ش عرابى, كفر الزيات, الغربية.",341884
منتجات ادوات منزلية,ابو اية,"7 ش حمام التلات, الموسكى, القاهرة.",209136
منتجات ادوات منزلية,ابو اية للادوات المنزلية,"22 ش التحرير - صفط اللبن, بولاق الدكرور, الجيزة.",575682
منتجات ادوات منزلية,ابو اية للادوات المنزلية,"17 ش عبد الله ابو دومه, الخصوص, القليوبية.",499603
منتجات ادوات منزلية,ابو ايهاب للادوات المنزلية,"5 ش بكر العطار, عين شمس الشرقية, القاهرة.",476348
منتجات ادوات منزلية,ابو بلاش للادوات المنزلية,"ش جمال عبد الناصر المساكن الشعبية - بلوك 35, الحوامدية, الجيزة.",604735
منتجات ادوات منزلية,ابو بيتر للادوات المنزلية,"4 ش الحسينى, عين شمس الشرقية, القاهرة.",653405
منتجات ادوات منزلية,ابو بيومى للادوات المنزلية,"5 ش حلمى, ابو النمرس, الجيزة.",601686
منتجات ادوات منزلية,ابو تريكة,"درب سعادة, الموسكى, القاهرة.",303810
منتجات ادوات منزلية,ابو جاد الحق,"ش الداهايمة, بلقاس, الدقهلية.",360885
منتجات ادوات منزلية,ابو جبل,"ش سليم - كوم بكار, فيصل, الجيزة.",380512
منتجات ادوات منزلية,ابو جمعة,"ش الثورة, شربين, الدقهلية.",356554
منتجات ادوات منزلية,ابو جنا,"ش سعد زغلول, شبين الكوم, المنوفية.",286204
منتجات ادوات منزلية,ابو جنة للادوات المنزلية,"1 ش عبد الله ابو دومه, الخصوص, القليوبية.",499566
منتجات ادوات منزلية,ابو حسام للادوات المنزلية,"15 ش اثار سقارة, البدرشين, الجيزة.",206530
منتجات ادوات منزلية,ابو حسين للادوات المنزلية,"115 ش مصدق, تقاطع ش السودان, الدقى, الجيزة.",155169
منتجات ادوات منزلية,ابو حسين للادوات المنزلية,"41 ش جسر المنوات, الحوامدية, الجيزة.",604883
منتجات ادوات منزلية,ابو حكيم للادوات المنزلية,"31 ش احمد بدوى, ابو النمرس, الجيزة.",423110
منتجات ادوات منزلية,ابو حمادة للادوات المنزلية,"7 ش حسن فتوح, البساتين, القاهرة.",504849
منتجات ادوات منزلية,ابو حمادة للادوات المنزلية,"5 ش محمود مسلم - مدينة الصفا, المرج, القاهرة.",563751
منتجات ادوات منزلية,ابو حمدة,"5 ش جامع الشيخ, المنشية, الاسكندرية.",135570
منتجات ادوات منزلية,ابو خالد,"21 ش ضياء, الهرم, الجيزة.",418787
منتجات ادوات منزلية,ابو خضرة,"ش النصر, منيا القمح, الشرقية.",324193
منتجات ادوات منزلية,ابو خفاجى,"ش الجلاء, كفر صقر, الشرقية.",362610
منتجات ادوات منزلية,ابو داوود,"ش 250 ميدان المعادى جراند مول, المعادى الجديدة, المعادى, القاهرة.",187540
منتجات ادوات منزلية,ابو دسوقى,"ش سعد زغلول, الحوامدية, الجيزة.",373725
منتجات ادوات منزلية,ابو دومة,"23 ش جوهر القائد تقاطع ش بورسعيد, الموسكى, القاهرة.",209075
منتجات ادوات منزلية,ابو ريتاج,"ش الميثاق, البساتين, القاهرة.",371442
منتجات ادوات منزلية,ابو زايد,"ش عبد الحميد حمودة, امبابة, الجيزة.",262785
منتجات ادوات منزلية,ابو زهرة للادوات المنزلية,"5 حارة النشواتى, دمياط, دمياط.",505315
منتجات ادوات منزلية,ابو زياد,"ش احمد عرابى, حى الاربعين, السويس.",295405
منتجات ادوات منزلية,ابو زياد للادوات المنزلية,"26 ش الاباصيرى, متفرع من ش بين المزارع, البساتين, القاهرة.",371385
منتجات ادوات منزلية,ابو زياد للادوات المنزلية,"22 ش احمد بدوى, ابو النمرس, الجيزة.",601864
منتجات ادوات منزلية,ابو زيد,"ش الجمهورية, بيلا, كفر الشيخ.",362775
منتجات ادوات منزلية,ابو زيد,"ش يوسف الجندى, زفتى, الغربية.",334004
منتجات ادوات منزلية,ابو زيد للادوات المنزلية,"31 ش احمد بدوى, ابو النمرس, الجيزة.",660345
منتجات ادوات منزلية,ابو زينة,"ش المنصورية, الهرم, الجيزة.",381293
منتجات ادوات منزلية,ابو سامر,"ش الشادر متفرع من ش المركز, الحسينية, الشرقية.",365819
منتجات ادوات منزلية,ابو ستة للادوات المنزلية,"35 ش الصوفى, اشمون, المنوفية.",560190
منتجات ادوات منزلية,ابو سعدة,"91 ش مصر والسودان, حدائق القبة, القاهرة.",255943
منتجات ادوات منزلية,ابو سعدة للادوات المنزلية,"12 ش احمد قاسم - عزبة الحفير, الخصوص, القليوبية.",500844
منتجات ادوات منزلية,ابو سعيد للادوات المنزلية,"56 ش جمال عبد الناصر - قرية المعتمدية, كرداسة, الجيزة.",554096
منتجات ادوات منزلية,ابو سكين للادوات المنزلية,"147 ش احمد بدوى, ابو النمرس, الجيزة.",602540
منتجات ادوات منزلية,ابو سمره,"ش المركز الطبى, عزبة الهجانة, مدينة نصر, القاهرة.",219005
منتجات ادوات منزلية,ابو سمرة للادوات المنزلية,"3 ش احمد بدوى, ابو النمرس, الجيزة.",426381
منتجات ادوات منزلية,ابو سمير,"179 ش ترعة الجبل, حدائق القبة, القاهرة.",407870
منتجات ادوات منزلية,ابو سيد للادوات المنزلية,"44 ش خالد بن الوليد, عرب جسر السويس, جسر السويس, القاهرة.",659234
منتجات ادوات منزلية,ابو سيف للادوات المنزلية,"17 ش الجيش - وراق الحضر, الوراق, الجيزة.",596074
منتجات ادوات منزلية,ابو سيفين,"ش نصوح, الزيتون, القاهرة.",407710
منتجات ادوات منزلية,ابو سيفين,"1 ش عبد المنعم محمد - عزبة النخل الشرقية, عزبة النخل, القاهرة.",472433
منتجات ادوات منزلية,ابو شادوف,"ش عزبة جبرائيل, شربين, الدقهلية.",356806
منتجات ادوات منزلية,ابو شادى,"57 ش الجزائر, الزاوية الحمراء, القاهرة.",297311
منتجات ادوات منزلية,ابو شعيشع للادوات المنزلية,"5 ش جوهر القائد, البدرشين, الجيزة.",608731
منتجات ادوات منزلية,ابو شهد,"ش 4 متفرع من ش ابن النفيس, المعمورة البلد, الاسكندرية.",264307
منتجات ادوات منزلية,ابو صالح,"ش الروضة, طلخا, الدقهلية.",355683
منتجات ادوات منزلية,ابو صبحى للادوات المنزلية,"125 ش خالد بن الوليد, عرب جسر السويس, جسر السويس, القاهرة.",276185
منتجات ادوات منزلية,ابو طالب للاجهزة المنزلية,"2 ش جلال عبد القادر, المنوات, الجيزة.",614342
منتجات ادوات منزلية,ابو طالب للادوات المنزلية,", ميدان الطميهى, برج المدينة المنورة, المنصورة, الدقهلية.",263543
منتجات ادوات منزلية,ابو عامر,"ش جمعة عضيم, دار السلام, القاهرة.",330058
منتجات ادوات منزلية,ابو عبد الله,"ش الشهيد احمد بدوى, ابو النمرس, الجيزة.",274508
منتجات ادوات منزلية,ابو عبده,"ش السد العالى, العرب, المعادى, القاهرة.",409785
منتجات ادوات منزلية,ابو عصام للادوات المنزلية,"182 ش التحرير, باب اللوق, القاهرة.",19922
منتجات ادوات منزلية,ابو علفة للادوات المنزلية,"71 ش احمد بدوى, ابو النمرس, الجيزة.",601703
منتجات ادوات منزلية,ابو على,"ش جمال عبد الناصر, فيصل, الجيزة.",342751
منتجات ادوات منزلية,ابو على,"29 ش راغب باشا, محرم بك, الاسكندرية.",62844
منتجات ادوات منزلية,ابو على,"35 ش راغب باشا, محرم بك, الاسكندرية.",216836
منتجات ادوات منزلية,ابو على للادوات المنزلية,"26 ش محمد عبد العزيز القرشى - صفط اللبن, بولاق الدكرور, الجيزة.",580090
منتجات ادوات منزلية,ابو عماد,"ش الشيخ ريحان, فيصل, الجيزة.",394586
منتجات ادوات منزلية,ابو عماد,"12 ش الاتحاد, فيصل, الجيزة.",136333
منتجات ادوات منزلية,ابو عمر,"ش عرابى, منية النصر, الدقهلية.",354539
منتجات ادوات منزلية,ابو عمر للادوات المنزلية,"ش المطافى, بلبيس, الشرقية.",327037
منتجات ادوات منزلية,ابو عمرو,"34 ش على رمضان, الحى السادس, مدينة نصر, القاهرة.",458283
منتجات ادوات منزلية,ابو عمرو,"11 ش محمد عوض جبريل, ميامى, الاسكندرية.",145245
