Category,Name,Address,ID
مطاعم تايلاندية,اسيا,"كم 30 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",204401
مطاعم تايلاندية,اشيان رستوران,"كم 35 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",560555
مطاعم تايلاندية,اكاتايو,"37 أ ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",507951
مطاعم تايلاندية,المطعم الاسيوى,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",495826
مطاعم تايلاندية,اندوشين,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",446472
مطاعم تايلاندية,ايل لوفت,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",482647
مطاعم تايلاندية,بامبو,"الغرقانة, خليج نبق, شرم الشيخ.",200960
مطاعم تايلاندية,بان تاى,"., سهل حشيش, الغردقة.",230355
مطاعم تايلاندية,بان تاى,"ش السلطان قابوس, خليج نعمة, شرم الشيخ.",254300
مطاعم تايلاندية,بلو جينجر,"1 طريق ريتز كارلتون متفرع من ش الفنار, هضبة ام السيد, شرم الشيخ.",66647
مطاعم تايلاندية,بوخارة,"طريق السلام, خليج نعمة, شرم الشيخ.",229207
مطاعم تايلاندية,بيرد نيست,"كم 42 - طريق نويبع طابا, مرتفعات طابا, طابا.",144302
مطاعم تايلاندية,تاى ايليفانت,"21 ش عزيز اباظة - ش المعهد السويسرى سابقا ميدان صدقى, الزمالك, القاهرة.",263797
مطاعم تايلاندية,تاى هاوس,"ش اليمانى, السوق القديم, شرم الشيخ.",146198
مطاعم تايلاندية,تشينيس هاوس,"1 ابراج المصرى - ش الجزيرة الوسطى - الدور 1, الزمالك, القاهرة.",391622
مطاعم تايلاندية,جنجر,"طريق كوبرى 14 مايو, سموحة, الاسكندرية.",448258
مطاعم تايلاندية,دراجون هاوس,"84 ش 9, المعادى, القاهرة.",64805
