Category,Name,Address,ID
السجل المدني,السجل المدنى - ابشواى,"ش الجمهورية, ابشواى, الفيوم.",239104
السجل المدني,السجل المدنى - ابنوب,"ش الجمهورية, ابنوب, اسيوط.",238933
السجل المدني,السجل المدنى - ابو المطامير,"ش مصطفى كامل, ابو المطامير, البحيرة.",238729
السجل المدني,السجل المدنى - ابو النمرس,"13 ش المركز, ابو النمرس, الجيزة.",225071
السجل المدني,السجل المدنى - ابو تشت,"ش المحطة, ابو طشت, قنا.",238580
السجل المدني,السجل المدنى - ابو تيج,"مساكن المدينة طريق اسيوط سوهاج, ابو تيج, اسيوط.",238930
السجل المدني,السجل المدنى - ابو حماد,", حى الزهور, ابو حماد, الشرقية.",238464
السجل المدني,السجل المدنى - ابو حمص,"ش الكبير, ابو حمص, البحيرة.",238727
السجل المدني,السجل المدنى - ابو رديس,"طريق راس سدر الطور, جنوب سيناء, شرم الشيخ.",436317
السجل المدني,السجل المدنى - ابو زنيما,"ش خالد بن الوليد, ابو زينما, جنوب سيناء.",436976
السجل المدني,السجل المدنى - ابو سمبل,"ش المركز, ابو سمبل, اسوان.",239197
السجل المدني,السجل المدنى - ابو صوير,"., ابو سوير المحطة, ابو صوير المحطة, الاسماعيلية.",239139
السجل المدني,السجل المدنى - ابو قرقاص,"ش الجمهورية, ابو قرقاص, المنيا.",238943
السجل المدني,السجل المدنى - ابو قير,"مساكن طوسون, ابو قير, الاسكندرية.",225329
السجل المدني,السجل المدنى - ابو كبير,"ش عبد العزيز على, ابو كبير, الشرقية.",238484
السجل المدني,السجل المدنى - اجا,"المساكن الشعبية ش فهمى, اجا, الدقهلية.",437440
السجل المدني,السجل المدنى - اخميم,"ش ابو القاسم, اخميم, سوهاج.",238766
السجل المدني,السجل المدنى - ادفو,"ش المركز, ادفو, اسوان.",239205
السجل المدني,السجل المدنى - ادكو,"ش محطة السكة الحديد, ادكو, البحيرة.",238726
السجل المدني,السجل المدنى - ارمنت,"ش المعهد , ارمنت, الاقصر, الاقصر.",238666
السجل المدني,السجل المدنى - اسنا,"ش احمد عرابى, اسنا, الاقصر.",238660
السجل المدني,السجل المدنى - اسيوط 1,"ش سعد زغلول, ميدان البندر, اسيوط, اسيوط.",238924
السجل المدني,السجل المدنى - اسيوط 2,"عمارات الشادر ش كورنيش النيل, اسيوط, اسيوط.",238928
السجل المدني,السجل المدنى - اشمون,"ش صلاح الدين, اشمون, المنوفية.",238361
السجل المدني,السجل المدنى - اطسا,"ش ابو بكر الصديق, اطسا, الفيوم.",239128
السجل المدني,السجل المدنى - اطفيح,", قرية البرمبل, اطفيح, الجيزة.",437346
السجل المدني,السجل المدنى - الابراهيمية,"ش محمد محمد الفحام, متفرع من طريق الحرية, الابراهيمية, الاسكندرية.",225301
السجل المدني,السجل المدنى - الابراهيمية,"طريق ههيا الابراهيمية, الابراهيمية, الشرقية.",238474
السجل المدني,السجل المدنى - الاذاعة والتليفزيون,"كورنيش النيل, ماسبيرو, بولاق, القاهرة.",197759
السجل المدني,السجل المدنى - الازبكية,"ش الجلاء, ميدان رمسيس, الازبكية, القاهرة.",197651
السجل المدني,السجل المدنى - الاسماعيلية 1,"ش التحرير, وسط البلد, الاسماعيلية.",239134
السجل المدني,السجل المدنى - الاسماعيلية 3,"ش 7, الشيخ زايد, الاسماعيلية.",239137
السجل المدني,السجل المدنى - الباجور,"ش كمال الشاذلى - ش الجيش سابقا, الباجور, المنوفية.",238350
السجل المدني,السجل المدنى - البحر الاحمر,"ش 6 اكتوبر, الدهار, الغردقة.",239170
السجل المدني,السجل المدنى - البدارى,"ش الثورة, البدارى, اسيوط.",238921
السجل المدني,السجل المدنى - البدرشين,"ش اثار سقارة, البدرشين, الجيزة.",225070
السجل المدني,السجل المدنى - البرامون,", قرية البرامون, المنصورة, الدقهلية.",437428
السجل المدني,السجل المدنى - البرلس,"ش المركز, بلطيم, كفر الشيخ.",239097
السجل المدني,السجل المدنى - البساتين,"ش مهران, البساتين, القاهرة.",197477
السجل المدني,السجل المدنى - البلينا,"ش خور الساحل, البلينا, سوهاج.",238761
السجل المدني,السجل المدنى - التبين,"بلوك 56 - مساكن شركة الحديد والصلب الجديدة, التبين, القاهرة.",197484
السجل المدني,السجل المدنى - التل الكبير,"ش ترعة الروضة, منطقة الحمادة, التل الكبير, الاسماعيلية.",239142
السجل المدني,السجل المدنى - الجمالية,"24 مساكن سوزان مبارك, الدويقة, منشية ناصر, القاهرة.",197515
السجل المدني,السجل المدنى - الجمرك,"ش قايتباى, متفرع من ش قصر راس التين, الانفوشى, الاسكندرية.",225295
السجل المدني,السجل المدنى - الجناين,", قرية عامر, الجناين, السويس.",436543
السجل المدني,السجل المدنى - الجيزة,"ش البحر الاعظم, الجيزة, الجيزة.",225076
السجل المدني,السجل المدنى - الحامول,"ش المركز, الحامول, كفر الشيخ.",239091
السجل المدني,السجل المدنى - الحسينية,"مساكن مجلس المدينة ش الثورة, الحسينية, الشرقية.",238466
السجل المدني,السجل المدنى - الحمام,"ش الجيش, الحمام, الساحل الشمالى.",238886
السجل المدني,السجل المدنى - الحوامدية,"ش طراد النيل, متفرع من ش الثورة, العزبة الشرقية, الحوامدية, الجيزة.",225120
السجل المدني,السجل المدنى - الخارجة,"طريق الاقصر الخارجة, الخارجة, الوادى الجديد.",238918
السجل المدني,السجل المدنى - الخانكة,"., الخانكة, القليوبية.",225227
السجل المدني,السجل المدنى - الخصوص,"ش الشيخ صبيح, الخصوص, القليوبية.",225109
