Category,Name,Address,ID
اكريليك,الخواجة للاكريلك والبولى كربونيت,"ش الشرقاوية البحرية, شبرا الخيمة, القليوبية.",669697
اكريليك,الواح اكريليك تكنو بولى,"3 ش عبد الحميد, متفرع من ش جمال عبد الناصر, الحرفين, جسر السويس, القاهرة.",369466
اكريليك,الجمهورية للمواد العازلة,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",92342
اكريليك,اسكندرية للفايبر,"كم 36 - طريق النهضة متفرع من طريق القاهرة اسكندرية الصحراوى, العامرية, الاسكندرية.",97079
اكريليك,اكريليك مصر,"6 ش د. سمير شطا، متفرع من ش طه حسين, النزهة الجديدة, القاهرة.",627299
اكريليك,اكسا ايجيبت لصناعة الالياف الاكريليك,"القطعة الثانية - بلوك 19 - - المنطقة الصناعية الرابعة, برج العرب, الاسكندرية.",577024
اكريليك,العالمية للاعلان واعمال الاكرليك والليزر,"8 ش ابراهيم ابو السعود, كمبوند سيتى لايت, السيوف, الاسكندرية.",569104
اكريليك,المؤسسة المصرية الايطالية لاعمال الاكرليك,"16 ش محمد كامل مرسى, متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",5527
اكريليك,الميدانى جروب,"39 ش المراغى , العجوزة, الجيزة.",178553
اكريليك,النجم للدعاية والاعلان,"ش الدراسات, المنصورة, الدقهلية.",539592
اكريليك,ايجيبت وود,"ش المصانع, نهاية ش جمال عبد الناصر, جسر السويس, القاهرة.",436309
اكريليك,بلكسى اند بلكسى,"برج الصديق - ش مخازن السلاب, زهراء مدينة نصر, مدينة نصر, القاهرة.",146314
اكريليك,بلكسى جلاس ايجيبت,"29 ش حسن افلاطون, ارض الجولف, مصر الجديدة, القاهرة.",263219
اكريليك,بلكسى ستاند,"446 ش الهرم - مجمع نصر الدين - الدور 2, الهرم, الجيزة.",137762
اكريليك,جيدتكس لصناعة خيوط الاكريليك والبوليستر,"24 ش بيبرس, الازهر, القاهرة.",69781
اكريليك,سالمكو - النصر لغزل الاكرليك,"ش العبور - المنطقة الصناعية الثالثة A1, العاشر من رمضان, الشرقية.",917
اكريليك,سبيرتون للاستيراد والتصدير,"16 ش محمد حسن الجمل, متفرع من ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",153495
اكريليك,سبيروبلاستيك الصناعية,"10 ش نجيب الريحانى متفرع من ش رمسيس, الزمالك, القاهرة.",22123
اكريليك,سيلك رود تريدنج,"فيلا 314, الياسمين 7, الياسمين, القاهرة الجديدة, القاهرة.",668911
اكريليك,عالم الاكرليك للاعلان,"بلوك 28 - مساكن عين شمس - ش مخزن الانابيب, عين شمس, القاهرة.",323380
اكريليك,كارف ان كات,"112 ش عبد السلام عارف, جليم, الاسكندرية.",430105
اكريليك,كومو بلاست,"القطعة 12 - بلوك 34 - - المنطقة الصناعية الرابعة, برج العرب الجديدة, الاسكندرية.",20423
اكريليك,ماى كريستال,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",163043
اكريليك,محمد الامير ونبيل فتحى,"3 ش حسنى صالح, المهندسين, الجيزة.",174859
اكريليك,محمد سليمان لاعمال الاكريليك,"3, 8 ش الزهور, ارض اللواء, الجيزة.",170346
اكريليك,مصنع حورس لصناعة الاكريلك,"القطعة 129/3, بياض العرب - المنطقة الصناعات المتوسطة, بنى سويف الجديدة, بنى سويف.",638685
اكريليك,ميديا ستارز للاعلان و تشكيل الاكريليك,", مجمع الصناع المتحدون - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",438183
اكريليك,ورشة عادل الصاوى لاعمال الاكرليك,"ش مصطفى محمود, طره, القاهرة.",121389
اكريليك,يوروتريد للاستيراد والتصدير,"4 ش ابو هاشم متفرع من ش شبرا - الخلفاوى, شبرا, القاهرة.",139507
