Category,Name,Address,ID
عقارات,الساكت للمقاولات والاستثمار العقارى,"6 ش سمير عبد الرؤوف, امتداد ش مكرم عبيد, مدينة نصر, القاهرة.",504446
عقارات,شركة فور هورس لخدمات رجال الاعمال,"30, المحور المركزى, الحى الرابع, السادس من اكتوبر, الجيزة.",689321
عقارات,ايليت للاستثمار والاستشارات العقارية,"313, المحور المركزى - المجاورة الثانية, الحى الرابع, السادس من اكتوبر, الجيزة.",692476
عقارات,روديكس للتطوير العقارى وادارة المشروعات المتكاملة,"10 ش الصحابة الكرام, حى السفارات, مدينة نصر, القاهرة.",693980
عقارات,لافيتا العقارية,"34 ش مكرم عبيد, الدور 7, مدينة نصر, القاهرة.",687863
عقارات,الحمصانى للخبرة والتثمين والتقييم العقارى - د. حسين الحمصانى,"184 عمارات البنفسج, التجمع الخامس, القاهرة الجديدة, القاهرة.",530120
عقارات,ام القرى للتطوير العقارى,"72 ش الخلفاء الراشدين, المنصورة, الدقهلية.",178379
عقارات,عنانى للاستثمار العقارى - م. هشام عنانى,"19 ش مصطفى كامل, سموحة, الاسكندرية.",96076
عقارات,شركة الفهد لتأجير السيارات والمكاتب الادارية,"5 ز/2 ش شوقى عبد المنعم, متفرع من ش النصر - تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",104853
عقارات,شركة دار الهنا للانشاءات والتجارة,"58 عمارة حسين صدقى ش مصر حلوان الزراعى, الشقة 14, الدور 1, المعادى, القاهرة.",629786
عقارات,الجمهورية للتسويق العقارى,"18 ب ش احمد حشمت, الزمالك, القاهرة.",17296
عقارات,معمار المرشدى,"الطريق الدائرى, مدينة المعراج, المعادى, القاهرة.",456787
عقارات,اكتوبر للتسويق والتطوير العقارى,"2 ابراج الشركة العالمية - المحور المركزى - الحصرى - الدور 1, الحى الثامن, السادس من اكتوبر, الجيزة.",597032
عقارات,ريماكس افالون,"ابراج القطن, ميدان فيكتور عمانويل, سموحة, الاسكندرية.",598667
عقارات,شركة الانشاءات الحديثة للمقاولات ش.م.م,"378 طريق الحرية, مصطفى كامل, الاسكندرية.",135123
عقارات,شركة البناء الحديث للمقاولات والاستثمار العقارى,"35 ش عبد العزيز عيسى - المنطقة التاسعة, مدينة نصر, القاهرة.",461403
عقارات,شركة ميرميد للقرى السياحية,"110 ش الميرغنى تقاطع ش الثورة, مصر الجديدة, القاهرة.",232649
عقارات,قرطبة للاستثمار العقارى والتجارى,"258 ش عبد السلام عارف, لوران, الاسكندرية.",36192
عقارات,25 يناير للاستثمار العقارى,"ش مؤسسة الزكاة - بركة الحاج, المرج, القاهرة.",288359
عقارات,25 يناير للتنمية العقارية,"9 ش ابو عبيدة الجراح, مصر الجديدة, القاهرة.",426558
عقارات,6 اكتوبر للاستثمار العقارى,"المجاورة الثانية, الحى السابع, السادس من اكتوبر, الجيزة.",214460
عقارات,90 افينيو,"شارع التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",505047
عقارات,اب ترن للتطوير العقارى,"فيلا 120 - - النرجس 5, النرجس, القاهرة الجديدة, القاهرة.",577307
عقارات,اب جريد للاستشارات العقارية,"449 ش الهرم - الدور 3, نصر الدين, الهرم, الجيزة.",595518
عقارات,اب سوينج,"5 ش الشيخ المرصفى, الزمالك, القاهرة.",426883
عقارات,ابت كى العقارية,"19 أ عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",191872
عقارات,ابتكار العقارية,"ش التسعين الجنوبى, اللوتس - عمارة 75, التجمع الخامس, القاهرة الجديدة, القاهرة.",588406
عقارات,ابتيليتى,"3 ش عثمان بن عفان، ش جزيرة العرب, المهندسين, الجيزة.",620073
عقارات,ابداع كابيتال,"20 ش احمد الشتورى, الدقى, الجيزة.",675404
عقارات,ابداع للاستثمار والتطوير العقارى,"4 عمارات الاسكان الفاخر - - الحى السادس شقة 2, مدينة العبور, القليوبية.",479565
عقارات,ابداع للتشطيبات والتسويق العقارى,"66 ش ايران, الشقة 11, الدور 3, متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",211116
عقارات,ابداع للتطوير العقارى,"فيلا 63, الحي الثالث، منطقة 4 ب, التجمع الخامس, القاهرة الجديدة, القاهرة.",650258
عقارات,ابداع للتنمية العقارية,"43 ش مصطفى النحاس, مدينة نصر, القاهرة.",596524
عقارات,ابداع للعقارات,"13 ش مصطفى كامل, شبين الكوم, المنوفية.",535629
عقارات,ابداع مصر للاستثمار العقارى والسياحى,"78 ش عبد المنعم رياض - العجوزة, المهندسين, الجيزة.",509045
عقارات,ابر ايجيبت للتنمية العقارية والاستثمار السياحى,"33 ش القدس الشريف متفرع من ش شهاب, المهندسين, الجيزة.",260249
عقارات,ابراج البرنسيسة,"22 ش عامر, الدقى, الجيزة.",387248
عقارات,ابراج الصفوة,"1 ش كامل عودة متفرع من ش عثمان محرم, الطالبية, الهرم, الجيزة.",526128
عقارات,ابراج العقارية,"ش 2, تقسيم ابن زيد, المنصورة, الدقهلية.",672535
عقارات,ابراج العقارية للاستثمار والتنمية,"366 طريق الجيش, الدور 1, برج الوطنية, جليم, الاسكندرية.",193220
