Category,Name,Address,ID
موازين ومعدات وزن,الشركة الفنية لصناعة الموازين,"وحدة 29, المنطقة الصناعية الرابعة, السادس من اكتوبر, الجيزة.",109072
موازين ومعدات وزن,الشامى للموازين والتوريدات العمومية,"برج 3, السادس من اكتوبر, الجيزة.",43136
موازين ومعدات وزن,الشركة المتحدة للتجارة والهندسة - المتحدة للموازین,"22 ش خالد امين, الدور 1, التعاون, الهرم, الجيزة.",133374
موازين ومعدات وزن,بلانتا ايجيبت الهندسية للتجارة والموازين,"ش اسعاد يوسف, الطريق الدائرى, مدينة السلام, القاهرة.",146991
موازين ومعدات وزن,جلوبال لتصنيع وتجميع الموازين وانظمة القياس والتحكم,", منطقة قويسنا الصناعية - المنطقة الثانية, قويسنا, المنوفية.",474217
موازين ومعدات وزن,شركة السلام للتوريدات وانظمة الوزن,"14 ش الاميرة فادية, تقاطع ش ابو الهول السياحى, الهرم, الجيزة.",694830
موازين ومعدات وزن,شركة الزهراء لجميع انواع الموازين,"4 ش عبده رشوان, كرداسة, الجيزة.",153450
موازين ومعدات وزن,الشركة الهندسية للتجارة والتوريدات - اى تى اس,"5 ش الموازين, التقسيم الرابع, باسوس, القليوبية.",293896
موازين ومعدات وزن,الشركة المصرية للموازين,"ش عمر بن عبد العزيز, حلوان, القاهرة.",441823
موازين ومعدات وزن,سوتيك جروب - وكيل ميتلر توليدو,"8 ش ابن قتيبة, نهاية ش عباس العقاد, حى الزهور, الحى السابع, مدينة نصر, القاهرة.",60241
موازين ومعدات وزن,مارين للموازين الصناعية,"قطعة 152/1 - - المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",12441
موازين ومعدات وزن,ابلاينس لتجارة الموازين,"محلية 6, محور السادات, الحى الاول, مدينة العبور, القليوبية.",653015
موازين ومعدات وزن,ابو الفضل لتجارة الموازين,"23 ش اثار سقارة, البدرشين, الجيزة.",648721
موازين ومعدات وزن,اسكندرية لصناعة الموازين,"18 ش هارون الرشيد, الجمرك, الاسكندرية.",34243
موازين ومعدات وزن,اصول لانظمة الوزن المتكاملة,"32 ش عيد نافع, المساحة, فيصل, الجيزة.",425783
موازين ومعدات وزن,ال بكر,"5 ش انجال شرف شحاتة, دار السلام, القاهرة.",334591
موازين ومعدات وزن,الاتحاد للتجارة وتصنيع الموازين,"ش الموازين, ارض العمدة, باسوس, القليوبية.",555165
موازين ومعدات وزن,الاحمدية للموازين,"15 ش محمد باشا متفرع من ش عبد العزيز فهمى - ميدان هليوبوليس, مصر الجديدة, القاهرة.",210270
موازين ومعدات وزن,الاخلاص للموازين,"8 ش محطة المدرسة, الحى العاشر, مدينة نصر, القاهرة.",677145
موازين ومعدات وزن,الاسراء للموازين,"46 ش انتصار الاسلام, زهراء عين شمس, عين شمس الشرقية, القاهرة.",336711
موازين ومعدات وزن,الاهرام للموازين,"168 عمارات سعودى - ش فيصل, الكوم الاخضر, الهرم, الجيزة.",7587
موازين ومعدات وزن,البرنس لتجارة الموازين,"22 ش سلام - ابو قتادة, بولاق الدكرور, الجيزة.",592251
موازين ومعدات وزن,البروفسير للموازين,"5 ش المدينة المنورة, ارض اللواء, الجيزة.",548911
موازين ومعدات وزن,البطاوى للاستيراد والتصدير,"6 ش السد العالى ميدان فينى, الدقى, الجيزة.",249709
موازين ومعدات وزن,البولاقى للموازين,"11 ش بيت القاضى, الجمالية, القاهرة.",209783
موازين ومعدات وزن,التوحيد الوطنية للموازين,"20 ش المعاهدة, ابو زعبل, القليوبية.",416014
موازين ومعدات وزن,الجزار,"2 ميدان بيت القاضى, الجمالية, القاهرة.",366114
موازين ومعدات وزن,الجزار للموازين,"2 ش بيت القاضى, الجمالية, القاهرة.",229187
موازين ومعدات وزن,الحاج احمد حبيب لتجارة الموازين,"17 ش الوحدة الصحية - قرية جزيرة محمد, الوراق, الجيزة.",598723
موازين ومعدات وزن,الحبيب لتجارة الموازين,"1 كورنيش النيل - القيراطيين, اوسيم, الجيزة.",592102
موازين ومعدات وزن,الحضرى للموازين,"12 ش سهل حمزة, الكوم الاخضر, الهرم, الجيزة.",18031
موازين ومعدات وزن,الحمد جروب,"91 ش مؤسسة الزكاة, المرج, القاهرة.",430656
