Category,Name,Address,ID
طب معدات,لاب توب,"9 ش المسجد الاقصى, متفرع من ش فوزى رماح, المهندسين, الجيزة.",136787
طب معدات,نبيل لتشغيل المعادن والتجهيزات الطبية,"7 ش الرشيدى, المنيرة, القاهرة.",124926
طب معدات,الصفوة للاجهزة والمستلزمات الطبية,"22 ش شامبليون, الازاريطة, الاسكندرية.",615250
طب معدات,ناس كير للتوريدات,"القطعة 2102 ش الارقم بن ابى الارقم, المعراج, المعادى الجديدة, المعادى, القاهرة.",692820
طب معدات,اليرموك للاثاث الطبى والمعملى,"كم 28 طريق القاهرة اسكندرية الصحراوى, المنطقة الصناعية - القطعة 22, ابو رواش, الجيزة.",21988
طب معدات,تونى ميديكو للمستلزمات والاجهزة البيطرية,"22 ش نصوح, الزيتون, القاهرة.",188104
طب معدات,شركة الفؤاد للمستلزمات والاجهزة الطبية,"خلف 18 ش كلية الطب, محطة الرمل, الاسكندرية.",203936
طب معدات,أجيال للمستلزمات الطبيه,"8 ش كليه الطب, الازاريطة, الاسكندرية.",688286
طب معدات,الهداية للمستلزمات الطبية والملابس الطبية واليونيفورم,"25 ش شامبليون, الازاريطة, الاسكندرية.",32107
طب معدات,ميديكال ماركت للمستلزمات والاجهزة الطبية,"4 ش شامبليون, الازاريطة, الاسكندرية.",688425
طب معدات,شركة بست وورك,"الطريق الدائرى, نزلة القومية, امبابة, الجيزة.",685214
طب معدات,زيتون لمستلزمات طب الاسنان,"3 ش مصطفى اسماعيل, متفرع من ش شامبليون, الازاريطة, الاسكندرية.",567868
طب معدات,ابتيك,"9 و ش مجدى سلامة - الدور 5, المعادى الجديدة, المعادى, القاهرة.",460460
طب معدات,ابداع,"27 ش مصطفى النحاس - الدور 5 شقة 501, الحى الثامن, مدينة نصر, القاهرة.",578437
طب معدات,ابن سينا,"ش الجامع, القلج, القليوبية.",417351
طب معدات,ابن سينا,"48 ش طلعت حرب, شبين الكوم, المنوفية.",320909
طب معدات,ابن سينا لصيانة الاجهزة الطبية,"10 ش الهلالية, المنيرة, القاهرة.",207759
طب معدات,ابن سينا لصيانة المعدات الطبية,"10 حارة الهلالية, المنيرة, القاهرة.",520760
طب معدات,ابن سينا للاجهزة الطبية,"34 ش المواردى, المنيرة, القاهرة.",622089
