Category,Name,Address,ID
ترجمة,فيا ترانسليشن للترجمة المعتمدة,"183 ش التحرير, عمارة ستراند - الدور الاول - باب اللوق, وسط البلد, القاهرة.",551666
ترجمة,ايجى برفكت للترجمة المعتمدة,"1 ش ممتاز, ترعة الزمر, الجيزة, الجيزة.",688917
ترجمة,جلوباليز جروب لخدمات الترجمة المعتمدة,"1 ش جامعة القاهرة, الشقة 29, الدور 8, الجيزة, الجيزة.",694725
ترجمة,جالينوس للترجمة المعتمدة وخدمات رجال الاعمال,"1 ش محى الدين ابو العز, الدقى, الجيزة.",667918
ترجمة,المصرية للانظمة الاذاعية,"فيلا 382 ط - حدائق الاهرام, حدائق الاهرام, الهرم, الجيزة.",179337
ترجمة,ريفيل للترجمة المعتمدة,"128 ش السودان, الدور 6, المهندسين, الجيزة.",690995
ترجمة,امازون للترجمة المعتمدة الفورية,"29 ش الامام على, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",604374
ترجمة,ايجيتا,"1 /4 ش د. انور المفتى, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",526292
ترجمة,الفؤاد للترجمة المعتمدة,"145 ش النزهة, ميدان سانت فاطيما, سانت فاتيما, مصر الجديدة, القاهرة.",178993
ترجمة,ابل لوكاليزيشن,"68 ش النصر, المعادى الجديدة, المعادى, القاهرة.",479215
ترجمة,ابو العلا للترجمة,"124 ش النزهة, تريومف, مصر الجديدة, القاهرة.",156579
ترجمة,اتس للترجمة,"10 ش الاسراء والمعراج متفرع من ش ابو بكر الصديق - الوفاء والامل, المريوطية, الهرم, الجيزة.",172782
ترجمة,اتش بى سى - هليوبوليس بيزنس سنتر,"88 ش الميرغنى - الدور 1 شقة 3, كلية البنات, مصر الجديدة, القاهرة.",49244
ترجمة,اجادة للترجمة المعتمدة,", ارض الحرية, بنى سويف, بنى سويف.",680556
ترجمة,احمد على للترجمة,"ش جمال عبد الناصر, ميدان المندرة, المندرة البحرية, الاسكندرية.",358249
ترجمة,ار تى سى للترجمة المعتمدة,"11 عمارات الجيزة -, الحى العاشر, مدينة نصر, القاهرة.",122988
ترجمة,ارابايز,"22 عمارات طيبة 2000 - ش د. انور المفتى, المنطقة الاولى, مدينة نصر, القاهرة.",55073
