Category,Name,Address,ID
دكتور جلدية,عيادات تشينج مى,"76 ش الثورة, الدور 8, ارض الجولف, مصر الجديدة, القاهرة.",568763
دكتور جلدية,مركز تجميل جلو,"30 ش سوريا, الدور 1, رشدى, الاسكندرية.",457420
دكتور جلدية,ديرما ليزر كلينيك - د. بسمة لبيب,"7 /2 ش النصر, الدور 2, المعادى الجديدة, المعادى, القاهرة.",230506
دكتور جلدية,عيادات حور,"20 شارع على امين, امتداد مصطفى النحاس, مدينة نصر, القاهرة.",519389
دكتور جلدية,ستارز ليزر كلينيك - د. ماجد الشيخ,"96 برج الاطباء ش مصطفى النحاس, مدينة نصر, القاهرة.",314939
دكتور جلدية,د. هاجر فؤاد أخصائية الامراض الجلدية والتجميل والليزر,"284 ش جمال عبد الناصر, ميامى, الاسكندرية.",668847
دكتور جلدية,عيادة د. صفا منير للجلدية والتجميل والليزر,"20 برج سقارة ٢ ش سوريا, الدور 2, رشدى, الاسكندرية.",689391
دكتور جلدية,انسيد اوت بيوتى كلينك,"110 ش الميرغنى, الدور 2, مصر الجديدة, القاهرة.",602193
دكتور جلدية,د. زكية غورست جورجى,"28 ش محمد تيمور, الشقة 1, سانت فاتيما, ميدان الحجاز, مصر الجديدة, القاهرة.",183197
دكتور جلدية,ديرماليز كلينيك - د. نورا محمد حماسة,"5 ش عمر بن الخطاب, مساكن شيراتون, مصر الجديدة, القاهرة.",557524
دكتور جلدية,عيادة توازن التخصصية - تغذية علاجية وامراض جلدية - د. هالة لطفى,"19 عمارة المدينة المنورة ش الصفا متفرع من شارع ادموند فيرمونت, الدور 1, سموحة, الاسكندرية.",342058
دكتور جلدية,مركز د. اميرة مدحت للجلدية والتجميل والليزر والتغذية العلاجية,"71 ش النصر, المعادى الجديدة, المعادى, القاهرة.",223018
دكتور جلدية,مركز مصر لليزر,"75 عمارة د بانوراما سموحة شارع 14 مايو, الدور 1, سموحة, الاسكندرية.",514540
دكتور جلدية,هرمس فارماسيوتيكال,"10064 عمارات المعراج - , زهراء المعادى, المعادى, القاهرة.",550179
دكتور جلدية,ازهى ليزر كلينك,"القطعة 28أ ش عبد الله بن سلامة, متفرع من ش التسعين الشمالى, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",673206
دكتور جلدية,اس دى سكين كلينيك,"المحور المركزى - ابراج المدينة - برج 1 - الدور 2 شقة 211, السادس من اكتوبر, الجيزة.",590890
دكتور جلدية,اسكينوفيشين,". - الدور 1, الشيخ زايد, السادس من اكتوبر, الجيزة.",467636
دكتور جلدية,المركز الاستشارى للجلدية والليزر,"36 ش نادى الصيد تقاطع ش محيى الدين ابو العز - الدور 4, الدقى, الجيزة.",332208
