Category,Name,Address,ID
رحلات نيلية,ابروتيل كراون امبرس,"كورنيش النيل, وسط البلد, اسوان.",126555
رحلات نيلية,ابروتيل كراون امبرور,"كورنيش النيل, الاقصر, الاقصر.",126558
رحلات نيلية,اتش اس اوبرا,"كورنيش النيل, الاقصر, الاقصر.",232412
رحلات نيلية,اتش اس سولاريس II,"كورنيش النيل, الاقصر, الاقصر.",126822
رحلات نيلية,اخناتون ام اس,"., الاقصر, الاقصر.",126821
رحلات نيلية,ادونيس,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",125933
رحلات نيلية,ارمادا,"كورنيش النيل - البغدادى, الاقصر, الاقصر.",126216
رحلات نيلية,اس اس كريم,"4 ش محمد مظهر, الزمالك, القاهرة.",175347
رحلات نيلية,اكسندر الاكبر,"كورنيش النيل, الاقصر, الاقصر.",125969
رحلات نيلية,اكواريوس ام اس,"136 ش النيل, الجيزة, الجيزة.",149580
رحلات نيلية,الباخرة شاتو,"كورنيش النيل, المعادى, القاهرة.",454299
رحلات نيلية,الباخرة لؤلؤة النيل,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",504374
رحلات نيلية,الباخرة نايل سمارت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",520442
رحلات نيلية,الباخرة نايل سمارت,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",605644
رحلات نيلية,الباخرة نايل كروز,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",691889
رحلات نيلية,البرنسيسة هنا,"كم 46 - طريق السويس الغردقة, العين السخنة, العين السخنة.",269448
رحلات نيلية,الجميلة,"كورنيش النيل, الاقصر, الاقصر.",125968
رحلات نيلية,الطارق ام اس,"كورنيش النيل, الاقصر, الاقصر.",108715
رحلات نيلية,الفارس والفهد,"ش عبد السلام الشاذلى, دمنهور, البحيرة.",154278
رحلات نيلية,الفلندرة,"4 ش مجلس قيادة الثورة, الزمالك, القاهرة.",350448
رحلات نيلية,الكحيلة,"كورنيش النيل, الاقصر, الاقصر.",125967
رحلات نيلية,النبيلاتان,"كورنيش النيل, الكورنيش, اسوان.",117880
رحلات نيلية,الهامبرا,"15 عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",458475
رحلات نيلية,ام اس اسكارابيه,"كورنيش النيل, جاردن سيتى, القاهرة.",19689
رحلات نيلية,ام اس بريميام,"كورنيش النيل, الاقصر, الاقصر.",231014
