Category,Name,Address,ID
ادارة مشروعات,ماس للاستشارات الهندسية,"11 ش محمد النادى, متفرع من ش مكرم عبيد - موازى ش مصطفى النحاس, مدينة نصر, القاهرة.",139834
ادارة مشروعات,روديكس للتطوير العقارى وادارة المشروعات المتكاملة,"10 ش الصحابة الكرام, حى السفارات, مدينة نصر, القاهرة.",693980
ادارة مشروعات,جريد مجموعة التصميم المتكاملة,"27 ش سعيد الحلوانى, متفرع من ش العروبة, مصر الجديدة, القاهرة.",300866
ادارة مشروعات,المكتب الهندسى الاستشارى - ايه اف اس,"8 ش 162 ب, حدائق المعادى, المعادى, القاهرة.",347573
ادارة مشروعات,ايه دى لاستشارات ادارة المشروعات - م. اديب سليمان,"95 عمارات صقر قريش - مساكن شيراتون - , مساكن شيراتون, مصر الجديدة, القاهرة.",539647
ادارة مشروعات,ابليونا مصر لادارة المنشات,"7 أ برج دلة, كورنيش المعادى, المعادى, القاهرة.",171788
ادارة مشروعات,ادارة لخدمات المدن والمنتجعات,"كم 38 - - الشيخ زايد, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",256475
ادارة مشروعات,ار اس لادارة المشروعات,"76 ش عبد الله جاد الحق, مدينة نصر, القاهرة.",683982
ادارة مشروعات,ارمادا جروب,"138 عمارات تعاونيات سموحة, سموحة, الاسكندرية.",663267
ادارة مشروعات,اس اند كيه جروب,"8 ش القمص سرجيوس, ارض الجولف, مصر الجديدة, القاهرة.",365010
ادارة مشروعات,اس تي ام لاعتماد المشروعات الاستثمارية,"7 ش الشيراتونبالم هاوس, الهضبة, الغردقة.",628233
ادارة مشروعات,استون ماكينزى,"كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",487647
ادارة مشروعات,اسيتا - الشركة المصرية للمشروعات الترفيهية والسياحية,"30 ش طلعت حرب, وسط البلد, القاهرة.",124954
ادارة مشروعات,اغاخان للخدمات الثقافية مصر,"طريق صلاح سالم - الدراسة, الازهر, القاهرة.",66125
ادارة مشروعات,اكسبرت جروب,"19 ش عبد الله دراز, متفرع من ش الثورة, مصر الجديدة, القاهرة.",460132
ادارة مشروعات,الافق الجديد لادارة المشروعات,"7 ش على بن ابى طالب, المهندسين, الجيزة.",456251
