Category,Name,Address,ID
مغسلة سيارات,فابريكا كار كير,"23 ش مصدق, الدقى, الجيزة.",594279
مغسلة سيارات,25 يناير لغسيل السيارات,"ش البحر الاعظم, المنيب, الجيزة.",693677
مغسلة سيارات,ابراهيم لغسيل السيارات,"69 طريق مصر اسيوط الزراعى, الحوامدية, الجيزة.",616984
مغسلة سيارات,ابن البلد لغسيل السيارات,"72 طريق ترعة برك الخيام - كفر برك الخيام, كرداسة, الجيزة.",556861
مغسلة سيارات,ابو طه لغسيل السيارات,"15 ش المعتمدية - قرية المعتمدية, كرداسة, الجيزة.",553955
مغسلة سيارات,ابو فهد لغسيل السيارات,"17 ش سلام - ابو قتادة, بولاق الدكرور, الجيزة.",592226
مغسلة سيارات,ابو ملك لغسيل السيارات,"1 ش سعيد على, متفرع من ش غرب السكة الحديد, عين شمس الغربية, القاهرة.",533743
مغسلة سيارات,ادم كار كير,"8 ش حافظ رمضان, مدينة نصر, القاهرة.",680127
مغسلة سيارات,ارزاق لغسيل السيارات,"21 ش عبد الله ابو الخير, عين شمس الشرقية, القاهرة.",316638
مغسلة سيارات,اشطفها لعناية السيارات,"4 ش 49 - عمارة الشيوخ, سموحة, الاسكندرية.",531748
مغسلة سيارات,اغسلنى شكرا,"3 ش جامع الازهر, جسر السويس, القاهرة.",481065
مغسلة سيارات,افندينا لغسيل السيارات,"بلوك 4 - مساكن الشهابية - ش عبد السلام عارف, دمياط, دمياط.",505771
مغسلة سيارات,اكسبريس كار ووش,"49 ش مرتضى, جناكليس, الاسكندرية.",488324
مغسلة سيارات,ال البيت لغسيل السيارات,"7 ش الخليج المصرى - عزبة الحفير, الخصوص, القليوبية.",500585
مغسلة سيارات,ال العمدة لغسيل السيارات,"الطريق الدائرى - العزبة البيضاء, الخصوص, القليوبية.",442715
مغسلة سيارات,الاخلاص لغسيل السيارات,"37 ش البحر - سنتريس, اشمون, المنوفية.",566754
