Category,Name,Address,ID
تكييف سيارات واتوبيسات,الفا مصر لقطع غيار التبريد والتكييف,"وحدة 14, الاردنية - مول نجوم الصفا, العاشر من رمضان, الشرقية.",497071
تكييف سيارات واتوبيسات,السلام لتصنيع صناديق السيارات - الطحان جروب,"قطعة 5 - بلوك 20036, الامتداد الغربى, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",125870
تكييف سيارات واتوبيسات,ابو بكر عبد الخالق,"17 ش محمد ذو الفقار, المنيل, القاهرة.",288086
تكييف سيارات واتوبيسات,ابو حمر,"1 بلوك 4 - , الحرفيين, القاهرة.",178988
تكييف سيارات واتوبيسات,ابو شوشة,"1 أ فيلات 23 يوليو - ش مجدى يوسف, جسر السويس, القاهرة.",391113
تكييف سيارات واتوبيسات,اتوموتيف,"195 ش صلاح سالم - ساقية مكى, المنيب, الجيزة.",460864
تكييف سيارات واتوبيسات,احمد زكى,"بلوك 6 - , الحرفيين, القاهرة.",178611
تكييف سيارات واتوبيسات,احمد زملكة لتكييف السيارات,"255 ش ترعة الجندى تقسيم ارض الجمعية, حدائق القبة, القاهرة.",401399
تكييف سيارات واتوبيسات,احمد نور لتكييف السيارات,"110 ش طومانباى, الزيتون, القاهرة.",256601
تكييف سيارات واتوبيسات,اخوان غنيم,"ش زغلول, مشعل, الهرم, الجيزة.",273913
تكييف سيارات واتوبيسات,الابيض لتكييف هواء السيارات,"226 أ ش جسر السويس, مصر الجديدة, القاهرة.",293729
تكييف سيارات واتوبيسات,الاسمر لتكييف السيارات,"8 ش انجا هانم, شبرا, القاهرة.",432705
تكييف سيارات واتوبيسات,الاصابع الذهبية لتكييف السيارات,"محلية 6 - - الحى الاول, مدينة العبور, القليوبية.",526189
تكييف سيارات واتوبيسات,الالفى لتكييف السيارات,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",438097
تكييف سيارات واتوبيسات,الالمانية لتكييف السيارات,"10 ش 45 - مدينة التحرير, امبابة, الجيزة.",574281
تكييف سيارات واتوبيسات,الامانة لتكييف السيارات,"13 ش ترعة السواحل - قرية جزيرة محمد, الوراق, الجيزة.",598883
تكييف سيارات واتوبيسات,الامير لتكييف السيارات,"12 ش الامام محمد عبده, شبرا, القاهرة.",433274
تكييف سيارات واتوبيسات,البروفيسور,"ش صابر العزاز, فيصل, الجيزة.",393951
تكييف سيارات واتوبيسات,البندارى,"ش الجمهورية, اوسيم, الجيزة.",350916
تكييف سيارات واتوبيسات,البنهاوى,"ش الخليفة القاهر, الحى السادس, مدينة نصر, القاهرة.",312432
تكييف سيارات واتوبيسات,البولا لقطع غيار التكييفات,"5 م - المنطقة الصناعية الاولى, الدهار, الغردقة.",446962
تكييف سيارات واتوبيسات,التقنى السورى للتكييف,"ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",599142
تكييف سيارات واتوبيسات,الجلال للرحلات,"166 ش الكبير - كفر ابو صير, المرج, القاهرة.",566279
تكييف سيارات واتوبيسات,الحاج صديق محمد,"ش 18 - مدينة التحرير, امبابة, الجيزة.",263659
تكييف سيارات واتوبيسات,الحكيم لتكييف السيارات,"7 ش سيف النصر مشهور, بنها الجديدة, القليوبية.",520370
تكييف سيارات واتوبيسات,الدوبى لتكييف السيارات,"9 ش ابو قايد, طوخ, القليوبية.",515261
تكييف سيارات واتوبيسات,الدولية لاصلاح تكييف السيارات,"ش المنشية, فيصل, الجيزة.",400913
تكييف سيارات واتوبيسات,الدولية لتكييف السيارات,"66 ش الشعراوى - مدينة الفتح, شبرا الخيمة, القليوبية.",476618
تكييف سيارات واتوبيسات,الرابح لتكييف السيارات,"18 ش الاربعين متفرع من ش جسر السويس, جسر السويس, القاهرة.",205867
تكييف سيارات واتوبيسات,الرحمة,"ش 122, جسر السويس, القاهرة.",386022
تكييف سيارات واتوبيسات,الزقازيقى,"3 بلوك 17 - , الحرفيين, القاهرة.",178036
