Category,Name,Address,ID
معدات سوبر ماركت,Ш§ШӯЩ…ШҜ Щ…ШөШ·ЩҒЩү Щ„Щ„ШӘШ¬Ш§ШұШ©,"ЩғЩ… 26ШҢ Шҙ ЩғШ§Щ…Щ„ ЩҠЩҲЩҶШіШ§Щ„Щ…ЩҶШ·ЩӮШ© Ш§Щ„ШөЩҶШ§Ш№ЩҠШ©, Ш§ШЁЩҲ ШұЩҲШ§Шҙ, Ш§Щ„Ш¬ЩҠШІШ©.",621871
معدات سوبر ماركت,Ш§Щ„ ЩҠШ§ШіЩҠЩҶ,"50 Шҙ Ш§Щ„Щ…ШіШӘШҙЩҒЩү, Ш§Щ„Щ…ШұЩҠЩҲШ·ЩҠШ©, Ш§Щ„ЩҮШұЩ…, Ш§Щ„Ш¬ЩҠШІШ©.",625292
معدات سوبر ماركت,Ш§Щ„ШұШ§Ш№Щү Ш§Щ„ШөШ§Щ„Шӯ,"1 Шҙ Ш№Ш·ЩҠШ© ШЁШіЩғШ§Щ„Ші, Ш§Щ„Щ…ШұШ¬, Ш§Щ„ЩӮШ§ЩҮШұШ©.",122035
معدات سوبر ماركت,Ш§Щ„ШіШ№ШҜ Щ„ШӘШ¬ЩҮЩҠШІШ§ШӘ Ш§Щ„ШіЩҲШЁШұ Щ…Ш§ШұЩғШӘ,"Ш·ШұЩҠЩӮ Ш§ШЁЩҠШіШұЩ…Щ„ Ш§ЩҲЩ„, Ш§ШЁЩҠШі, Ш§Щ„Ш§ШіЩғЩҶШҜШұЩҠШ©.",626023
معدات سوبر ماركت,Ш§Щ„ШҙШ§ЩҲШұЩү,"7 Шҙ Ш§Щ…ЩҠШұ Ш§Щ„Ш¬ЩҠЩҲШҙ, ШЁШ§ШЁ Ш§Щ„ШҙШ№ШұЩҠШ©, Ш§Щ„ЩӮШ§ЩҮШұШ©.",472842
معدات سوبر ماركت,Ш§Щ„ШҙШұЩғШ© Ш§Щ„Щ…ШөШұЩҠШ© Ш§Щ„ЩғЩҲЩҠШӘЩҠШ©,"300 Шҙ Ш§Щ„ЩҮШұЩ…, Ш§Щ„ЩҮШұЩ…, Ш§Щ„Ш¬ЩҠШІШ©.",45629
معدات سوبر ماركت,Ш§Щ„ЩӮЩ…Ш© Щ„Щ„ШӘШ¬Ш§ШұШ©,"Шҙ Ш§Щ„Ш№ШЁШ§ШіЩү, Ш§Щ„Щ…ЩҶШөЩҲШұШ©, Ш§Щ„ШҜЩӮЩҮЩ„ЩҠШ©.",263709
معدات سوبر ماركت,Ш§Щ„Щ…ШӘШӯШҜШ© Щ„ШӘШ¬ЩҮЩҠШІШ§ШӘ Ш§Щ„ШіЩҲШЁШұ Щ…Ш§ШұЩғШӘ,"174 Шҙ Ш¬ШіШұ Ш§Щ„ШіЩҲЩҠШі, Ш№ЩҠЩҶ ШҙЩ…Ші Ш§Щ„ШҙШұЩӮЩҠШ©, Ш§Щ„ЩӮШ§ЩҮШұШ©.",659915
معدات سوبر ماركت,Ш§Щ„ЩҶЩҲШұ Щ„Ш§Ш¬ЩҮШІШ© Щ…Ш№Ш§Щ…Щ„ Ш§Щ„Ш§Щ„ШЁШ§ЩҶ,"39 Шҙ ШЁЩҲШұШіШ№ЩҠШҜ, Щ…ЩҶЩҲЩҒ, Ш§Щ„Щ…ЩҶЩҲЩҒЩҠШ©.",570755
معدات سوبر ماركت,Ш§ЩҠШі ЩҒШұЩҠШІ Щ„ШӘШ¬ЩҮЩҠШІШ§ШӘ Ш§Щ„ШіЩҲШЁШұ Щ…Ш§ШұЩғШӘ,"184 Шҙ Ш¬ШіШұ Ш§Щ„ШіЩҲЩҠШі, Ш№ЩҠЩҶ ШҙЩ…Ші Ш§Щ„ШҙШұЩӮЩҠШ©, Ш§Щ„ЩӮШ§ЩҮШұШ©.",659912
معدات سوبر ماركت,Ш§ЩҠЩҮ ШЁЩү ШіЩү Щ„Щ„ШӘШ¬ЩҮЩҠШІШ§ШӘ Ш§Щ„ШӘШ¬Ш§ШұЩҠШ©,"ЩҶЩҮШ§ЩҠШ© Шҙ Ш¬ШіШұ Ш§Щ„ШіЩҲЩҠШі, ШіЩҲЩӮ Ш§Щ„ЩӮЩҶШ§Щ„ Ш§Щ„ШҜЩҲЩ„Щү, Щ…ШөШұ Ш§Щ„Ш¬ШҜЩҠШҜШ©, Ш§Щ„ЩӮШ§ЩҮШұШ©.",53832
معدات سوبر ماركت,ШҙШ§ШҜЩү ШіЩҶШӘШұ,"2 Шҙ ШӯШіЩҶ Ш®Щ„ЩҠЩ„ Щ…ШӘЩҒШұШ№ Щ…ЩҶ Шҙ Ш§Щ„Ш¬Ш§Щ…Ш№, Ш§Щ„ЩҲШ§ЩҠЩ„Щү, Ш§Щ„ЩӮШ§ЩҮШұШ©.",122252
معدات سوبر ماركت,ШҙШұЩғШ© Ш§ШЁЩҲ Ш§Щ„ШӯШіЩҶ Щ„ШӘШ¬ЩҮЩҠШІ Ш§Щ„Щ…ШӯЩ„Ш§ШӘ ЩҲШ§Щ„Щ…ШұШ§ЩғШІ Ш§Щ„ШӘШ¬Ш§ШұЩҠШ©,"Ш·ШұЩҠЩӮ Ш§Щ„ЩӮШ§ЩҮШұШ© Ш§ШіЩғЩҶШҜШұЩҠШ© Ш§Щ„ШөШӯШұШ§ЩҲЩү, Щ…ШҜЩҠЩҶШ© Ш§Щ„ШіШ§ШҜШ§ШӘ, Ш§Щ„Щ…ЩҶЩҲЩҒЩҠШ©.",637003
معدات سوبر ماركت,ШҙЩҲШЁЩҶШ¬ ШҙЩҲ,"72 Шҙ Ш№Щ…Шұ ШЁЩҶ Ш§Щ„Ш®Ш·Ш§ШЁ , Ш¬ШіШұ Ш§Щ„ШіЩҲЩҠШі, Ш§Щ„ЩӮШ§ЩҮШұШ©.",183458
معدات سوبر ماركت,Щ…Ш№ШұШ¶ Ш§Щ„ЩӮШ§ЩҮШұШ© Ш§Щ„ШҜШ§ШҰЩ…,"1 Шҙ Ш§Щ„ШӯШ§Ш¬ ШӯЩ…ШҜЩү, Щ…ШӘЩҒШұШ№ Щ…ЩҶ Шҙ Щ…ШӨШіШіШ© Ш§Щ„ШІЩғШ§Ш©, Ш§Щ„Щ…ШұШ¬, Ш§Щ„ЩӮШ§ЩҮШұШ©.",288010
