Category,Name,Address,ID
مطاعم عالمية,اب ستيرز ريستوران,"ش ايناس الدغيدى, وسط البلد, الجونة.",567196
مطاعم عالمية,ابر ديك لاونج,"1089 كورنيش النيل, جاردن سيتى, القاهرة.",467661
مطاعم عالمية,ابل بيز,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",429304
مطاعم عالمية,ابو حلا السورى,"115 عمارات تعاونيات سموحة - , سموحة, الاسكندرية.",582399
مطاعم عالمية,ابو قير,"طريق 14 مايو, سموحة, الاسكندرية.",129365
مطاعم عالمية,ات نيثين,"طريق السلام, خليج نعمة, شرم الشيخ.",454796
مطاعم عالمية,اتريام,"طريق السلام, خليج نعمة, شرم الشيخ.",229208
مطاعم عالمية,اتلانتس كورنرز,"74 ش عبد العزيز ال سعود, المنيل, القاهرة.",505832
مطاعم عالمية,ادامز دونر اند جريل,"3 ش المماليك, مصر الجديدة, القاهرة.",451930
مطاعم عالمية,ارابيان نايتس,"ش الشيراتون, سقالة, الغردقة.",105597
مطاعم عالمية,ارابيسك,"1 طريق فور سيزونز بوليفارد, شاركس باى, شرم الشيخ.",105905
مطاعم عالمية,ارابيكا,"20 ش المرعشلى, الزمالك, القاهرة.",64894
مطاعم عالمية,اراوند ذا ورلد,"كم 30 طريق سفاجا الغردقة, مكادى باى, الغردقة.",204404
مطاعم عالمية,ارشرز كافيه,"63 ش سوريا، تقاطع ش دمشق, المهندسين, الجيزة.",571182
مطاعم عالمية,اركو رستوران,"ش عمر بن الخطاب متفرع من ش الثورة, ارض الجولف, مصر الجديدة, القاهرة.",585393
مطاعم عالمية,ارمانى تيراس,"ش عبد الحميد جودة السحار, البنفسج 2, التجمع الاول, القاهرة الجديدة, القاهرة.",620865
مطاعم عالمية,اروما لاونج,"ش العبور متفرع من ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",474243
مطاعم عالمية,اروما لاونج,"طريق الجيش, الشاطبى, الاسكندرية.",567576
مطاعم عالمية,اريبيان كافيه اند ريستوران,"فيلا 49 - المحور المركزى, الحى الاول, السادس من اكتوبر, الجيزة.",448302
مطاعم عالمية,ازوريس,"26 ش كورنيش النيل, رأس البر, دمياط.",474003
مطاعم عالمية,اسبراجوس ريستوران,"الطريق الدائرى, التجمع الاول, القاهرة الجديدة, القاهرة.",481069
مطاعم عالمية,استراحة ماستر,"كم 106 - طريق القاهرة اسكندرية الصحراوى, وادى النطرون, البحيرة.",49391
مطاعم عالمية,استريو بيروت,"76 ش النيل, الجيزة, الجيزة.",436043
مطاعم عالمية,استوريل,"12 ش طلعت حرب, وسط البلد, القاهرة.",12862
مطاعم عالمية,اسكندرية كوفى شوب,"1 طريق القاهرة اسكندرية الصحراوى ميدان الرماية, الهرم, الجيزة.",60479
مطاعم عالمية,اطابل,"محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",485354
مطاعم عالمية,اكاسيا,"35 ش 232, دجلة, المعادى, القاهرة.",386197
مطاعم عالمية,اكوا اى لوتشى,"1 ش الشهيد سيد زكريا متفرع من طريق العروبة, مساكن شيراتون, مصر الجديدة, القاهرة.",157435
مطاعم عالمية,اكوا مارين,"ش عبد العزيز الشناوى, متفرع من طريق النصر, مدينة نصر, القاهرة.",467033
مطاعم عالمية,اكونا ماتاتا,"سوهو سكوير, خليج الفارس الابيض, شرم الشيخ.",408866
مطاعم عالمية,ال جياردينو,"ش شرم ليزيه, هضبة ام السيد, شرم الشيخ.",251737
مطاعم عالمية,ال كافالينو,"كمباوند الكرمة 1, الشيخ زايد, السادس من اكتوبر, الجيزة.",620514
مطاعم عالمية,ال-زهرة,"6 طريق الكورنيش التقسيم السياحى, الميناء, نويبع.",206601
مطاعم عالمية,الابتسامة,"ش الجوازات, الاقصر, الاقصر.",128869
مطاعم عالمية,الباتيو,"3 ش الطيران, متفرع من طريق صلاح سالم, مدينة نصر, القاهرة.",395905
مطاعم عالمية,الباتيو,"كم 129 - طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",101629
مطاعم عالمية,البانوراما,"طريق الكورنيش, البسيت, مرسى مطروح.",101642
مطاعم عالمية,البنللو سيراميك كافيه,"2 ش عمر بن الخطاب، ميدان هارون, مصر الجديدة, القاهرة.",91023
مطاعم عالمية,التراس,"21 ش محمد مظهر, الزمالك, القاهرة.",407638
مطاعم عالمية,التمساح,"ش محمد على - جزيرة الفرسان, وسط البلد, الاسماعيلية.",144241
مطاعم عالمية,الجريون,"8 ش قصر النيل, وسط البلد, القاهرة.",12863
مطاعم عالمية,الرباعيات,"6 ش الهرم, الهرم, الجيزة.",59122
مطاعم عالمية,الزهرة,"ش الشيراتون, سقالة, الغردقة.",132957
مطاعم عالمية,السلاملك,"ش اكاسيا, محرم بك, الاسكندرية.",379669
مطاعم عالمية,السلاملك,"2 ش الجمهورية, المنصورة, الدقهلية.",178601
