Category,Name,Address,ID
نوادى,ارابيلا كونترى كلوب,"الطريق الدائرى, التجمع الخامس, القاهرة الجديدة, القاهرة.",142031
نوادى,اربيان نايتس كانترى كلوب اند ريزورت,"كم 48, طريق مصر الفيوم الصحراوى, الفيوم.",145206
نوادى,افق كانترى كلوب,"كم 50, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",383479
نوادى,الترا توب,"8 ش احمد السمان, متفرع من ش رياض شمس, الحى الثامن, مدينة نصر, القاهرة.",152913
نوادى,الكشافة البحرية المصرية,"طريق 26 يوليو, الانفوشى, الاسكندرية.",29378
نوادى,المركز الرياضى لتدريب المنتخبات القومية بالمعادى,"ش 257, المعادى الجديدة, المعادى, القاهرة.",61648
نوادى,المركز الرياضى للفتيات بالعجوزة,"193 ش 26 يوليو, العجوزة, الجيزة.",133530
نوادى,النادى الاجتماعى - محافظة السويس,"ش صلاح نسيم, الملاحة, السويس.",143031
نوادى,النادى الاسماعيلى الرياضى,"ش رضا, عرايشية مصر, الاسماعيلية.",226759
نوادى,النادى الاهلى,"3 ش صالح سليم, الزمالك, القاهرة.",80169
نوادى,النادى الاوليمبى المصرى,", ميدان احمد زويل, باب شرق, الاسكندرية.",376505
نوادى,النادى البحرى اليونانى,"ش قلعة قايتباى, الانفوشى, الاسكندرية.",28810
نوادى,النادى البرتغالى,"42 ش عبد القادر رجب متفرع من طريق الحرية, كفر عبده, الاسكندرية.",172793
نوادى,النادى الثقافى الرياضى الاجتماعى,"مساكن عين شمس ش 6 اكتوبر, تقاطع ش احمد عرابى, عين شمس, القاهرة.",381057
نوادى,النادى الدبلوماسى المصرى,"149 ش النيل, الجيزة, الجيزة.",166503
نوادى,النادى اللبنانى,"3 ِش احمد سكندرى متفرع من ش السباق, المريلاند, مصر الجديدة, القاهرة.",260625
نوادى,النادى المصرى للتجديف,"115 ش النيل, الدقى, الجيزة.",18357
نوادى,النادى النوبى العام,"63 ش النبى دانيال, محطة الرمل, الاسكندرية.",301238
نوادى,النادى اليونانى,"63 ش الاسكندر الاكبر, الشاطبى, الاسكندرية.",32838
نوادى,النخبة الدولية لكرة القدم,"ش 250, المعادى, القاهرة.",503677
نوادى,اندية وادى دجلة,", الشطر الرابع, زهراء المعادى, المعادى, القاهرة.",418312
نوادى,ايزى سبورتس,", المرحلة الثانية, الهضبة الوسطى, المقطم, القاهرة.",237812
نوادى,برو تشامب ايجينسى,"كمباوند الفداء - عمارة 20, التجمع الخامس, القاهرة الجديدة, القاهرة.",620157
نوادى,بلوبيرى,"طريق سقارة, الحرانية, سقارة, الجيزة.",557106
نوادى,جمعية الدار السويسرية,"17 ش الجهاد متفرع من ش السودان, امبابة, الجيزة.",107586
نوادى,دار الاسلحة والذخيرة - كريستال بالاس,"طريق صلاح سالم, عباسية, القاهرة.",171731
نوادى,دار الاشغال,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",680908
نوادى,دار البنك الاهلى المصرى,"ش حسن افلاطون, ارض الجولف, مصر الجديدة, القاهرة.",222737
نوادى,دار الدفاع الجوى,"ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",93876
نوادى,دار المراسم بالجزيرة,"ش البرج, الزمالك, القاهرة.",17095
نوادى,دار المركبات,"ش السكة البيضاء, تقاطع طريق صلاح سالم, عباسية, القاهرة.",107935
