Category,Name,Address,ID
تدفئة مركزية,ايفر جرين سولار,", الحى الخامس - مول فايف ستارز, مدينة العبور, القليوبية.",688922
تدفئة مركزية,كونفيرجن للاعمال الكهروميكانيكية,"52 ش مكرم عبيد, مدينة نصر, القاهرة.",687487
تدفئة مركزية,جاما للتكييف,"10 ش الشيخ العيسوى احمد, متفرع من محور طه حسين, النزهة الجديدة, القاهرة.",447117
تدفئة مركزية,سى اتش سى لتبريد وتدفئة الاماكن المفتوحة,"ش مدرسة الاورمان, المرج الجديدة, القاهرة.",261900
تدفئة مركزية,اراب تك للغلايات,"11, الشقة 4, الشطر الثامن, زهراء المعادى, زهراء المعادى, المعادى, القاهرة.",272478
تدفئة مركزية,اشكو - الشركة الاوروبية لانظمة التدفئة المركزية والامان,"105 ش الميرغنى - الدور 6, مصر الجديدة, القاهرة.",131175
تدفئة مركزية,الترا هيت,"3 عمارات الفايف ستارز, الطريق الدائرى, المعادى, القاهرة.",612764
تدفئة مركزية,امازون هيتينج,"2 ش عبد الحليم جوهر, بجوار بتروجيت, النزهة الجديدة, القاهرة.",630285
تدفئة مركزية,ايكو للتجارة,"26 ش الشيخ محمد النادى, الحى السادس, مدينة نصر, القاهرة.",637492
تدفئة مركزية,دفا ايجيبت,"فيلا 136 - - البنفسج 3, البنفسج, القاهرة الجديدة, القاهرة.",578264
تدفئة مركزية,سمارت هيت,"TH14 ميراج مول, الدور 3, التجمع الاول, القاهرة الجديدة, القاهرة.",467030
تدفئة مركزية,كويل اكس,"فيلا 165البنفسج 7, التجمع الاول, القاهرة الجديدة, القاهرة.",623037
تدفئة مركزية,هيت ماستر,"القطعة 13 ش 17, الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",408655
