Category,Name,Address,ID
استشارات طبية وخدمات,الهاجر ار اند دى للاستشارات العلمية والهندسة الوراثية,"بلوك 101, الشقة 2, الحى الخامس - المنطقة الاولى, التجمع الخامس, القاهرة الجديدة, القاهرة.",695232
استشارات طبية وخدمات,اشحن صحتك,"30 ش السودان, المهندسين, الجيزة.",638768
استشارات طبية وخدمات,اطلب طبيب,"50 ش سوريا, المهندسين, الجيزة.",600657
استشارات طبية وخدمات,اكاديمية افاق للخدمات الطبية,"طريق الحرية, سيدى بشر, الاسكندرية.",637036
استشارات طبية وخدمات,الرازى جروب للخدمات الطبية المنزلية,"13 ش الاديب على ادهم, مساكن شيراتون, مصر الجديدة, القاهرة.",398393
استشارات طبية وخدمات,العيادة,", خدمات طبية اونلاين, الشيخ زايد, السادس من اكتوبر, الجيزة.",663973
استشارات طبية وخدمات,الفؤاد للخدمات الطبية,"5 ش المحروسة الجديدة, الدور 7, ابراج المحروسة - برج نماء, الملاحة, السويس.",594337
استشارات طبية وخدمات,الفريدة للخدمات المتكاملة,"ش القاسم, عمارة جولدن سيتى, السيوف, الاسكندرية.",678985
استشارات طبية وخدمات,المجموعة الاستشارية للخدمات الطبية,"24 ش الصفا والمروة, الطوابق, فيصل, الجيزة.",645713
استشارات طبية وخدمات,المستوصف,", خدمات طبية اونلاين, التجمع الخامس, القاهرة الجديدة, القاهرة.",656042
استشارات طبية وخدمات,انفينيديا,"3167 ش د. علاء بلبعالمعراج العلوى, المعادى, القاهرة.",623075
استشارات طبية وخدمات,ايجى كلينيك,"ش الطيار محود شكرى عبد المنعم - برج الفيروز 2 - الدور 7 شقة 4, سموحة, الاسكندرية.",564320
استشارات طبية وخدمات,ايه سى بى بى - المركز الامريكى للطب النفسى,"7 ش 252, تقاطع ش 210, دجلة, المعادى, القاهرة.",673067
استشارات طبية وخدمات,بصيرة,"ش عطية الصوالحى, ابراج السراج - برج 2 - مدخل 4 - الدور الثالث, الحى الثامن, مدينة نصر, القاهرة.",675477
استشارات طبية وخدمات,بلو كروس للخدمات الطبية,"9 ش سمير مرسى, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",687640
استشارات طبية وخدمات,بوك دوك,"10058 ش كارفور, المجاورة العاشرة, زهراء المعادى, المعادى, القاهرة.",637171
استشارات طبية وخدمات,بيت الدواء,"250 ش امتداد رمسيس 2, مدينة نصر, القاهرة.",629144
استشارات طبية وخدمات,بيو نيكسوس جروب,"فيلا 238, الحى التاسع, الشيخ زايد, السادس من اكتوبر, الجيزة.",668180
استشارات طبية وخدمات,جايا ويلبينج يوجا سنتر,"7, بفرلى هيلز, الشيخ زايد, السادس من اكتوبر, الجيزة.",673062
استشارات طبية وخدمات,حسن هيلث كير,"132 ش النيل - الدور 5 شقة 12, الدقى, الجيزة.",606454
استشارات طبية وخدمات,حكيم دار,"149 ش النصر ميدان الجزائر - الدور 2 شقة 10, المعادى الجديدة, المعادى, القاهرة.",604768
استشارات طبية وخدمات,حكيمة,"16 ش تحسين فرغلى, المنطقة الاولى, مدينة نصر, القاهرة.",626328
استشارات طبية وخدمات,حياة للخدمات الطبية,"25 ش يوسف الصحابى, النزهة, مصر الجديدة, القاهرة.",687403
استشارات طبية وخدمات,دامان مابس,"1 ش الجمهورية, المنصورة, الدقهلية.",687178
استشارات طبية وخدمات,دراب,", خدمات طبية اونلاين, السادس من اكتوبر, الجيزة.",670658
استشارات طبية وخدمات,دوايا.كوم,"57 ش الفتح - الدور 7, فلمينج, الاسكندرية.",577594
استشارات طبية وخدمات,دوكسبرت هيلث,"12 ش عز الدين طه, مدينة نصر, القاهرة.",671530
استشارات طبية وخدمات,ريكفرى للخدمات الطبية المنزلية,"21 هـ/1 ش احمد عبد العظيم, تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",630242
استشارات طبية وخدمات,سمارت,"ش ابو بكر الصديق, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619557
