Category,Name,Address,ID
ملابس عمل وامان,شركة ايجل لتوريدات الامن الصناعى والحريق,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",474756
ملابس عمل وامان,ناسكو تريد,"12 أ, ميدان ابن سندر, منطقة منشية البكرى, منشية البكرى, مصر الجديدة, القاهرة.",59124
ملابس عمل وامان,العربية للتوريدات ومهمات الامن الصناعى,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",650433
ملابس عمل وامان,سيفتى جروب لمستلزمات الامن الصناعى,"ش محمد حافظ, الاردنية, العاشر من رمضان, الشرقية.",462590
ملابس عمل وامان,اكام يونيفورم,"فيلا 165, المجاورة الثالثة, الحى الثامن, الشيخ زايد, السادس من اكتوبر, الجيزة.",621161
ملابس عمل وامان,ارت سيرفيس,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",474694
ملابس عمل وامان,الاتحاد للتجارة,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",474709
ملابس عمل وامان,التركى للتوريدات العمومية,"54 ش نجيب الريحانى, الازبكية, القاهرة.",659095
ملابس عمل وامان,التوأم للتجارة والتوريدات,"97 ش الجمهورية, وسط البلد, القاهرة.",628351
ملابس عمل وامان,الجمهورية لمهمات الامن الصناعى,"24 ش عماد الدين, وسط البلد, القاهرة.",628450
ملابس عمل وامان,الحياة للتجارة والتوريدات ومهمات الامن الصناعى والاطفاء,"5, حارة على الكسار - متفرع من ش الجمهورية, وسط البلد, القاهرة.",626679
ملابس عمل وامان,السلام للتجارة والتوريدات,"6 ش ابو بكر الصديق, مدينة السلام, القاهرة.",648689
ملابس عمل وامان,السلامة للتوريدات العمومية,"99 أ ش الجمهورية, وسط البلد, القاهرة.",626825
ملابس عمل وامان,السويس لمهمات السلامة المهنية,"13 ش 286 متفرع من ش النصر, المعادى الجديدة, المعادى, القاهرة.",463170
ملابس عمل وامان,الشرق الاوسط,"13 ش ورش البلاط متفرع من ش زنين, بولاق الدكرور, الجيزة.",280129
ملابس عمل وامان,الشركة الالمانية للامن الصناعى,"الاردنية - ابراج الاحلام - برج أ - وحدة 8, العاشر من رمضان, الشرقية.",621590
ملابس عمل وامان,الصفا لمهمات الامن الصناعى,"56 ش الجمهورية, وسط البلد, القاهرة.",627069
ملابس عمل وامان,الفاروق للتوريدات,"5 ش القبيلة، متفرع من ش الجمهورية, وسط البلد, القاهرة.",627839
ملابس عمل وامان,القاهرة للامن الصناعى,"كورنيش النيل, كفر العلو, حلوان, القاهرة.",671348
ملابس عمل وامان,الكرنك,"34 ش عماد الدين - الدور 2, وسط البلد, القاهرة.",191307
ملابس عمل وامان,المؤسسة الاوروبية للتوريدات العمومية والأمن الصناعى,"99 ش الجمهورية, وسط البلد, القاهرة.",626768
ملابس عمل وامان,المؤسسة التجارية للتوريدات العمومية,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",460154
ملابس عمل وامان,المؤمن للاستيراد والتصدير,", امتداد ش جمال عبد الناصر, جسر السويس, القاهرة.",154266
ملابس عمل وامان,المتخصص للسلامة والصحة المهنية,"21 ش عز الدين عمر متفرع من ش الهرم, الهرم, الجيزة.",576811
ملابس عمل وامان,المحبة للامن الصناعى,"97 ش الجمهورية, وسط البلد, القاهرة.",668881
ملابس عمل وامان,المها للتجارة والتوريدات,"78 ش الجمهورية, الدور 1, وسط البلد, القاهرة.",192694
ملابس عمل وامان,المها للتجارة والتوريدات,"ش احمد عرابى, حى الاربعين, السويس.",670537
ملابس عمل وامان,الناجى للملابس,"39 ش مسجد العطارين, العطارين, الاسكندرية.",204330
ملابس عمل وامان,الهادى للامن الصناعى واليونيفورم,"7 ش القصاص- ش جمالات مدنى سابقا, الهرم, الجيزة.",31
ملابس عمل وامان,اليسر للتوريدات العمومية,"13 ش محمد بدير, متفرع من ش كورنيش النيل, حلوان البلد, حلوان, القاهرة.",637877
ملابس عمل وامان,اليكترومك للتجارة والهندسة,"محور السادات - المجاورة العاشرة - فيلا 4, التجمع الاول, القاهرة الجديدة, القاهرة.",474939
ملابس عمل وامان,ام القرى للتوريدات الصناعية,"23 ش احمد بدوى - المرج الشرقية, المرج, القاهرة.",581889
ملابس عمل وامان,انتراكت للهندسة الكهربائية,"المجاورة 28 البديلة - عمارة 11 - مدخل ب - الدور 5 شقة 43, مدينة 15 مايو, القاهرة.",579200
ملابس عمل وامان,ايجيبت تريد لمهمات الامن الصناعى,"99 أ ش الجمهورية, وسط البلد, القاهرة.",626600
ملابس عمل وامان,ايسو ايجيبت - المكتب الدولى لنظم السلامة,"369 ش الهرم, المساحة, الهرم, الجيزة.",269699
ملابس عمل وامان,باور سيفتى,"18 ج ش 198, دجلة, المعادى, القاهرة.",517470
ملابس عمل وامان,باور سيفتى,"عمارات القائد، ش 198, دجلة, المعادى, القاهرة.",626639
