Category,Name,Address,ID
مواسير وانابيب وخطوط انابيب,كرا مصر,"قطعة 4 - 5 - بلوك 12016 ش 110, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",468321
مواسير وانابيب وخطوط انابيب,بيترو للمواسير ومستلزماتها,"16 - 20 ش باغوش بك يوسف, متفرع من ش ابو الدردار, اللبان, الاسكندرية.",387295
مواسير وانابيب وخطوط انابيب,سان موسى للتجارة والاستيراد والمقاولات,"2 ش سكة الجميل, متفرع من ش الجد, الظاهر, القاهرة.",308943
مواسير وانابيب وخطوط انابيب,شركة مكة ستيل,", مجمع الامل, السادس من اكتوبر, الجيزة.",693141
مواسير وانابيب وخطوط انابيب,فيوتشر ثرى ايه لاستيراد وتصدير الاستانلس ستيل - م. حمدى عقيل,"طريق دمياط المنصورة السريع, التوفيقية, كفر سعد, دمياط.",348587
مواسير وانابيب وخطوط انابيب,التمساح للتجارة والتوريدات,"21 ش مدرسة عباس, السبتية, القاهرة.",58124
مواسير وانابيب وخطوط انابيب,شركة الخليل للتوريدات,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",138161
مواسير وانابيب وخطوط انابيب,الشرق الاوسط للتجارة والاستيراد,"13 ش السبتية, رمسيس, وسط البلد, القاهرة.",57977
مواسير وانابيب وخطوط انابيب,الهندسية لتصنيع المواسير - يو بى فى سى,", المنطقة الصناعية السادسة, مدينة السادات, المنوفية.",688180
مواسير وانابيب وخطوط انابيب,الدلتا جروب للهندسة والتوكيلات,"26 أ برج المهندسين ش احمد حلمى, الشقة 701, الدور 8, شبرا, القاهرة.",57950
مواسير وانابيب وخطوط انابيب,ابناء ظريف كامل,"34 ش السبتية, السبتية, القاهرة.",13850
مواسير وانابيب وخطوط انابيب,المصرى جروب لتشكيل المعادن ومعالجة الاستانلس ستيل,"الطريق الصحراوى, الكرنك, العامرية, الاسكندرية.",685593
مواسير وانابيب وخطوط انابيب,الوطنية للخدمات الصناعية والبترولية,"8 ش نجيب الريحانى, وسط البلد, القاهرة.",569302
مواسير وانابيب وخطوط انابيب,المؤسسة الدولية للتجارة والتوريدات - م. ايهاب احمد الجمال,"33 ش عرابى, الازبكية, وسط البلد, القاهرة.",649569
مواسير وانابيب وخطوط انابيب,اوميجا للهندسة والتجارة,"20 ش مصطفى رجب, متفرع من ش نبيل الوقاد, كلية البنات, مصر الجديدة, القاهرة.",10230
مواسير وانابيب وخطوط انابيب,العامة لمهمات المصانع,"31 ش عرابى -, متفرع من ش رمسيس, وسط البلد, القاهرة.",295076
مواسير وانابيب وخطوط انابيب,تكنو جولف للتوريدات والتوكيلات,"30 ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",9385
مواسير وانابيب وخطوط انابيب,المجد للخدمات الصناعية والبترولية,"83 ش رمسيس, التوفيقية, وسط البلد, القاهرة.",690505
مواسير وانابيب وخطوط انابيب,تراينجل ايجيبت,"16 ش العراق, متفرع من ش شهاب, المهندسين, الجيزة.",65728
مواسير وانابيب وخطوط انابيب,سيتى تريد للاستيراد والتصدير و الاستانلس ستيل,", أي دي جي المنطقة الصناعية - مجمع سامي سعد - مكتب ب 13, السادس من اكتوبر, الجيزة.",694542
مواسير وانابيب وخطوط انابيب,ناس تك للمشروعات المتكاملة ش.م.م,"فيلا 99, المجاورة الثانية, الحي الثانى, الشيخ زايد, السادس من اكتوبر, الجيزة.",167865
مواسير وانابيب وخطوط انابيب,مؤسسة المحيط لمواسير المياه ومستلزماتها وانظمة الصرف الصحى,", المنطقة الصناعية الثانية, الصالحية الجديدة, الشرقية.",688368
مواسير وانابيب وخطوط انابيب,جولدن بايب لصناعة المواسير البلاستيك,"16 ش ايران, الشقة 5, الدور 1, الدقى, الجيزة.",314605
مواسير وانابيب وخطوط انابيب,مؤسسة خاطر مصر للمواسير السيملس,"طريق الطلمبات, الرهاوى, منشية القناطر, الجيزة.",694689
مواسير وانابيب وخطوط انابيب,النور بايب,"الطريق الدولى, وسط البلد, كفر الشيخ.",692571
مواسير وانابيب وخطوط انابيب,اسيا ستيل لتصنيع الفلانشات والمواسير,", السبتية, القاهرة.",694781
مواسير وانابيب وخطوط انابيب,توباكتس,"طريق البتروكيماويات, عزبة عبد القادر - المنطقة الصناعية, مرغم, الاسكندرية.",694724
مواسير وانابيب وخطوط انابيب,ان هاوس لحفر الابار,"طريق الرهاوى, منشية القناطر, الجيزة.",693140
مواسير وانابيب وخطوط انابيب,حجازى للهندسة وتجارة الادوات الصحية,"34 ش لوساكا, متفرع من ش احمد فخرى, مدينة نصر, القاهرة.",61565
مواسير وانابيب وخطوط انابيب,نوب ستيل,"2 ش خالد بن الوليد, مساكن شيراتون, مصر الجديدة, القاهرة.",45298
مواسير وانابيب وخطوط انابيب,فلوباتير للتجارة,"مربع 1258 د, مساكن شيراتون, مصر الجديدة, القاهرة.",198348
مواسير وانابيب وخطوط انابيب,فرست ستيل,"8 ش نجيب الريحانى, وسط البلد, القاهرة.",468199
مواسير وانابيب وخطوط انابيب,الرواد لصناعة المواسير البلاستيك,"القطعة XA-XB‎, المنطقة الصناعية B1, العاشر من رمضان, الشرقية.",630737
مواسير وانابيب وخطوط انابيب,اولاد عبد الحميد لتجارة وتشغيل المعادن,"ش اولاد عبد الحميد - الطريق البطىء, قليوب, القليوبية.",655162
مواسير وانابيب وخطوط انابيب,دلتا فيبر,"القطعة 52 ش البنزينة, تقاطع ش 7 - محور خدمى ثانى, المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",301327
مواسير وانابيب وخطوط انابيب,الزهراء ستيل لتجارة وتشغيل وتشكيل المعادن,"الطريق البطئ, ش البيبسى, قليوب, القليوبية.",630468
مواسير وانابيب وخطوط انابيب,الشرق للتجارة,"127 ش رمسيس, وسط البلد, القاهرة.",136057
مواسير وانابيب وخطوط انابيب,مصنع مصر ستيل,"قطعة 48, المنطقة الصناعية, جنوب بورسعيد, بور سعيد.",694103
مواسير وانابيب وخطوط انابيب,روسكو موس صحارى,"القطعة 463 - 464, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",269605
مواسير وانابيب وخطوط انابيب,الايطالية للخدمات البترولية,"23 ش النصر, المنشية, الاسكندرية.",674798
مواسير وانابيب وخطوط انابيب,مصنع هايبر ستيل - ابو رزق,"81 ش محمود شاهين, المنصورة, الدقهلية.",635365
مواسير وانابيب وخطوط انابيب,شركة الصفا للتجارة,"613 ب طريق الحرية, زيزينيا, الاسكندرية.",20841
مواسير وانابيب وخطوط انابيب,الخولى للمواسير الحديد والبلاستيك وطلمبات الاعماق,", الرهاوى - منشأة القناطر الخيرية, منشية القناطر, الجيزة.",692136
مواسير وانابيب وخطوط انابيب,ستيل فورس للتوريدات العمومية والمقاولات العامة,"القطعة 23, مجمع سى بى سى الصناعى, السادس من اكتوبر, الجيزة.",632897
مواسير وانابيب وخطوط انابيب,شركة دهب للتجارة والاستيراد والتصدير,"13 ش السبتية, السبتية, القاهرة.",146642
مواسير وانابيب وخطوط انابيب,الفجر لصناعة المواسير البلاستيك ومستلزمات الزراعة,", الدور 2, الاردنية - المصرية سنتر 3, العاشر من رمضان, الشرقية.",142858
مواسير وانابيب وخطوط انابيب,التوحيد العربى لصناعة المواسير,"2 عمارات الفيصلية ش الملك فيصل, الشقة 202, الدور 2, تقاطع ش المريوطية, المريوطية, فيصل, الجيزة.",629505
مواسير وانابيب وخطوط انابيب,نيومينا بلاست,"31 قطعة 4 - 5 - بلوك 12016 ش 110, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",366467
مواسير وانابيب وخطوط انابيب,فيجن باك,"القطعة 371, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",396487
مواسير وانابيب وخطوط انابيب,سينا تك للصناعات البلاستيكية والمواسير - يو بى فى سى,", المنطقة الصناعية الرابعة, مدينة السادات, المنوفية.",455922
مواسير وانابيب وخطوط انابيب,شركة اى - توب ثيرم لصناعة قطع ووصلات مياة الشرب,"قطعة 62, المنطقة الصناعية السادسة, مدينة السادات, المنوفية.",581959
مواسير وانابيب وخطوط انابيب,مصنع الجزيرة لتصنيع مواسير حفر الابار,"ش حسن طه - الطريق البطئ, متفرع من ش النجولى, قليوب, القليوبية.",693489
مواسير وانابيب وخطوط انابيب,كيمو ميتال لتجارة المواسير,"23 ش المنصورى, متفرع من ش السبتية, السبتية, القاهرة.",140440
مواسير وانابيب وخطوط انابيب,مصنع مصر الامل لصناعة المواسير البلاستيكية,", الرهاوى, منشية القناطر, الجيزة.",671630
مواسير وانابيب وخطوط انابيب,الشركة المصرية الاردنية للمنتجات المعدنية,"المنطقة الصناعية - بساتين الاسماعيلية - الزوامل, بلبيس, الشرقية.",388006
مواسير وانابيب وخطوط انابيب,الشركة المصرية لمهمات المصانع,"11 ش محمد حنفى ناصية ش حنا خليل, السبتية, القاهرة.",96232
مواسير وانابيب وخطوط انابيب,المتحدة للصناعات المتطورة يو دى اى - لاشين جروب,"21 ش الاندلس, روكسى, مصر الجديدة, القاهرة.",245383
مواسير وانابيب وخطوط انابيب,جمال الغمراوى,"14 ش الصايغ, السبتية, القاهرة.",69423
مواسير وانابيب وخطوط انابيب,شركة البرهانى للصناعات المعدنية والتجارة,"2 ب , عطفة عريان - من ش الجمهورية ,, وسط البلد, القاهرة.",14730
مواسير وانابيب وخطوط انابيب,شركة الفتح للتجارة والمقاولات,", الرهاوى - منشأة القناطر, منشية القناطر, الجيزة.",396138
مواسير وانابيب وخطوط انابيب,شركة الفضل للتجارة والتوريدات العمومية,"القطعة 1155, الهضبة الوسطى - الحى الاول, المقطم, القاهرة.",598545
مواسير وانابيب وخطوط انابيب,شركة النيل للتجارة والتوريدات,"26 ش حنا خليل, السبتية, القاهرة.",480880
مواسير وانابيب وخطوط انابيب,لاشين ستيل,"الطريق البطئ, أبو سنه, قليوب, القليوبية.",578178
مواسير وانابيب وخطوط انابيب,ابراهيم ريشة,"ش الفاتح, طنطا, الغربية.",133821
مواسير وانابيب وخطوط انابيب,ابكو ستيل,"41 ش سوق العصر, السبتية, القاهرة.",424443
مواسير وانابيب وخطوط انابيب,ابناء جرجس تكلا لتجارة المواسير,"49 ش الزهار, السبتية, القاهرة.",424512
مواسير وانابيب وخطوط انابيب,ابناء على عبد الرشيد - دهب الخالدية,"7 ش محمد حنفى القللى, السبتية, القاهرة.",163423
مواسير وانابيب وخطوط انابيب,ابناء هيكل السحب لتجارة المواسير,"ش السبتية, بولاق, القاهرة.",693950
مواسير وانابيب وخطوط انابيب,ابو حجر للتدفئة المركزية,"فيلا 1، ش 7الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",394296
مواسير وانابيب وخطوط انابيب,ابو غالى للصناعات البلاستيكية - غاليكو,"28 ش نجيب محفوظ, مدينة نصر, القاهرة.",176064
مواسير وانابيب وخطوط انابيب,ابو هلال ستيل,"الطريق البطئ, قليوب, القليوبية.",693893
مواسير وانابيب وخطوط انابيب,اتش ام جروب,"ش ترعة الشبورى - شبرا الخيمة ثانى, شبرا الخيمة, القليوبية.",513260
مواسير وانابيب وخطوط انابيب,اجياد للتجارة,"40 ش السبتية, السبتية, القاهرة.",95750
مواسير وانابيب وخطوط انابيب,ارتس لأنظمة الاستانلس ستيل,"ش الرمل, متفرع من ش السبتية, السبتية, القاهرة.",691521
مواسير وانابيب وخطوط انابيب,ارو ثيرم,"5 ميدان الظاهر, الظاهر, القاهرة.",563877
مواسير وانابيب وخطوط انابيب,اس جيه اس انيرسول للتجارة,"15 ش جمعية النصر, المهندسين, الجيزة.",651770
مواسير وانابيب وخطوط انابيب,اسكندرية لتوزيع المواسير البلاستيك,"22 ش الهماميل, المنشية, الاسكندرية.",47512
مواسير وانابيب وخطوط انابيب,اسما لتصنيع المعادن والبلاستيك,"قطعة 250 - - المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",151008
مواسير وانابيب وخطوط انابيب,اسيت للتوريدات,"7 ش احمد الجندى, المعادى, القاهرة.",642015
مواسير وانابيب وخطوط انابيب,أعمال عبد الفتاح جبر الدار لمواسير البترول وملحقتها,"3 ش مبروك مبارك, الطوابق, فيصل, الجيزة.",494682
مواسير وانابيب وخطوط انابيب,اكتوبر للمواسير البلاستيكية,"القطعة 142 , 143 - - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة.",219179
مواسير وانابيب وخطوط انابيب,اكسيمكو للتجارة العالمية,"24 ش الفواكه, المهندسين, الجيزة.",46467
مواسير وانابيب وخطوط انابيب,اكوا بار - اوليفيا,"10 طريق مصر اسكندرية الزراعى - طريق قليوب البطئ, قليوب, القليوبية.",172914
