Category,Name,Address,ID
ارفف ومخازن,ميتال ايجيبت للصناعات المعدنية,"القطعة E2, المنطقة الصناعية الثانية B2, العاشر من رمضان, الشرقية.",140425
ارفف ومخازن,هيدرو ميكانيكال للصناعات الهندسية,"القطعة 4/5/14, المنطقة الصناعية A2, العاشر من رمضان, الشرقية.",539615
ارفف ومخازن,الصفوة للصناعة الهندسية,"الوحدة 26 - القطعة 10/167, مجمع CPC الصناعى, السادس من اكتوبر, الجيزة.",133588
ارفف ومخازن,النهار ستيل لتشغيل وتجارة الحديد و المعادن,"ش عبد الهادي ابو هلال - الطريق البطئ, متفرع من ش الشامى, قليوب, القليوبية.",693905
ارفف ومخازن,مصنع الطوخى لتصنيع الارفف والاستندات,", قليوب البلد, قليوب, القليوبية.",693874
ارفف ومخازن,رمسیس لتشكیل المعادن,"طريق ميت غمر, ابو شلوبة, السنبلاوين, الدقهلية.",627891
ارفف ومخازن,الشبينى للمانيكان وتجهيز المحلات التجارية,", طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",679759
ارفف ومخازن,جولدن ميتال للصناعات الهندسية,"القطعة 21 - مربع 12001, الامتداد الشمالى, المنطقة الصناعية, مدينة العبور, القليوبية.",167253
ارفف ومخازن,ديزاين وورلد,"37 ش عباس العقاد, مدينة نصر, القاهرة.",336358
ارفف ومخازن,اكرو مصر للسقالات والشدادات المعدنية,", المنطقة الصناعية - وادى حوف, حلوان, القاهرة.",46580
ارفف ومخازن,الجاد لمستلزمات الصيدليات,"4 ش ابراهيم يونس, طلخا, الدقهلية.",236802
ارفف ومخازن,الرواد لتأجير المخازن,"القطعة 10/159, امتداد المنطقة الصناعية السادسة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",392351
ارفف ومخازن,العاشر للصناعات الحديدية والخشبية,"القطعة 116, المنطقة الصناعية الجنوبية - منطقة 6 مليون, العاشر من رمضان, الشرقية.",686745
ارفف ومخازن,المؤسسة الالمانية للتجارة الخارجية,"76 عمارة ابو الجوخ ش الجمهورية, متفرع من ميدان رمسيس, وسط البلد, القاهرة.",101576
ارفف ومخازن,المتحدين لاكسسوار الصيدليات,"51 ش زغلول قلينى, المطرية, القاهرة.",143038
ارفف ومخازن,المسرى للتجارة والتوريدات العمومية,"11 ش الحاكم بأمر الله متفرع من ش سنجر, شبرا, القاهرة.",429835
ارفف ومخازن,المصرى جروب - ايه تو زد لتجهيز المحلات,"13 ش الراعى ميت نما, شبرا الخيمة, القليوبية.",558785
ارفف ومخازن,المهندسين المتحدين لتشغيل المعادن - سى ان سى,"الطريق البطىء, ابو سنة, قليوب, القليوبية.",160989
ارفف ومخازن,امادا استيل,"13 ش المدرسة, كفر ابو صير, مؤسسة الزكاة, القاهرة.",634156
ارفف ومخازن,انفو فورت ايجيبت,"المنطقة الصناعية الرابعة - مجمع مخازن سامى سعد, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",463841
ارفف ومخازن,ايه بى سى للتجهيزات التجارية,"نهاية ش جسر السويس, سوق القنال الدولى, مصر الجديدة, القاهرة.",53832
ارفف ومخازن,ايه بى سى للصناعة,"القطعة 1/ 118, 120, 122, 124, المنطقة الصناعية الاولى, مدينة بدر, القاهرة.",125405
ارفف ومخازن,ايه تو زد لتجهيز المحلات التجارية,"996, المجاورة الخامسة, الحى الثالث, السادس من اكتوبر, الجيزة.",643405
ارفف ومخازن,بى ام اف,"القطعة 209 - - المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",585277
ارفف ومخازن,بيكو - مجموعة بدوى للصناعة والتجارة,"القطعة 1/33, المنطقة الصناعية الثالثة A1, العاشر من رمضان, الشرقية.",851
ارفف ومخازن,تكنو ماستر للصناعات المعدنية - تكنوميتال,", المنطقة الصناعية 5 أ, المنطقة 86, العاشر من رمضان, الشرقية.",469268
ارفف ومخازن,تيدا رويال,", شمال غرب خليج السويس - المنطقة الاقتصادية - قطاع 3, العين السخنة, العين السخنة.",643483
ارفف ومخازن,جاما ستيل للصناعات الهندسية وطلاء المعادن,"منطقة الشروق الصناعية, الخانكة, القليوبية.",142498
ارفف ومخازن,جولدن للتوريدات والصناعة,"ش مؤسسة الذكاة, المرج, القاهرة.",671928
ارفف ومخازن,راك مصر,"20 ب برج مصر للطيران - ش سليم الاول - الدور 1, الزيتون, القاهرة.",44556
ارفف ومخازن,زوايا للصناعات المعدنية,"القطعة 50ب المنطقة الصناعية الاولى, مدينة بدر, القاهرة.",538367
ارفف ومخازن,ستاند لاند,"148 ش جسر السويس, مصر الجديدة, القاهرة.",157978
ارفف ومخازن,شركة ابو الحسن لتجهيز المحلات والمراكز التجارية,"طريق القاهرة اسكندرية الصحراوى, مدينة السادات, المنوفية.",637003
ارفف ومخازن,شركة بيكو للتجارة,"12 ش ابن الحكم ميدان الحلمية, حلمية الزيتون, القاهرة.",146386
ارفف ومخازن,شركة طيبة للصناعات المعدنية,"المنطقة الصناعية الثانية - الارض الايرانية, البساتين, القاهرة.",119773
ارفف ومخازن,شركة مزايا لتجهيز الصيدليات,"الطريق البطئ اول طريق القاهرة اسكندرية الزراعى - قليوب البلد -المنطقة الصناعية, قليوب, القليوبية.",619070
ارفف ومخازن,طيبة لتطوير المخازن,"1 طريق بلبيس الصحراوى, امتداد الضباط, مدينة السلام, القاهرة.",633664
ارفف ومخازن,فور اتش جروب,"طریق القناطر ابوالغیط, القناطر الخيرية, القليوبية.",668185
ارفف ومخازن,لوجستيات مصر,"كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",577329
ارفف ومخازن,لينك مصر انترناشيونال,"16 ش بيروت, الكوربة, مصر الجديدة, القاهرة.",3766
ارفف ومخازن,مصنع البساتين لتشغيل المعادن,"ش المصانع الحديثة - بيجام, شبرا الخيمة, القليوبية.",489597
ارفف ومخازن,مصنع المصرى لتشكيل المعادن,"19 ش جامع الهوانم متفرع من ش 25, شبرا الخيمة, القليوبية.",486716
ارفف ومخازن,مصنع ايتس للمعدات الهندسية,"كم 18 - طريق مصر اسماعيلية الصحراوى, جسر السويس, القاهرة.",45107
ارفف ومخازن,مصنع عفيفى للأثاث والمطابخ والمكاتب الخشبية,", المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",688521
ارفف ومخازن,ناشيونال ميتال للصناعات الهندسية,"القطعة 102 - - المنطقة الصناعية C8, العاشر من رمضان, الشرقية.",546753
ارفف ومخازن,هاى شوب سيستم,"قطعة 16 - بلوك 65, حسن بن قتيبة - المنطقة الاولى, الحى السابع, مدينة نصر, القاهرة.",60302
ارفف ومخازن,هوم اند شوب لتجهيز المحلات التجارية,"40 ش عبد الله بن طاهر, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",253166
ارفف ومخازن,وان رووف ايجيبت,"19 عمارات الشمس, محور جمال عبد الناصر, السادس من اكتوبر, الجيزة.",498495
ارفف ومخازن,ياسين لتجهيز المحلات التجارية,"7 ش الرويعى, مول البربرى, العتبة, القاهرة.",645289
ارفف ومخازن,يونيك لتجهيزات الصيدليات,"35 عمارات العبور طريق صلاح سالم, مصر الجديدة, القاهرة.",686876
