Category,Name,Address,ID
البريد السريع,سكاى اكسبريس للبريد السريع,"32 عمارات العبور طريق صلاح سالم, مصر الجديدة, القاهرة.",443410
البريد السريع,ات ونس,"3 ش مصطفى كامل متفرع من ش خيرت - ميدان لاظوغلى - برج ستار - الدور 5 شقة 53, وسط البلد, القاهرة.",173022
البريد السريع,ار جيه اس للخدمات,"3 عمارات المعمورة, زهراء المعادى, المعادى, القاهرة.",679575
البريد السريع,ارامكس,"31 ش مصدق, الدقى, الجيزة.",5999
البريد السريع,ارو اكسبريس,"317 ب ش الهرم - الدور 2 شقة 6, الهرم, الجيزة.",117540
البريد السريع,اس تى اس - شورت تايم سيرفيس اكسبريس,"17 أ عمارات الضباط - ش امتداد رمسيس 1, مدينة نصر, القاهرة.",536856
البريد السريع,اسواق دليفرى,"71 ش احمد زكى, النزهة الجديدة, القاهرة.",656404
البريد السريع,اشحنلى,"31 ش الجنينة - عزبة الزراعة, بنها, القليوبية.",613364
البريد السريع,اشحنلى كورير سيرفيس,"9 برج الجلاء ش التعاون, الدور 1, رمسيس, وسط البلد, القاهرة.",625029
البريد السريع,اطلب للخدمات المتكاملة والتوريدات,"8 ش حسن القاضى, متفرع من ش ستوديو الاهرام, الهرم, الجيزة.",396339
البريد السريع,اكسبرس دليفرى,"ش المشاية السفلية, المنصورة, الدقهلية.",671332
البريد السريع,اكسبريس,"18 ش المدير, الدور 3, المنصورة, الدقهلية.",672400
البريد السريع,اكسبريس جروب,"ش كلية الاداب الجديدة, المنصورة, الدقهلية.",143124
البريد السريع,اكسيلنت بيك اب,"70 ش مصطفى ابراهيم, متفرع من ش جوزيف تيتو, النزهة الجديدة, القاهرة.",673213
البريد السريع,الاخلاص للشحن,"4 ش دار المحفوظات, عمارة الاوقاف, الخليفة, القاهرة.",382474
البريد السريع,البدر اكسبرس,"4 ش مصطفى رفعت, مساكن شيراتون, مصر الجديدة, القاهرة.",670987
البريد السريع,البريد السريع الدولى - اى ام اس,"ش البيدق, العتبة, القاهرة.",63097
البريد السريع,الثقة للشحن السريع,"اعمال حرة, المرج, القاهرة.",611762
البريد السريع,العلى للنقل,"14 ش ابو السعود, النزهة الجديدة, القاهرة.",624085
البريد السريع,الكابتن للشحن السريع,", المحور المركزى, الحى الثاث, الشيخ زايد, السادس من اكتوبر, الجيزة.",650951
البريد السريع,المتوكل,"15 ش رشدى, عابدين, القاهرة.",374076
البريد السريع,المجموعة المتحدة للشحن والمقاولات,"ميدان النجدة, الحى الرابع, السادس من اكتوبر, الجيزة.",573777
البريد السريع,المعراج للشحن,"1 ب ش فهمى حجازى, فيصل, الجيزة.",671390
البريد السريع,الموصلاتى,"ش الشمس, الزقازيق, الشرقية.",650635
البريد السريع,النصر تريدنج للشحن والاستيراد والتصدير والتخليص الجمركى,"3 ش عبد الحكيم بلبع متفرع من ش طة حسين, النزهة الجديدة, القاهرة.",481221
البريد السريع,النور لخدمات الشحن,"ش عبده معروف - الدراسات - الدور 2, المنصورة, الدقهلية.",584273
البريد السريع,انترناشيونال سيرفيس,"186 ش رمسيس, غمره, القاهرة.",443323
البريد السريع,انجاز للخدمات الشخصية,"13 مشروع كلية البنات - ش دار الدفاع الجوى - الدور 1 شقة 12, ارض الجولف, مصر الجديدة, القاهرة.",395950
البريد السريع,انجز,"21 ش 26 يوليو, وسط البلد, القاهرة.",568427
البريد السريع,انجزنى,"10 ش نصر الدين هريدى, شبرا الخيمة, القليوبية.",678764
البريد السريع,انظمة الخدمات المتكاملة - اى اس اس,"21 ش عبد المجيد الرمالى - ش فهمى سابقا - الدور 8, باب اللوق, القاهرة.",256356
البريد السريع,انفولكس اكسبريس,"ش الجيش, المنصورة, الدقهلية.",671376
البريد السريع,اوردرى,", المجاورة العاشرة, العاشر من رمضان, الشرقية.",668839
البريد السريع,اوفرسيز كوريير سيرفيس - او سى اس,"18 ش ضريح سعد زغلول متفرع من ش قصر العينى, قصر العينى, القاهرة.",19584
البريد السريع,اون تايم اكسبريس,"1 ش سعيد سالم, ارض اللواء, الجيزة.",666557
البريد السريع,اونار اكسبرس,"402 ش الترعة البولاقية, شبرا, القاهرة.",692513
البريد السريع,اى اكس كارجو,"ش عبد السلام, الغشام, الزقازيق, الشرقية.",689679
البريد السريع,اى ام اس للشحن,"3 ش ابو بكر الصديق, الطالبية, فيصل, الجيزة.",547086
البريد السريع,اي جى اكسبرس,"2 عمارات المروة ش احمد تيسير, ارض الجولف, مصر الجديدة, القاهرة.",670825
البريد السريع,اى ديلفا للشحن,", عمارة 112و, حدائق الاهرام, الهرم, الجيزة.",669363
البريد السريع,اى سى اى - ايزى كارجو اكسبريس,"100 ش رمسيس, غمره, القاهرة.",575068
البريد السريع,ايجل اكسبريس,"11 ش على امين, الحى السابع, مدينة نصر, القاهرة.",590286
البريد السريع,ايجل اكسبريس,"., الحى 11, السادس من اكتوبر, الجيزة.",437976
البريد السريع,ايجل للشحن,"23 ش الجهاد, ميدان لبنان, المهندسين, الجيزة.",648913
البريد السريع,ايجى سيرف,"44 ش عبد المنعم رياض تقاطع ش البطل احمد عبد العزيز, المهندسين, الجيزة.",445348
البريد السريع,ايزى كويك للخدمات المتكاملة,"برج الاحلام - ش الترعة, المنصورة, الدقهلية.",504287
البريد السريع,ايه ام اكسبريس,"ش السادات, بركة السبع, المنوفية.",637050
البريد السريع,ايه بى إس كوريير اند فريت سيستمز,"65 طريق مصر حلوان الزراعي, المعادى, القاهرة.",112235
البريد السريع,ايه تو ار للشحن,"54 ش محمود البنا, سيدى بشر قبلى, الاسكندرية.",689414
البريد السريع,بالس جروب,"18 ش جوزيف تيتو, النزهة الجديدة, القاهرة.",592568
البريد السريع,باندا اكسبريس للشحن السريع,", المحور المركزى, ميدان النجدة, الحى الثالث, السادس من اكتوبر, الجيزة.",630693
البريد السريع,بايك للشحن,"22 مساكن الشروق ش الزهور, مدينة نصر, القاهرة.",668930
البريد السريع,برايم اكسبريس,"46 ش فريد, مصر الجديدة, القاهرة.",299332
البريد السريع,برفكت سيرفيس,"2 ش محمد فاضل, متفرع من ش الهرم, نصر الدين, الهرم, الجيزة.",516463
البريد السريع,برق للشحن,"31 /29 ش الشيخ حسونة, برج النواوى, حدائق القبة, القاهرة.",666303
البريد السريع,بروسيرف اكسبريس للخدمات,"53 ش عمان, الدقى, الجيزة.",45
البريد السريع,بريدج اكسبريس,"21 ش حسن المغربى متفرع من ش شبرا, شبرا, القاهرة.",618314
البريد السريع,بريستو ديليفرز,"8 ش قصر النيل, وسط البلد, القاهرة.",625218
البريد السريع,بست للشحن و البريد السريع,"7 عمارات هيئة التدريس, بولاق الدكرور, الجيزة.",385793
البريد السريع,بسرعة,"6 ش مجمع المحاكم, المنصورة, الدقهلية.",397251
البريد السريع,بلو بيرد,"8 عمارات الجبل الاخضر, مدينة نصر, القاهرة.",627983
البريد السريع,بلوجا فريت,"9 ش الشيخ احمد ابراهيم, مصر الجديدة, القاهرة.",622034
البريد السريع,بهلول للشحن الدولى والداخلى,"طريق كرداسة, كرداسة, الجيزة.",674400
البريد السريع,بى اكسبريس لخدمات الشحن,"90 ش فوزى معاذ, سموحة, الاسكندرية.",576189
البريد السريع,بى اند اس اكسبريس,"2 بلوك 1153 ش سيد زكريا خليل, مساكن شيراتون, مصر الجديدة, القاهرة.",635853
البريد السريع,بينجو للحلول المتكاملة,"1 ش مصطفى كامل, المدينة الفرنسية, السيوف, الاسكندرية.",651932
البريد السريع,تالا اكسبريس,"9 ش سيد درويش متفرع من ش الشركات, الزاوية الحمراء, القاهرة.",603901
البريد السريع,ترانسبورتر ايجيبت,"القطعة 6105/2 ش 9, المقطم, القاهرة.",485378
البريد السريع,تربو جروب,"ميدان النجدة, الحى الرابع, السادس من اكتوبر, الجيزة.",530974
البريد السريع,تربو للشحن,"ش عبيد, الساحل, القاهرة.",666332
البريد السريع,تريند اكسبريس,"424 ش الهرم, نصر الدين, الهرم, الجيزة.",670950
البريد السريع,تواصل اكسبريس للتوزيع,"22 ش محمد طلعت متفرع من ش النيل, العجوزة, الجيزة.",274703
البريد السريع,توصيلة,"2 ش حسين شيرين, لوران, الاسكندرية.",394858
البريد السريع,توصيلة اكسبريس,"7 ش الكريم متفرع من ش سليم الاول, سراى القبة, القاهرة.",393118
البريد السريع,تى ان تى للشحن الدولى والمحلى,"52 ش لبنان, المهندسين, الجيزة.",22139
البريد السريع,ثندر لوجيستكس,"39 عمارات السعودية ش التقوى, حدائق القبة, القاهرة.",680930
البريد السريع,جنرال اى ام اس,"20 ش الاشجار متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",5297
البريد السريع,جو اكسبريس,"عمارات الضباط طريق النصر, الجبل الاخضر, مدينة نصر, القاهرة.",610264
البريد السريع,جو بلاس,"3 ش 284 متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",466900
البريد السريع,جى ايه ام للشحن,", المحور المركزى - ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",651045
البريد السريع,جيت,"ش الجمهورية, بور فؤاد, بور سعيد.",379463
البريد السريع,خدماتى,"ش الجمهورية, رشيد(روسيتا), البحيرة.",651493
البريد السريع,دارين,"15 ش رشدى, عابدين, القاهرة.",374075
البريد السريع,دليفرى مصر,"5 ش مصدق - برج هيئة التدريس, الدقى, الجيزة.",502504
البريد السريع,دليفرى مى,"7 ميدان الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",580975
البريد السريع,دور تو دور,"قطعة رقم 9457 - ش كريم بنونه متفرع من ش 9 شقة 1, المقطم, القاهرة.",537305
البريد السريع,دونا للشحن,"39 ش الكرنك, المنصورة, الدقهلية.",670432
البريد السريع,دى اتش ال اكسبريس,"8 ش لبنان, المهندسين, الجيزة.",4527
البريد السريع,رابيدو لنقل الطرود,"2 ش احمد حسن متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",131451
البريد السريع,رانرز,"6 ش الدقى, الدقى, الجيزة.",387152
البريد السريع,رباب منير,"16 ش رمسيس, وسط البلد, القاهرة.",670579
البريد السريع,رسالة اكسبريس,"10 ش لطفى السيد, غمره, القاهرة.",141483
البريد السريع,رودكس,"3 ش الشهيد سيد زكريا خليل - الدور 1, مساكن شيراتون, مصر الجديدة, القاهرة.",607646
البريد السريع,زاجل للخدمات,"8142 المجاورة الثامنة - المعراج السفلى, المعادى, القاهرة.",346185
البريد السريع,زاد اكسبريس,"60 عمارات الاعلام, العجوزة, الجيزة.",666477
البريد السريع,سافمارين للشحن والخدمات البحرية,"13 ش الابيارى, عمارة كونكورد, المنشية الجديدة, الاسكندرية.",677730
البريد السريع,سبرينت لوجيستيكس,", ., وسط البلد, القاهرة.",669648
البريد السريع,سبيد,"39 ش جامعة الدول العربية - الدور 2, المهندسين, الجيزة.",421268
البريد السريع,سبيد اكس لخدمات الشحن,"2 أ ش السيد ابو شادى - برج سارة, تريومف, مصر الجديدة, القاهرة.",563404
البريد السريع,سبيد للشحن,"41 ش ابراهيم راجى متفرع من ش مصطفى كامل, بولكلى, الاسكندرية.",20689
البريد السريع,سبيد للشحن السريع,"340 ش المعتمدية, ارض اللواء, الجيزة.",654662
البريد السريع,سبيد واى للشحن,"102 ش مجلس الشعب, وسط البلد, القاهرة.",670571
البريد السريع,ستار دليفرى,"4 ش سعد زغلول, المنشية, الاسكندرية.",365524
البريد السريع,سرعة دليفرى,"مساكن شركة مصر, كفر الدوار, البحيرة.",670462
البريد السريع,سكاى اكسبريس لخدمات الشحن والبريد السريع,"1 عمارات الفردوس - ش مصر للسياحة - طريق الاوتوستراد, مدينة نصر, القاهرة.",208303
البريد السريع,سكاى اى اكس,"1 مساكن مصر للتعمير, المنطقة الرابعة, مساكن شيراتون, مصر الجديدة, القاهرة.",461402
البريد السريع,سكاى باج,"31 ش الفريق عبد المنعم رياض, متفرع من ش البطل احمد عبد العزيز, الدقى, الجيزة.",564370
البريد السريع,سكاى نت وورلد وايد اكسبريس,"34 ش عباد الرحمن, مساكن شيراتون, مصر الجديدة, القاهرة.",112038
البريد السريع,سمارت اكسبريس,"2 ش التحرير, الدقى, الجيزة.",489731
البريد السريع,سمارت شيبينج,"78 ش 28, متفرع من ش طلعت حرب, امبابة, الجيزة.",688842
البريد السريع,سمسا اكسبريس للشحن,"16 أ عمارات العبور طريق صلاح سالم, مدينة نصر, القاهرة.",686781
البريد السريع,سيرب اكسبريس,"5 ش زغلول, الهرم, الجيزة.",670057
البريد السريع,شحن,"27 ش الملكة متفرع من ش العشرين, فيصل, الجيزة.",590190
البريد السريع,ع السريع,"4 ش الهلالى, اسيوط, اسيوط.",652111
البريد السريع,على السريع للشحن,"14 أ ش الحسنى, ميدان لبنان, المهندسين, الجيزة.",660174
البريد السريع,على كارجو,"8 ش محمد السبع متفرع من ش عبد الجليل, حمامات القبة, القاهرة.",540340
البريد السريع,فاست اكسبريس,"186 ش رمسيس, غمره, القاهرة.",405862
البريد السريع,فاست كارد للتوزيع,"84 ش سكة الوايلى, حمامات القبة, القاهرة.",435796
البريد السريع,فالكون اكسبريس سيرفيسيز,"24 ش طلعت حرب, وسط البلد, القاهرة.",142278
البريد السريع,فرست ويف للخدمات والتوزيع,"5 ش البصرة متفرع من ش انس, المهندسين, الجيزة.",95928
البريد السريع,فروم تو إكسبريس,"13 ش مدكور, متفرع من ش الهرم, الهرم, الجيزة.",643740
البريد السريع,فرى باى,"ش الجمهورية, سوهاج, سوهاج.",671356
البريد السريع,فورى جو,"32 ش جابر بن حيان, الدقى, الجيزة.",682878
البريد السريع,فوكس اكسبريس ايجيبت,"30 ش خالد بن الوليد - ارض الجمعية, امبابة, الجيزة.",613701
البريد السريع,فوكس ايجيبت سرفيسز,"58 عمارات صقر قريش -, مساكن شيراتون, مصر الجديدة, القاهرة.",287357
البريد السريع,فى اى بى دليفرى سيرفيسز,"13 ش سالم ابو العينين, متفرع من ش مسجد منشية البكرى, وسط البلد, الفيوم.",651430
البريد السريع,فيدكس ايجيبت,"القطعة الثانية - مربع 1258و, مساكن شيراتون, مصر الجديدة, القاهرة.",2961
البريد السريع,كارجو لخدمات الشحن,"6 ش السلام, متفرع من ش جسر السويس, عين شمس الشرقية, القاهرة.",656968
البريد السريع,كونكت اكسبريس,"41 ش 270, المعادى الجديدة, المعادى, القاهرة.",255496
البريد السريع,كويكرفلاى,"93 ش عثمان ابن عفان, مصر الجديدة, القاهرة.",690044
البريد السريع,لفلفة,"34 ش احمد كمال, مصطفى كامل, الاسكندرية.",597476
البريد السريع,لودبجز,"62 ش 13, سرايات المعادى, المعادى, القاهرة.",633004
البريد السريع,لودينج اكسبريس,"ش محمود الجندى, جسر السويس, القاهرة.",669606
البريد السريع,لوكيشن للشحن,"12 ش عمرو بن العاص, الحى 12, السادس من اكتوبر, الجيزة.",662034
البريد السريع,ماجيك اكسبريس,"4 ش غزوة تبوك متفرع من ش الهرم, العمرانية الشرقية, الهرم, الجيزة.",518757
البريد السريع,ماس لخدمة البريد السريع,"4 ش مهران, الهرم, الجيزة.",622869
البريد السريع,مايلرز للشحن,"81 ش منشية التحرير, عين شمس الشرقية, القاهرة.",658684
البريد السريع,مترو للشحن,"2 ش السودان, الدقى, الجيزة.",662466
البريد السريع,مراسيل,"61 عمارات الضباط -, المعادى الجديدة, المعادى, القاهرة.",142452
البريد السريع,مكة للشحن السريع,"4 ش عامر, الشقة 1, الدور 4, الجيزة, الجيزة.",636771
البريد السريع,منجز,"السوق التجارى, مدينة الرحاب, القاهرة.",405394
البريد السريع,موتوكوريير,"11 ش د. عباس حلمى متفرع من ش الميرغنى - الدور 3, مصر الجديدة, القاهرة.",257194
البريد السريع,موجا اكسبريس للشحن,"4 ش اللواء يوسف غانم, الطالبية, فيصل, الجيزة.",659338
البريد السريع,موستنج لوجسيتيكس,"38 ش حسنى خلف, مدينة نصر, القاهرة.",682056
البريد السريع,ميجا اكسبريس,"18 ش امين فكرى, محطة الرمل, الاسكندرية.",536198
البريد السريع,ميدل ايست كوريير سيرفيس,"1 ش محمود حافظ, ميدان سفير, مصر الجديدة, القاهرة.",60701
البريد السريع,ميراج لخدمات للشحن,"15 ش ميناء اغادير, العصافرة بحرى, الاسكندرية.",157723
البريد السريع,ميراج للشحن,", ., مدينة نصر, القاهرة.",680375
البريد السريع,ناسا للشحن,"149, اسكان الشباب ال 70 متر, مدينة العبور, القليوبية.",671929
البريد السريع,نافيا اكسبريس,"9 ش السنترال, المعمورة البلد, الاسكندرية.",667496
البريد السريع,نامبر وان,"21 ش حسن دعبس متفرع من ش النيل الابيض, المهندسين, الجيزة.",594017
البريد السريع,نايل شيب,"9, ميدان الذهبى, روكسى, مصر الجديدة, القاهرة.",679891
البريد السريع,نيكسس اكسبريس,"3 ش حسن صادق برج العروبة، الدور 8, مصر الجديدة, القاهرة.",584980
البريد السريع,نيكسس اكسبريس,"20 ش مصطفى حلمى, الماظة, مصر الجديدة, القاهرة.",637138
البريد السريع,واسطة خير دليفرى,"ش مسعد ابو حسين, متفرع من ش نصار, اتريب, بنها, القليوبية.",668349
البريد السريع,وان اكسبريس سيرفيس,"21 ش عماد الدين, وسط البلد, القاهرة.",670518
البريد السريع,وزعلى,"87 ش مصدق متفرع من ش محيى الدين ابو العز, الدقى, الجيزة.",518749
البريد السريع,وسيلة لخدمات الشحن,"27 ش ابن الحكم, الزيتون, القاهرة.",690330
البريد السريع,وصل,"ميدان النجدة, الحى الرابع, السادس من اكتوبر, الجيزة.",517758
البريد السريع,وصل وحصل لخدمات الشحن,"6 ش العطار, متفرع من ش احمد عصمت, جسر السويس, القاهرة.",653994
البريد السريع,وصلى شكرا,"3 ش حسن الديب متفرع من ش موسى التونى, الهرم, الجيزة.",440078
البريد السريع,وصلى شكرا,"9 ش النيل ميدان الترعة, حى الاربعين, السويس.",539663
البريد السريع,وول ستريت ايجيبت,"23 ش سيد المتولى, الشقة 30, الدور 5, العطارين, الاسكندرية.",683668
البريد السريع,يو اف اس كوريير سيرفيس,"46 ش عبد الحكيم الرفاعى, مدينة نصر, القاهرة.",669584
البريد السريع,يو بى اس ايجيبت,"7 ش حسين زهدى, ارض الجولف, مدينة نصر, القاهرة.",9666
البريد السريع,يو فيلكس للشحن والتوصيل,"44 ش الزهراء, متفرع من ش مصدق, الدقى, الجيزة.",637340
البريد السريع,يونايتد اكسبريس كورير سيرفيس,"69 ش المقريزى, روكسى, مصر الجديدة, القاهرة.",651235
البريد السريع,يونيون كورير للبريد السريع,"3 ش المظلوم, متفرع من ش احمد الزمر, زهراء مدينة نصر, مدينة نصر, القاهرة.",475262
