Category,Name,Address,ID
ستوديوهات تصوير,ابو المجد,"37 ش الرصافة, محرم بك, الاسكندرية.",25292
ستوديوهات تصوير,احمد صلاح فودة,"2 ش المدرسة العمرانية, الهرم, الجيزة.",56762
ستوديوهات تصوير,احمد عادل فوتوجرافى,"ش صلاح سالم, بنى سويف الجديدة, بنى سويف.",694681
ستوديوهات تصوير,ارت ستوديو,"11 عمارات مصر للتعمير ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",651669
ستوديوهات تصوير,ارت لايت ستوديو,"ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",599165
ستوديوهات تصوير,اس جى بى للاستيراد والتصدير,"17 ش منية السرج, شبرا, القاهرة.",319102
ستوديوهات تصوير,استوديو سمير,"16 ش يوسف الدجوى, عزبة النخل, القاهرة.",655975
ستوديوهات تصوير,استوديو فرح,"10 ش الميثاق, زهراء مدينة نصر, مدينة نصر, القاهرة.",676481
ستوديوهات تصوير,استوديو كامل,"58 ش الجمهورية, منوف, المنوفية.",607425
ستوديوهات تصوير,استوديو مجدى,"ش الشيخ جلال, طوخ, القليوبية.",161871
ستوديوهات تصوير,اكاسيا,"189 ش عبد السلام عارف, ثروت, الاسكندرية.",192443
ستوديوهات تصوير,اكسبريس,"23 ش الجيش, الجيزة, الجيزة.",94845
ستوديوهات تصوير,اكسبريس كلارز,"42 ش محمد كامل حسنين, النزهة الجديدة, القاهرة.",207370
ستوديوهات تصوير,اكستريم فوتوجرافى,"25 ش ابراهيم سالم, كلية البنات, مصر الجديدة, القاهرة.",47051
ستوديوهات تصوير,الابطال للاستيراد والتصدير,"71 ش شيبان, شبرا, القاهرة.",240001
ستوديوهات تصوير,الاخضر,"15 ش على ذو الفقار, عابدين, القاهرة.",68203
ستوديوهات تصوير,الامورة حنين,"23 ش الترعة متفرع من ش 105, المعادى, القاهرة.",453578
ستوديوهات تصوير,الامير,"ش المساعى, قويسنا, المنوفية.",300352
ستوديوهات تصوير,البيت بيتك,"2 ش خالد بن الوليد متفرع من ش ترعة الخشاب, المعصرة, القاهرة.",235338
ستوديوهات تصوير,التحرير,"95 ش راغب باشا, محرم بك, الاسكندرية.",23451
ستوديوهات تصوير,الجامعة,"50 ش سعد زغلول, اشمون, المنوفية.",321896
ستوديوهات تصوير,الجنزورى,"28 ش مصطفى كامل, بولكلى, الاسكندرية.",39934
ستوديوهات تصوير,الجوهرة,"1 ش على الغرباوى, الاميرية, القاهرة.",256364
ستوديوهات تصوير,الحاج محمد عبد الباسط,"40 ميدان كابو, الحضرة, الاسكندرية.",260215
ستوديوهات تصوير,الحرية فوتو شوب,"9 ميدان الحرية, المعادى, القاهرة.",238366
ستوديوهات تصوير,الحفناوى,"ش الشيراتون, سقالة, الغردقة.",246639
ستوديوهات تصوير,الحوفى,"15 ش رشدى, عابدين, القاهرة.",177481
ستوديوهات تصوير,الخالد,"19 ب ش عدلى - الدور 2 شقة 58, وسط البلد, القاهرة.",153168
ستوديوهات تصوير,الرحاب,"ش ابو بكر الصديق, القلج, القليوبية.",418933
ستوديوهات تصوير,الزعيم ستوديو,"22 ش المدرسة, طموه, الجيزة.",646716
ستوديوهات تصوير,السعادة,"ش ابو رجيلة, بلقاس, الدقهلية.",357389
ستوديوهات تصوير,الشباب,"86 ش اسماعيل مهنى, اللبان, الاسكندرية.",23734
ستوديوهات تصوير,الشيخ,"3 ش السلطان حسين, محطة الرمل, الاسكندرية.",34096
ستوديوهات تصوير,الشيماء,"ش الحرية, المسلة, الفيوم.",336873
ستوديوهات تصوير,الشيماء,"10 كورنيش النيل - القيراطيين, اوسيم, الجيزة.",350440
ستوديوهات تصوير,الشيماء,"ش الرفاعى, طنطا, الغربية.",114120
ستوديوهات تصوير,الصرح,"بلوك 124 - ش المخيم الدائم, الحى السادس, مدينة نصر, القاهرة.",458274
ستوديوهات تصوير,العالم العربى,"428 طريق الحرية, رشدى, الاسكندرية.",35813
ستوديوهات تصوير,العمرى,"ش العمرى, السيدة عائشة, القاهرة.",368418
ستوديوهات تصوير,الفايز للاستيراد والتصدير,"2 ش نبيل خليل، متفرع من ش محمد حسنين هيكل, مدينة نصر, القاهرة.",147582
ستوديوهات تصوير,الفنان,"ش الشيراتون, سقالة, الغردقة.",246641
ستوديوهات تصوير,الفيروز,"ش الجيش, كفر صقر, الشرقية.",362207
ستوديوهات تصوير,القاضى,"19 ميدان المحطة, حلوان, القاهرة.",12282
ستوديوهات تصوير,القماش,"18 ش خفرع ميدان ابراهيم سلامة, الشيخ زايد, الاسماعيلية.",293295
ستوديوهات تصوير,الكينج,"17 مساكن الضباط -, الهرم, الجيزة.",231920
