Category,Name,Address,ID
مقاهى,توينتى فور سيفن لادارة المطاعم,"مول تيفولى دوم, سيدى جابر, الاسكندرية.",691443
مقاهى,10 منيت كوفى,"14 ش مصطفى صفوت, تقاطع ش صالح صبحى, حلوان, القاهرة.",587082
مقاهى,101 كوفى شوب,"4 ش محمود خيرى, المنطقة الاولى, مدينة نصر, القاهرة.",686134
مقاهى,21 كافيه,"ش كلية التجارة, بنها, القليوبية.",685525
مقاهى,64 درب سعادة,", الرحاب 2 - السوق الشرقى, مدينة الرحاب, القاهرة.",622463
مقاهى,911,"13 ش حسان بن ثابت, طنطا, الغربية.",438085
مقاهى,اب تاون,"ش المحكمة الجديدة, الخانكة, القليوبية.",685315
مقاهى,اب تاون كافيه,"33 ش طلعت حرب, وسط البلد, القاهرة.",486297
مقاهى,اب ستيريز كافيه,"ش انور المفتى, المنطقة الاولى, مدينة نصر, القاهرة.",545906
مقاهى,اباظة كافيه,"78 طريق الجيش, سبورتنج, الاسكندرية.",41331
مقاهى,ابرو كافيه,"كم 6 - , طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",580986
مقاهى,ابل كافيه,"420 د ش 9, المقطم, القاهرة.",591781
مقاهى,ابن حلال كوفى شوب,"77 ش الترعة التوفيقية, عزبة النخل, القاهرة.",524381
مقاهى,ابناء سوهاج كوفى شوب,"37 ش ترعة بشتيل - المنيرة الغربية, امبابة, الجيزة.",538908
مقاهى,ابو الذهب,"سور نادى المؤسسة - ميدان المؤسسة, شبرا الخيمة, القليوبية.",248561
مقاهى,ابو شادى كريب,"الاردنية, العاشر من رمضان, الشرقية.",468942
مقاهى,ابو شوشة كافيه,"91 ش خالد بن الوليد تقاطع ش محمد نجيب, سيدى بشر, الاسكندرية.",234179
مقاهى,ابو عزام,"ش مسجد عزام, حلوان, القاهرة.",386445
مقاهى,ابو على,"21 ش محمد مظهر, الزمالك, القاهرة.",474858
مقاهى,ابو على,"ش المحكمة الشرعية, ابشواى, الفيوم.",312825
مقاهى,ابو على شيشة كافيه,"., شاركس باى, شرم الشيخ.",413333
مقاهى,ابو على كافيه,"طريق 14 مايو, سموحة, الاسكندرية.",129363
مقاهى,ابو على كوفى شوب,"4 ش سعد زغلول, قرية بشتيل, اوسيم, الجيزة.",541076
مقاهى,ابو مريم كوفى شوب,"90 ش بورسعيد, شبين القناطر, القليوبية.",518392
مقاهى,ابو مصطفى كوفى شوب,"22 ش سعد زغلول, كرداسة, الجيزة.",560800
مقاهى,ابو نواس كافيه,"146 ش فيصل, فيصل, الجيزة.",250111
مقاهى,اتريم,"1191 كورنيش النيل, بولاق, القاهرة.",226692
مقاهى,اتيباسى كوفى,"طريق الواحات, السادس من اكتوبر, الجيزة.",618418
مقاهى,احلى الاوقات كوفى شوب,"67 ش الحرية, اوسيم, الجيزة.",559953
مقاهى,ادامز كافيه,"53 عمارات الفاروقية - ش جسر السويس, النزهة الجديدة, القاهرة.",441690
