Category,Name,Address,ID
مقاولات,بولى تانك للخزانات,"قطعة 499, امتداد المنطقة الصناعية السادسة, منطقة التلتميات, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",547145
مقاولات,اوليمبيك بولز للمقاولات,"1 عمارات الدفاع الوطنى, حدائق القبة, القاهرة.",678462
مقاولات,مجارى الهواء للتكييف المركزى - سى دى اف,"6 ش محمد هلال, قليوب, القليوبية.",648359
مقاولات,جول سبورت للانشاءات الرياضية,"279 برج عباد الرحمن, المطبعة, فيصل, الجيزة.",539665
مقاولات,الساكت للمقاولات والاستثمار العقارى,"6 ش سمير عبد الرؤوف, امتداد ش مكرم عبيد, مدينة نصر, القاهرة.",504446
مقاولات,شركة سنجر لصناعة الطوب الطفلى,"طريق الاوتوستراد - ش العمدة, المنطقة الصناعية -عرب ابو ساعد, الصف, الجيزة.",447188
مقاولات,شركة التراث لمقاولات واجهات الزجاج والكلادينج وشبابيك اليو بى فى سى,"القطعة 115 مجاورة 1, الحى السابع, الشيخ زايد, الجيزة.",680609
مقاولات,الشركة العربية للتجارة والتصنيع - جاكون,"42, تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",59977
مقاولات,ترو تك للنجيل واللاند سكيب والزرع الصناعى,"ش بورسعيد, الموسكى, القاهرة.",680452
مقاولات,الفؤاد جروب,"58 ش الزهراء, متفرع من ش عمان, الدقى, الجيزة.",690828
مقاولات,تويك لحمامات السباحة ومعالجة المياه,"131 ش التحرير, الدقى, الجيزة.",526264
مقاولات,مصنع الاشقاء العرب لتشكيل المعادن,"قطعة 856, المنطقة الصناعية السادسة, السادس من اكتوبر, الجيزة.",687907
مقاولات,شركة هاى تك لخدمة وسائل النقل,"القطعة 73, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",454001
مقاولات,الاقصى لتشغيل المعادن والتوريدات,"قطعة 109, المنطقة الصناعية الثالثة - مخازن الشباب - ال 300 متر, السادس من اكتوبر, الجيزة.",688536
مقاولات,لاندمارك,", السادس من اكتوبر, الجيزة.",551561
مقاولات,يونيتك مصر لمواد البناء,"القطعة 235 أ, المحور الخدمى الثانى, المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",44916
مقاولات,ماستر بيلت للسيور الناقلة ومستلزماتها,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",620297
مقاولات,بايونيرز للسقالات والشدات المعدنية,"23 ش ابو داوود الظاهرى, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",116974
مقاولات,سفنكس للاعمال الهندسية,"القطعة 42, المنطقة الصناعية, بلبيس, الشرقية.",612220
مقاولات,شركة الامين للنجيل الصناعى والمقاولات العامة,", حى المهندسين, الزقازيق, الشرقية.",512937
مقاولات,بتروبلاست,"عمارات الشمس, ميدان الرماية, الهرم, الجيزة.",688780
مقاولات,مجموعة محمد شبل للهندسة والمقاولات,"9 ش السلام, متفرع من ش ناصر الثورة, الهرم, الجيزة.",53426
مقاولات,البلتاجى للمقاولات والتجارة,"1 ش فاطمة الزهراء, متفرع من ش شكرى القوتلى, المحلة الكبرى, الغربية.",115592
مقاولات,ميمى معروف للسقالات,"أبراج الصيلدلة - برج 2 ش 14 مايو, الدور 2, سموحة, الاسكندرية.",510993
مقاولات,انجاز لتجهيزات المواقع والمقاولات,"القطعة 228, منطقة زهراء المعادى الصناعية, زهراء المعادى, المعادى, القاهرة.",586507
مقاولات,الهندسية للانشاءات المعدنية - امكون,"77 أ طريق النصر, مدينة نصر, القاهرة.",49947
مقاولات,مصنع الندى للتكييف والصناعات الهندسية,"القطعة الاولى - بلوك 20012, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",47048
مقاولات,المصرية للتجارة والتسويق - ايجيتام,"17 ش عبد القادر رجب, مصطفى كامل, الاسكندرية.",123738
مقاولات,ارت كلادينج للواجهات المتطورة والديكور,"10, التجمع الخامس, القاهرة الجديدة, القاهرة.",691307
مقاولات,مؤسسة الفتح للمصاعد,"برج البشطمير, الشقة 1, الدور 1, دوران المجزر, المنصورة, الدقهلية.",465778
مقاولات,كيميت للمقاولات,"253 ش الحجاز, مصر الجديدة, القاهرة.",585412
مقاولات,روديكس للتطوير العقارى وادارة المشروعات المتكاملة,"10 ش الصحابة الكرام, حى السفارات, مدينة نصر, القاهرة.",693980
مقاولات,توب شادو للتند والمظلات,"40 عمارات الشركة الكويتية, المرحلة الاولى, المعادى الجديدة, المعادى, القاهرة.",62660
مقاولات,"دوائر لاستشارات الزجاج المسطح, شركة ذات مسئولية محدودة","31 ش أحمد فهيم, متفرع من عبدالعزيز فهمي, صلاح سالم, مصر الجديدة, القاهرة.",552616
مقاولات,دى ام جى ايفينتس,"طريق الشيخ زايد, اوايسز سنتر - الدور الثالث - مكتب 57, دبى, دبى.",594523
مقاولات,فيوتشر كيم بلدنج,"ش سينما سعودى, طوخ, القليوبية.",688254
مقاولات,سفنكس للتوريدات الكهربائية,"22 ش نجيب الريحانى, متفرع من ش الجمهورية, وسط البلد, القاهرة.",176269
مقاولات,يونيتد جروب للمصاعد,"318 ش ملك حفنى, الشقة 4, الدور 1, ميامى, الاسكندرية.",126446
مقاولات,ايرا للتطوير والبناء,"وحدة 7, الدور 4, المحور المركزى, السادس من اكتوبر, الجيزة.",694221
مقاولات,ارمتك للمقاولات,"34 ش افريقيا, امتداد ش مصطفى النحاس, مدينة نصر, القاهرة.",684799
مقاولات,الشركة المصرية للاستثمار والتجارة العامة - ايجى تك سبورتس,"115 فيلا ال حسن ش عمر بن عبد العزيز, التجمع الخامس, القاهرة الجديدة, القاهرة.",566535
مقاولات,بيرفكت للصناعات الهندسية,", قطعة 19 بلوك 15 جنوب المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",694233
مقاولات,رواق للتصميمات,"159 عمارات بهلر ش 26 يوليو, الزمالك, القاهرة.",468194
مقاولات,مكة للمقاولات العامة,"مول مراجع, برج العرب الجديدة, الاسكندرية.",689306
مقاولات,كيما فيرست لكيماويات البناء الحديث,"ك 23 طريق الاسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",694486
مقاولات,غلاب مصر للتوريدات العامة والمقاولات,"12 ش احمد عرابي, حى الاربعين, السويس.",689468
مقاولات,العزيزية للالوميتال ويو بى فى سى - م. عمار محمد حسين الهندى,"346 برج الشرطة ش السودان, المهندسين, الجيزة.",588502
مقاولات,كولينج لانظمة التكييف,"عمارة مسعود طريق المعاهدة, الدور 1, طلخا, المنصورة, الدقهلية.",312561
مقاولات,ديكور سينس لتوريد خامات الاسقف المعلقة والقواطيع الجبسية,", محور الكفراوى, السادس من اكتوبر, الجيزة.",680761
مقاولات,كرفان الشروق ستيل,"الطريق البطئ, ابو سنة, قليوب, القليوبية.",634444
مقاولات,رويال للاسقف المعلقة والديكور,"15 برج ماس ش اللبينى, المريوطية, فيصل, الجيزة.",508763
مقاولات,مصنع العمر لتشكيل وتشغيل المعادن,", الكرنك 1 - النهضه - قطعة 6, العامرية, الاسكندرية.",693040
مقاولات,شركة الاندلس الزراعية,"ش سعاد كفافى, الحى المتميز, السادس من اكتوبر, الجيزة.",144674
مقاولات,الرواد للانشاءات الصناعية ش.م.م,"146 برج اللؤلؤة ش المريوطية, المريوطية, الهرم, الجيزة.",46642
مقاولات,مصنع بروتك للدهانات وكيماويات البناء,"القطعة 18 - بلوك 17, جنوب المنطقة الصناعية الثالثة, برج العرب الجديدة, الاسكندرية.",489584
مقاولات,ام القرى للتطوير العقارى,"72 ش الخلفاء الراشدين, المنصورة, الدقهلية.",178379
مقاولات,سما للانشاءات المعدنية,"القطعة 119, منطقة 6 مليون, العاشر من رمضان, الشرقية.",687309
مقاولات,نيو الفتح للمقاولات العامة,", الاردنية, العاشر من رمضان, الشرقية.",688102
مقاولات,شركة هادى مايزر مصر,", منطقة الشروق الصناعية, الخانكة, القليوبية.",449829
مقاولات,كون ستار للتجارة والإستيراد والتصدير,"برج النخلة ش قناة السويس, المنصورة, الدقهلية.",669897
مقاولات,المتحدة لأعمال الالوميتال والواجهات الزجاجية,"أول الطريق الدولى, طريق المحمودية, العوايد, الاسكندرية.",689774
مقاولات,ام جى كونكريت للاعمال الهندسية والتوريدات,", حى البنوك, النوبارية, البحيرة.",691596
مقاولات,الراعى للهندسة والصناعة,"26 ش عدلى, عابدين, القاهرة.",684791
مقاولات,بايل تك مصر للاساسات والانشاءات - ش.م.م,"8 ش محمد وجيه احمد, وابور المياه, الاسكندرية.",270975
مقاولات,رتاج للمنتجات الاسمنتية,"2 ابراج الشركة العالمية (ابراج عزيز ميخائيل), الدور 2, المحور المركزى, السادس من اكتوبر, الجيزة.",21862
مقاولات,نيوتك,"48 ش 9, الدور 1, ميدان النافورة, المقطم, القاهرة.",584324
مقاولات,مصنع اماس لصناعة زجاج,"القطعة 20 و21 - بلوك 15, امتداد المنطقة الصناعية, دمياط الجديدة, دمياط.",489600
مقاولات,شركة الاسكندرية للصيانة الميكانيكية,"كم 28 طريق اسكندرية القاهرة الصحراوى, نهاية ش بلال بن رباح, العامرية, الاسكندرية.",199450
