Category,Name,Address,ID
بازارات,911,"3 ش مكرم عبيد , المنطقة السادسة, مدينة نصر, القاهرة.",66009
بازارات,اب تو يو,"12 ش الدلتا, سبورتنج, الاسكندرية.",237083
بازارات,ابو اشرف,"3 ش محمد حسن متفرع من ش حسن عثمان, فيصل, الجيزة.",253337
بازارات,ابو القمصان للالباستر,"طريق حتشبسوت, الاقصر, الاقصر.",126610
بازارات,ابو النصر للتجارة,"34 ش الحجاز, ميدان المحكمة, مصر الجديدة, القاهرة.",15738
بازارات,ابو رحمة,"ش فرج مجاهد, الوراق, الجيزة.",277834
بازارات,ابو طالب محمد حافظ,"2 ش خان الخليلى, خان الخليلى, القاهرة.",177338
بازارات,ابو عزت,"ش المركز, الحسينية, الشرقية.",365784
بازارات,ابو عوض,"ش مسجد عطا الله, غبريال, الاسكندرية.",251377
بازارات,اثنين ونصف,"51 ش السودان, الدقى, الجيزة.",173895
بازارات,احباب,"85 ش ترعة السواحل, امبابة, الجيزة.",175346
بازارات,احمد,"23 ش الجيش, العتبة, القاهرة.",267400
بازارات,احمد عبد ربه بازار,"168 ش الخليفة المأمون, السوق القديم, شرم الشيخ.",106999
بازارات,احمد يوسف,"8 ش وكالة المكواة, خان الخليلى, القاهرة.",208904
بازارات,اخر شقاوة,"129 ش فيصل, فيصل, الجيزة.",249973
بازارات,اخر شقاوة,"9 ش على بن ابى طالب متفرع من ش النصر, امبابة, الجيزة.",264871
بازارات,اخر شقاوة,"9 طريق المعتمدية, ارض اللواء, الجيزة.",269530
بازارات,اخر فرصة,"ش البازارات, الدهار, الغردقة.",246987
بازارات,اخر فرصة,"269 ش الهرم - الدور 2, الهرم, الجيزة.",240694
بازارات,اخر كلام,"ش الجمهورية, اوسيم, الجيزة.",94253
بازارات,اخوان الصياد,"ش النهضة تقاطع ش ممفيس, حى الشرق, بور سعيد.",315723
بازارات,ادم جيفتس,"., السوق القديم, شرم الشيخ.",258835
بازارات,ارت برونز,"ش خان الخليلى, خان الخليلى, القاهرة.",182463
بازارات,ارت برونز,"5,7 حارة الصالحية, الجمالية, القاهرة.",177436
بازارات,ارت زون,"11 ش حسن صبرى, الزمالك, القاهرة.",67340
بازارات,ارت للمنتجات الفرعونية,"48 ش جوهر القائد, الموسكى, القاهرة.",114601
بازارات,ازياء الدرى,"3 ش سكة البادستان, خان الخليلى, القاهرة.",177163
بازارات,ازياء الشرق,"82 ش جوهر القائد, الحسين, القاهرة.",208237
بازارات,اسامة,"ش اليمانى, السوق القديم, شرم الشيخ.",259800
بازارات,اسدا بازار,"., السوق القديم, شرم الشيخ.",259624
بازارات,اسماعيل الحمراوى للاستيراد والتصدير,"13 ش المعز لدين الله الفاطمى متفرع من ش الازهر, خان الخليلى, القاهرة.",208223
بازارات,اسواق 7.5,"ش مولد النبى, الزقازيق, الشرقية.",286437
بازارات,اسواق الصين,"147 ش مصر والسودان, حمامات القبة, القاهرة.",201910
بازارات,اسوان بازار,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",166286
بازارات,اشان,"- الممشى السياحى, طريق القرى, الغردقة.",248130
بازارات,اصالة السبح,"49 ش ام الغلام, الحسين, القاهرة.",177075
بازارات,افريكانو بازار,"كم 34 طريق الغردقة سفاجا, مكادى باى, الغردقة.",107695
بازارات,افندينا بازار,"145 ش المعز لدين الله الفاطمى, الجمالية, القاهرة.",641619
بازارات,اكسبريس بازار,"5 عمارات شويكار -, خان الخليلى, القاهرة.",378184
بازارات,الا بازار,"., السوق القديم, شرم الشيخ.",259644
بازارات,الاسوانى,"., السوق القديم, شرم الشيخ.",259284
بازارات,الاقصر ارت للالباستر,"29 ش 10, سرايات المعادى, المعادى, القاهرة.",683141
بازارات,الاقصر جيفت شوب,"25 ممشى الف ليلة وليلة - , هضبة ام السيد, شرم الشيخ.",110218
بازارات,الامين,"2 حارة الوكالة, خان الخليلى, القاهرة.",378189
بازارات,الباجورى,"سوق الفسطاط, مصر القديمة, القاهرة.",405282
بازارات,البازار الفاطمى,"1 ش سوق القاهرة, خان الخليلى, القاهرة.",378031
بازارات,البازار الفضى,"13 ش طلعت حرب, وسط البلد, القاهرة.",199784
بازارات,البازار المصرى السياحى,"7 ش ابراهيم باشا, خان الخليلى, القاهرة.",177415
بازارات,الباشا,"- الممشى السياحى, طريق القرى, الغردقة.",248131
بازارات,الباشا بازار,"5 حارة الوكالة, خان الخليلى, القاهرة.",211161
بازارات,البتول للهدايا,"152 ش الشهيد احمد حمدى متفرع من ش العشرين, فيصل, الجيزة.",218754
بازارات,البردى,"7 ش احمد المليحى, الدقى, الجيزة.",104519
بازارات,البرنسيسة,"118 ش جوهر القائد, الحسين, القاهرة.",177402
بازارات,البيت بيتك,"38 ش اسامة ابو عميرة, فيصل, الجيزة.",243570
بازارات,التساهيل بازار,"58 ش جوهر القائد, الموسكى, القاهرة.",176927
بازارات,الجابرى,"., وسط البلد, القاهرة.",310384
بازارات,الجمال,"4 ش السلطان حسين, محطة الرمل, الاسكندرية.",196089
