Category,Name,Address,ID
اصلاح محركات واعادة بناء,جوهرة ال الجندى للخراطة الميكانيكية,", موقف النقل بأبو الريش, دمنهور, البحيرة.",386896
اصلاح محركات واعادة بناء,المصرية للف المواتير الكهربائية,", منطقة 6 مليون, العاشر من رمضان, الشرقية.",691568
اصلاح محركات واعادة بناء,المركز الهندسى للاعمال الكهروميكانيكية - م. مهيب اسماعيل,"835 ش بورسعيد, الزاوية الحمراء, القاهرة.",157562
اصلاح محركات واعادة بناء,ابيكو - الشركة العربية البريطانية للمحركات,"5 ش عمر بن عبد العزيز - حمامات حلوان, حلوان, القاهرة.",12265
اصلاح محركات واعادة بناء,اخوان عباس عتمان لخراطة وتجليخ المحركات,"ش احمد الوكيل, دمنهور, البحيرة.",45866
اصلاح محركات واعادة بناء,الدولية للف المحركات,"المنطقة الصناعية الثالثة, برج العرب, الاسكندرية.",105252
اصلاح محركات واعادة بناء,الشركة الاسلامية,"49 ش نجيب الريحانى, العتبة, القاهرة.",65438
اصلاح محركات واعادة بناء,المجموعة الهندسية,", الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619772
اصلاح محركات واعادة بناء,المركز الهندسى للقوى الكهربائية,"فيلا 19 -, الرويسات, شرم الشيخ.",131847
اصلاح محركات واعادة بناء,الورشة الفنية,"57 ش ابن منقذ, فيكتوريا, الاسكندرية.",38967
اصلاح محركات واعادة بناء,الورشة الفنية السورية,"وحدة 529 - - المنطقة الصناعية الاولى - مبنى سعد زغلول, مدينة العبور, القليوبية.",600558
اصلاح محركات واعادة بناء,اوميجا موتور,"بلوك 6 ,7 طريق بلبيس, المنطقة الصناعية - منطقة 80 فدان, العاشر من رمضان, الشرقية.",131512
اصلاح محركات واعادة بناء,ايجل للمحركات الكهربائية,"القطعة 27، ش السنترالالاردنية, العاشر من رمضان, الشرقية.",621675
اصلاح محركات واعادة بناء,سى تى ار - المصرى,"ش ام النور, متفرع من ش التروللى, مدينة السلام, القاهرة.",686997
اصلاح محركات واعادة بناء,ميدل ايست للتصنيع والتجارة,"90 ش اسماعيل مهنى, العطارين, الاسكندرية.",483266
