Category,Name,Address,ID
مطاعم مصرية,ابراهيم الشرقاوى,"27 ش فوزى عبد المقصود, المرج, القاهرة.",498657
مطاعم مصرية,ابن البلد,"ش الوحدة, شبرا الخيمة, القليوبية.",249475
مطاعم مصرية,ابن الحتة,"29 ش سليمان جوهر, الدقى, الجيزة.",270502
مطاعم مصرية,ابو السيد,"ش التحرير, ابو كبير, الشرقية.",329928
مطاعم مصرية,ابو المراسى,"96 ش المنيل, المنيل, القاهرة.",502790
مطاعم مصرية,ابو حسين الشرقاوى,"209 ش مؤسسة الزكاة, المرج, القاهرة.",304630
مطاعم مصرية,ابو ربيع,"44 ش الجلاء, فيكتوريا, الاسكندرية.",246818
مطاعم مصرية,ابو رشدى,"6 ش رشدى متفرع من ش 9, حدائق المعادى, المعادى, القاهرة.",409592
مطاعم مصرية,ابو سريع,"221 ش الجيش, باب الشعرية, القاهرة.",283880
مطاعم مصرية,ابو سعيد الشرقاوى,"8 ش سكة الوايلى, حدائق القبة, القاهرة.",201793
مطاعم مصرية,ابو سماح,"25 ش العبد, مدينة السلام, القاهرة.",390687
مطاعم مصرية,ابو سمرة,"ش امتداد رمسيس، ميدان العباسية، ابراج الملتقى - برج 5أ, عباسية, القاهرة.",618675
مطاعم مصرية,ابو طاجن,"65 ., مدينة الرحاب, القاهرة.",455282
مطاعم مصرية,ابو طه اورينتال,"السوق التجارى, مدينة الرحاب, القاهرة.",214771
مطاعم مصرية,ابو على,"93 عمارات السويسرى, الحى العاشر, مدينة نصر, القاهرة.",311732
مطاعم مصرية,ابو عمار الحاتى,"59 ش سليم الاول, الزيتون, القاهرة.",645761
مطاعم مصرية,ابو عمرو تيك اواى,"20 ش الخليفة, الخليفة, القاهرة.",582101
مطاعم مصرية,ابو غريب,"34 ش الترعة الغربى, شبرا, القاهرة.",233356
مطاعم مصرية,ابو كرم,"14 ش الكومى متفرع من ش السد, السيدة زينب, القاهرة.",223148
مطاعم مصرية,ابو مازن السورى,"116 ز ش الثروة المعدنية, حدائق الاهرام, الهرم, الجيزة.",466907
مطاعم مصرية,ابو موزة,"23 ش خوفو, الجيزة, الجيزة.",459690
مطاعم مصرية,ابو نصار,"85 ش الجمهورية, الحوامدية, الجيزة.",199992
مطاعم مصرية,ابو وحيد الطيب,"83 ش الورشة, شبرا, القاهرة.",232949
مطاعم مصرية,ابو يوسف,"طريق القناطر الخيرية, القناطر الخيرية, القليوبية.",299317
مطاعم مصرية,اتس كبدة,"26 ش حسنين عبد القادر, متفرع من ش حسن المأمون, مدينة نصر, القاهرة.",592336
مطاعم مصرية,احباب الحسين,"ش امير الجيوش, الجمالية, القاهرة.",362564
مطاعم مصرية,احفاد الخديوى,"5 ش ايوب, الهرم, الجيزة.",198564
مطاعم مصرية,احمد الشرقاوى,"17 ش طنطاوى جوهر, السيدة زينب, القاهرة.",409310
مطاعم مصرية,ادريس جروب,"1 ش صلاح الدين, الاقصر, الاقصر.",124731
مطاعم مصرية,ارابيسك,"طريق عجيبة - خليج الابيض, حى القصر, مرسى مطروح.",226785
مطاعم مصرية,ارزاق,"ش 9, المقطم, القاهرة.",118090
مطاعم مصرية,ارزاق,"13 ش الصومال, الكوربة, مصر الجديدة, القاهرة.",293540
مطاعم مصرية,ارزاق الكوثر,"80 أ طريق مصر حلوان الزراعى, حدائق المعادى, المعادى, القاهرة.",175724
مطاعم مصرية,ازمالك كافيه,"44 ش النزهة, مصر الجديدة, القاهرة.",462815
مطاعم مصرية,اسكندرانى اسبايسى,"12 ش مسرة, شبرا, القاهرة.",645666
مطاعم مصرية,اسكندرية لية,"ش الخليفة المأمون, وسط البلد, كفر الشيخ.",114646
مطاعم مصرية,اسماك احمد البدرى,"بلوك 58 ش عبد الحليم محمود, متفرع من ش احمد عرابى, عرب جسر السويس, عين شمس الشرقية, القاهرة.",652394
مطاعم مصرية,اسماك القرموطى,"55 ش عمان, متفرع من ش فلسطين, عرب جسر السويس, عين شمس الشرقية, القاهرة.",652359
مطاعم مصرية,افندينا,"ش الجيش, قطور, الغربية.",346367
مطاعم مصرية,اكل امى,"88 عمارات صقر قريش - ش الشهيد سيد زكريا, مساكن شيراتون, مصر الجديدة, القاهرة.",591882
مطاعم مصرية,اكل بيتنا,", ., ميامى, الاسكندرية.",624393
مطاعم مصرية,اكل بيتى,"53 ش 9, حدائق المعادى, المعادى, القاهرة.",471555
مطاعم مصرية,اكل بيتى,"اعمال حرة, اسيوط, اسيوط.",628232
مطاعم مصرية,اكل بيتى اسكندرانى,", ., سيدى بشر, الاسكندرية.",620906
مطاعم مصرية,اكلات بيتى,"ش عبد المنعم رياض, الوراق, الجيزة.",651397
مطاعم مصرية,اكلات دوار العمدة,"مجموعة 32 - عمارة 57 - بى 3 شقة 31, مدينتى, القاهرة.",493974
مطاعم مصرية,اكلتنا,", ., مدينة نصر, القاهرة.",527251
مطاعم مصرية,اكيمى ايجيبت,"14 ش ابو الهول السياحى, الهرم, الجيزة.",680720
مطاعم مصرية,الاتحاد السكندرى,"21 ش الشهيد جواد حسنى, الابراهيمية, الاسكندرية.",161855
مطاعم مصرية,الاخلاص,"16 ش البنهاوى, باب الشعرية, القاهرة.",365204
مطاعم مصرية,الادهم,"108 ش المنشية, فيصل, الجيزة.",418159
مطاعم مصرية,الاسطى,"106 ش عباس العقاد, مدينة نصر, القاهرة.",570409
مطاعم مصرية,الاشرم,"2 حارة عبد الله, السيدة زينب, القاهرة.",414936
مطاعم مصرية,الاصلى,"ش 154, المعادى, القاهرة.",343060
مطاعم مصرية,الاصيل,"244 ش فيصل, فيصل, الجيزة.",174684
مطاعم مصرية,الاصيل,"المجاورة التاسعة, الحى السادس, السادس من اكتوبر, الجيزة.",213965
مطاعم مصرية,الاكيل,", ميدان الحصرى - المحور المركزى, الحى السابع, السادس من اكتوبر, الجيزة.",599254
مطاعم مصرية,الامانة,"87 ش ابو خشبة, الطالبية, الهرم, الجيزة.",415359
مطاعم مصرية,الامبراطور,"33 ش 26 يوليو, وسط البلد, القاهرة.",106658
مطاعم مصرية,الباز افندى,"13 عمارات المروة ش نبيل الوقاد, كلية البنات, مصر الجديدة, القاهرة.",580898
مطاعم مصرية,الباشا اخر ساعة,"ش الشيراتون ميدان سقالة, سقالة, الغردقة.",612862
مطاعم مصرية,البدر,"162 ش مصر والسودان, حدائق القبة, القاهرة.",419579
مطاعم مصرية,البرديسى,"125 ش فيصل, الكوم الاخضر, فيصل, الجيزة.",68825
مطاعم مصرية,البرديسى,"10 ش العشرين, فيصل, الجيزة.",212999
مطاعم مصرية,البرديسى,"2 ش محمود عباس ميدان الساعة, فيصل, الجيزة.",217386
مطاعم مصرية,البركة,"52 ش عبد الرحيم عباس, الهرم, الجيزة.",626389
