Category,Name,Address,ID
دار مناسبات,دار الدرب الاحمر,"ش التبانة, الدرب الاحمر, القاهرة.",381684
دار مناسبات,دار عبد الله بن مسعود,"184 ش جسر السويس, جسر السويس, القاهرة.",322241
دار مناسبات,دار مناسبات الحى القبلى,"3, حارة الفتح, شبين الكوم, المنوفية.",537974
دار مناسبات,دار مناسبات القوات المسلحة,"ش كيلانى محمد كيلانى, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",577209
دار مناسبات,دار مناسبات اهل البيت,"60 ش حامد نافع, كورنيش المعادى, المعادى, القاهرة.",676921
دار مناسبات,دار مناسبات حى باب الشعرية,"179 ش الجيش, باب الشعرية, القاهرة.",471791
دار مناسبات,دار مناسبات طلعت القواس,"8, سكة راتب, الحلمية الجديدة, القاهرة.",224692
دار مناسبات,دار مناسبات عبده باشا,"29 ش عبده باشا, عباسية, القاهرة.",277676
دار مناسبات,دار مناسبات مركز الصديق الاسلامى,"ش الشهيد سيد زكريا خليل, مساكن شيراتون, مصر الجديدة, القاهرة.",551630
دار مناسبات,دار مناسبات مسجد الرحمة,"74 ش مسجد الرحمة, شبرا, القاهرة.",466237
دار مناسبات,دار مناسبات مسجد الولاء,"60 ش بيرم التونسى, السيدة زينب, القاهرة.",521242
